dates.22.584.,X1,pred...1.,pred...2.,actual
2/27/2014,0.020720851,-0.088046389,0.028929408,-2.188397419
2/28/2014,-0.231558689,-0.161807747,-0.235063651,0.026347238
3/2/2014,-0.007335897,-0.044173289,-0.02251048,0.002827028
3/3/2014,-0.083766071,-0.045422547,-0.094971211,1.156125566
3/4/2014,0.207239001,0.015834017,0.193355737,-0.81370458
3/5/2014,-0.055817705,-0.088791995,-0.061741328,-0.316039241
3/6/2014,-0.035453696,-0.062358884,-0.056897483,0.176954546
3/7/2014,0.047538266,-0.036173898,0.027660767,0.089299568
3/8/2014,-0.03108119,-0.040829625,-0.05640175,-1.787450451
3/9/2014,-0.264501674,-0.140511757,-0.272830483,-0.001913061
3/10/2014,-0.122311428,-0.045674313,-0.11751922,-0.347348169
3/11/2014,-0.128725854,-0.064021833,-0.143254062,0.480696498
3/12/2014,-0.005820947,-0.020040878,-0.024081625,0.647479481
3/13/2014,-0.012225831,-0.011182328,-0.013525867,1.084142971
3/14/2014,0.21426181,0.012010717,0.220807877,0.167447266
3/15/2014,-0.139314011,-0.03667887,-0.174476625,0.51185677
3/17/2014,-0.073748516,-0.018385824,-0.098058233,-0.360130148
3/18/2014,-0.201059821,-0.064700738,-0.236006418,-1.793683257
3/20/2014,-0.334986598,-0.140842808,-0.354310704,-1.395871952
3/21/2014,-0.275305752,-0.119713367,-0.302054106,-0.560414753
3/22/2014,0.04150531,-0.075338701,0.05496835,-0.259981029
3/24/2014,-0.050596417,-0.059381395,-0.069555518,-0.820731798
3/25/2014,-0.195696344,-0.08916524,-0.224770418,-0.632606364
3/26/2014,-0.245263505,-0.079173103,-0.287899964,-0.324071579
3/27/2014,-0.211929424,-0.062785515,-0.228322486,-1.170971207
3/28/2014,-0.26793023,-0.107767937,-0.286886946,0.319294282
3/29/2014,-0.055367808,-0.028613633,-0.072856792,0.188264565
3/31/2014,-0.15476097,-0.035573175,-0.201255699,0.045372738
4/2/2014,-0.097945837,-0.043162765,-0.1061577,0.628257423
4/3/2014,-0.040960717,-0.012203293,-0.064265209,0.083905478
4/4/2014,-0.062696449,-0.041116128,-0.090045203,0.107416787
4/5/2014,-0.012753516,-0.039867343,-0.0457695,0.15890564
4/7/2014,0.007722437,-0.037132552,0.006052993,-0.351735833
4/8/2014,-0.085181011,-0.064254881,-0.120467804,0.656807762
4/9/2014,-0.001702589,-0.010686864,-0.018764338,-0.479029045
4/10/2014,0.133712024,-0.071015962,0.175387818,0.770228452
4/11/2014,0.193141847,-0.004662611,0.209298873,-0.336651116
4/12/2014,-0.050975464,-0.063453668,-0.04106351,-0.073465658
4/14/2014,0.000714302,-0.049474775,0.00136648,-0.002999745
4/15/2014,-0.077806669,-0.045732032,-0.087497124,-1.279562598
4/16/2014,-0.202039647,-0.113535685,-0.223708315,-0.881470781
4/17/2014,-0.175106611,-0.092391345,-0.188610323,0.208734781
4/18/2014,0.105929484,-0.034485915,0.118412691,0.212369991
4/21/2014,0.12681713,-0.034292834,0.132548558,-1.237247394
4/22/2014,-0.111227208,-0.111288146,-0.09469892,0.003090394
