"Index" "CL.Open" "CL.High" "CL.Low" "CL.Close" "CL.Volume" "CL.Adjusted"
2013-06-14 58.509998 59.009998 58.209999 58.82 3099100 55.688745
2013-06-17 59.099998 59.919998 59.029999 59.639999 3724200 56.465093
2013-06-18 59.700001 59.919998 59.48 59.700001 3156100 56.5219
2013-06-19 59.669998 59.799999 57.98 58 4256400 54.912398
2013-06-20 57.599998 57.720001 55.689999 55.869999 7546900 52.895786
2013-06-21 56.389999 57.09 56.009998 56.810001 6013600 53.785748
2013-06-24 56.279999 56.740002 55.470001 56.150002 4418700 53.160883
2013-06-25 56.490002 56.66 55.860001 56.220001 4152100 53.227157
2013-06-26 56.779999 57.200001 56.419998 57 4130400 53.965632
2013-06-27 57.509998 57.830002 57.139999 57.389999 2983100 54.33487
2013-06-28 57.099998 57.669998 56.799999 57.290001 5508900 54.240195
2013-07-01 57.599998 58.66 57.580002 57.950001 3727600 54.86506
2013-07-02 57.939999 58.200001 57.5 57.720001 3355700 54.647305
2013-07-03 57.540001 57.939999 57.189999 57.82 2443200 54.74198
2013-07-05 58 58.220001 57.110001 57.860001 2501300 54.779851
2013-07-08 57.98 58.639999 57.98 58.580002 2492100 55.461524
2013-07-09 59.029999 59.240002 58.82 58.98 2916100 55.840228
2013-07-10 58.990002 59.27 58.490002 58.619999 2434900 55.499392
2013-07-11 59.240002 59.360001 58.630001 58.950001 4292100 55.811826
2013-07-12 58.98 59.23 58.669998 59.139999 2651200 55.99171
2013-07-15 59.240002 59.27 58.580002 58.82 3302400 55.688745
2013-07-16 58.709999 58.799999 58.09 58.48 3068000 55.366845
2013-07-17 58.599998 58.709999 58.07 58.360001 2873500 55.253234
2013-07-18 58.330002 58.990002 58.209999 58.799999 3242900 55.66981
2013-07-19 58.470001 58.919998 58.25 58.880001 3135900 56.069766
2013-07-22 58.759998 59.07 58.450001 58.650002 2303700 55.850744
2013-07-23 58.610001 58.790001 58.23 58.41 2627100 55.622197
2013-07-24 58.5 58.66 58.200001 58.470001 3935200 55.679334
2013-07-25 58.700001 59.900002 58.5 59.619999 4558000 56.774445
2013-07-26 59.459999 60.259998 59.150002 60.25 4022400 57.374377
2013-07-29 59.990002 60.360001 59.849998 60.080002 2992400 57.212493
2013-07-30 60.400002 60.68 59.91 60.240002 3269000 57.364856
2013-07-31 60.34 60.669998 59.849998 59.869999 3867500 57.012513
2013-08-01 60.27 60.82 60.240002 60.560001 2799300 57.669583
2013-08-02 60.259998 60.580002 60.009998 60.529999 2508800 57.641012
2013-08-05 60.490002 61.080002 60.459999 60.98 2965100 58.069535
2013-08-06 60.82 61.25 60.759998 60.990002 2586100 58.07906
2013-08-07 60.799999 61.169998 60.650002 60.939999 2469800 58.031443
2013-08-08 61.27 61.5 60.5 60.91 2817000 58.002876
2013-08-09 60.830002 61.049999 60.470001 60.68 1656000 57.783854
2013-08-12 60.299999 60.98 60.240002 60.959999 2276400 58.050489
2013-08-13 61 61.200001 60.790001 61.080002 2430100 58.164764
2013-08-14 61 61.139999 60.439999 60.669998 2383200 57.77433
2013-08-15 60.299999 60.580002 59.689999 59.810001 2814400 56.955379
