"Index" "CSC.Open" "CSC.High" "CSC.Low" "CSC.Close" "CSC.Volume" "CSC.Adjusted"
2013-05-09 48.5 49.279999 48.209999 48.830002 1259700 47.050895
2013-05-10 48.860001 49.310001 48.66 49.290001 649900 47.494134
2013-05-13 49.07 49.189999 48.560001 48.790001 663200 47.012351
2013-05-14 48.889999 49.720001 48.860001 49.490002 1921800 47.686848
2013-05-15 50.259998 50.259998 43.549999 44.709999 6156900 43.081003
2013-05-16 43.740002 44.119999 42.43 42.59 3978200 41.038246
2013-05-17 42.779999 44.720001 42.73 44.599998 3385800 42.97501
2013-05-20 44.369999 45.130001 44.369999 44.650002 2342200 43.023192
2013-05-21 44.57 44.869999 44.25 44.299999 1786400 42.685942
2013-05-22 44.25 44.43 43.099998 43.459999 2952000 41.876547
2013-05-23 43.27 43.830002 43.130001 43.66 1435500 42.06926
2013-05-24 43.330002 43.330002 42.540001 43.259998 1082500 41.683833
2013-05-28 43.599998 43.93 43.02 43.200001 1581000 41.626021
2013-05-29 42.869999 43.860001 42.82 43.549999 1678100 41.963268
2013-05-30 43.700001 44.470001 43.59 44.32 1744800 42.705213
2013-05-31 44.119999 45.360001 44.099998 44.610001 2103600 42.984648
2013-06-03 44.48 44.73 43.790001 44.700001 2526600 43.071369
2013-06-04 44.68 44.98 44.490002 44.82 2380300 43.186996
2013-06-05 44.689999 45 44.459999 44.700001 3014300 43.071369
2013-06-06 44.68 45.419998 44.549999 45.419998 1834300 43.765134
2013-06-07 45.669998 46.810001 44.740002 46.740002 1838500 45.037043
2013-06-10 46.790001 46.810001 46.040001 46.07 984000 44.391453
2013-06-11 45.360001 45.880001 44.950001 45.119999 1149400 43.476065
2013-06-12 45.389999 45.490002 44.060001 44.150002 1403300 42.73082
2013-06-13 44.080002 44.700001 43.73 44.610001 883900 43.176032
2013-06-14 44.880001 45.41 44.599998 44.860001 1844000 43.417996
2013-06-17 45.189999 45.66 45.09 45.200001 1181500 43.747067
2013-06-18 45.299999 45.939999 45.150002 45.689999 1196100 44.221314
2013-06-19 45.57 45.900002 45.450001 45.59 1389500 44.12453
2013-06-20 45.09 45.23 44.150002 44.360001 2412400 42.934069
2013-06-21 44.720001 44.720001 43.09 44.349998 2424500 42.924388
2013-06-24 43.880001 43.959999 42.709999 43.049999 1705600 41.666177
2013-06-25 43.470001 43.919998 43.380001 43.73 1190100 42.324319
2013-06-26 44.220001 44.490002 43.93 44.040001 1218400 42.624355
2013-06-27 44.25 45.029999 44.25 44.68 1254700 43.243782
2013-06-28 44.189999 44.189999 42.540001 43.77 2522400 42.363034
2013-07-01 43.990002 45.080002 43.990002 44.599998 1376800 43.166352
2013-07-02 44.48 44.93 44.23 44.509998 1183000 43.079245
2013-07-03 44.299999 45.880001 44.299999 45.580002 929800 44.114853
2013-07-05 45.869999 46.52 45.790001 46.459999 1243500 44.966563
2013-07-08 46.57 47.580002 46.57 47.060001 1700900 45.547279
2013-07-09 47.419998 47.66 47 47.279999 1814000 45.760205
2013-07-10 47.25 47.470001 47.009998 47.389999 1073200 45.866669
2013-07-11 47.950001 48.040001 47.48 47.700001 982800 46.166706
2013-07-12 47.779999 47.990002 47.560001 47.790001 793300 46.253813
2013-07-15 47.669998 47.799999 47.23 47.639999 702100 46.108633
2013-07-16 47.75 47.919998 46.610001 46.779999 1325400 45.276277
2013-07-17 46.82 47.110001 46.560001 46.689999 727500 45.18917
2013-07-18 46.689999 47.43 46.59 46.889999 1410300 45.382742
2013-07-19 46.779999 47.580002 46.75 47.389999 900700 45.866669
2013-07-22 47.369999 47.75 47.200001 47.549999 519700 46.021526
2013-07-23 47.68 47.799999 47.09 47.470001 644700 45.9441
2013-07-24 47.759998 48.09 47.369999 47.529999 532900 46.002169
2013-07-25 47.419998 47.98 47.009998 47.919998 877600 46.379632
2013-07-26 47.459999 47.790001 47 47.759998 604200 46.224775
2013-07-29 47.57 47.759998 47.060001 47.32 476600 45.79892
2013-07-30 47.669998 47.91 47.470001 47.5 854600 45.973134
2013-07-31 47.700001 48.209999 47.540001 47.66 1113600 46.127991
2013-08-01 48.32 49.380001 48.200001 49.240002 1152100 47.657204
2013-08-02 49 49.41 48.599998 49.389999 1154700 47.80238
2013-08-05 49.299999 50.279999 49.110001 50.189999 1059100 48.576664
2013-08-06 50.16 50.220001 49.43 49.959999 1372900 48.354058
2013-08-07 51.349998 54.799999 51.330002 54.200001 4582100 52.457766
2013-08-08 53.790001 53.84 52.07 52.150002 2706600 50.473663
2013-08-09 52.049999 52.84 51.849998 52.080002 1934000 50.405914
2013-08-12 51.860001 52.759998 51.849998 52.130001 1562600 50.454306
2013-08-13 52.130001 52.66 51.810001 52.27 1336000 50.589805
2013-08-14 52.360001 52.599998 51.990002 52.209999 1060000 50.531732
2013-08-15 51.599998 51.720001 51.07 51.299999 743100 49.650984
2013-08-16 51.25 52.139999 51.09 51.549999 830500 49.892948
2013-08-19 51.32 52 50.98 51.02 1058700 49.379986
2013-08-20 51.130001 52.32 51.080002 52.099998 1032800 50.425268
2013-08-21 51.93 51.959999 50.650002 50.720001 925200 49.08963
2013-08-22 50.779999 51.91 50.709999 51.59 647800 49.931663
2013-08-23 51.75 51.900002 51.330002 51.529999 530000 49.87359
2013-08-26 51.41 51.84 51.27 51.330002 600200 49.680022
2013-08-27 50.75 50.849998 50.080002 50.130001 792600 48.518595
2013-08-28 50.209999 50.77 50.009998 50.009998 705900 48.40245
2013-08-29 49.759998 50.599998 49.759998 50.349998 526100 48.731521
2013-08-30 50.259998 50.52 49.779999 50.150002 1079300 48.731522
2013-09-03 50.919998 51.41 50.07 50.459999 1091500 49.032752
2013-09-04 50.43 51.25 50.25 50.82 1154600 49.38257
2013-09-05 50.709999 50.91 50.529999 50.66 906200 49.227096
2013-09-06 50.77 50.970001 50.139999 50.490002 735600 49.061906
2013-09-09 50.709999 51.110001 50.68 50.810001 747200 49.372854
2013-09-10 51.16 51.32 50.82 50.849998 1039800 49.41172
2013-09-11 51.200001 52.490002 50.91 52.299999 1322300 50.820708
2013-09-12 52.169998 52.400002 51.389999 51.439999 681900 49.985032
2013-09-13 51.650002 52.130001 51.459999 51.619999 702500 50.159941
2013-09-16 52.32 52.959999 52.259998 52.650002 1027700 51.160811
2013-09-17 52.650002 53.189999 52.299999 53.009998 744200 51.510625
2013-09-18 53 53.509998 52.080002 53.32 871700 51.811858
2013-09-19 53.32 53.630001 52.73 52.740002 1039000 51.248265
2013-09-20 52.77 52.919998 51.98 52.009998 1843500 50.53891
2013-09-23 51.919998 52.169998 51.48 51.790001 723900 50.325135
2013-09-24 51.860001 52.57 51.799999 51.900002 980400 50.432024
2013-09-25 51.889999 52.23 51.709999 51.75 890400 50.286265
2013-09-26 51.689999 52.139999 51.59 51.810001 601600 50.34457
2013-09-27 51.549999 52.099998 51.349998 52.02 615600 50.548629
2013-09-30 51.599998 51.990002 51.110001 51.740002 576700 50.27655
2013-10-01 51.75 52.389999 51.68 51.990002 925500 50.519479
2013-10-02 51.57 52.25 51.509998 52.150002 553400 50.674953
2013-10-03 51.77 51.990002 51.369999 51.549999 658400 50.091922
2013-10-04 51.52 52.349998 51.380001 51.919998 515400 50.451455
2013-10-07 51.470001 51.540001 50.799999 50.869999 1152200 49.431155
2013-10-08 50.849998 50.990002 49.259998 49.970001 1557600 48.556613
2013-10-09 50.060001 50.189999 49.330002 49.740002 1229200 48.333119
2013-10-10 50.380001 51.439999 50.360001 51.43 895200 49.975317
