"Index" "USD.PHP"
2014-03-15 44.7079
2014-03-16 44.6907
2014-03-17 44.6451
2014-03-18 44.73
2014-03-19 44.8558
2014-03-20 45.1411
2014-03-21 45.2616
2014-03-22 45.2003
2014-03-23 45.1985
2014-03-24 45.1571
2014-03-25 45.0979
2014-03-26 44.9737
2014-03-27 44.9551
2014-03-28 44.8714
2014-03-29 44.7802
2014-03-30 44.775
2014-03-31 44.8003
2014-04-01 44.7579
2014-04-02 44.8535
2014-04-03 45.0208
2014-04-04 44.9264
2014-04-05 44.988
2014-04-06 44.9726
2014-04-07 44.8881
2014-04-08 44.7248
2014-04-09 44.5968
2014-04-10 44.4319
2014-04-11 44.3721
2014-04-12 44.4405
2014-04-13 44.4236
2014-04-14 44.4377
2014-04-15 44.5208
2014-04-16 44.4419
2014-04-17 44.3914
2014-04-18 44.3866
2014-04-19 44.3481
2014-04-20 44.346
2014-04-21 44.4174
2014-04-22 44.4981
2014-04-23 44.6636
2014-04-24 44.7416
2014-04-25 44.6537
2014-04-26 44.615
2014-04-27 44.615
2014-04-28 44.5221
2014-04-29 44.4578
2014-04-30 44.5198
2014-05-01 44.547
2014-05-02 44.5138
2014-05-03 44.5207
2014-05-04 44.505
2014-05-05 44.4431
2014-05-06 44.3182
2014-05-07 44.2688
2014-05-08 44.0669
2014-05-09 43.7323
2014-05-10 43.6461
2014-05-11 43.65
2014-05-12 43.6936
2014-05-13 43.7397
2014-05-14 43.6133
2014-05-15 43.6983
2014-05-16 43.7464
2014-05-17 43.7493
2014-05-18 43.7949
2014-05-19 43.644
2014-05-20 43.7173
2014-05-21 43.7378
2014-05-22 43.6517
2014-05-23 43.6313
2014-05-24 43.625
2014-05-25 43.625
2014-05-26 43.6807
2014-05-27 43.7594
2014-05-28 43.8891
2014-05-29 43.884
2014-05-30 43.8374
2014-05-31 43.855
2014-06-01 43.855
2014-06-02 43.8704
2014-06-03 43.8578
2014-06-04 43.8896
2014-06-05 43.7662
2014-06-06 43.6054
2014-06-07 43.515
2014-06-08 43.5215
2014-06-09 43.5854
2014-06-10 43.6829
2014-06-11 43.7736
2014-06-12 43.7868
2014-06-13 43.8294
2014-06-14 43.8855
2014-06-15 43.885
2014-06-16 43.8791
2014-06-17 43.9471
2014-06-18 43.9798
2014-06-19 43.8487
2014-06-20 43.8035
2014-06-21 43.895
2014-06-22 43.825
2014-06-23 43.8187
2014-06-24 43.8451
2014-06-25 43.8747
2014-06-26 43.8117
2014-06-27 43.7655
2014-06-28 43.735
2014-06-29 43.74
2014-06-30 43.6558
2014-07-01 43.6175
2014-07-02 43.6233
2014-07-03 43.5893
