"Index" "NP.Open" "NP.High" "NP.Low" "NP.Close" "NP.Volume" "NP.Adjusted"
2013-09-03 37.200001 38.439999 36.509998 36.91 103700 35.313067
2013-09-04 36.900002 37.43 36.57 37.27 87200 35.657492
2013-09-05 37.400002 37.849998 37.259998 37.27 32400 35.657492
2013-09-06 37.549999 37.73 36.720001 37.509998 32000 35.887106
2013-09-09 37.68 38.77 37.669998 38.490002 44300 36.824709
2013-09-10 38.52 39.029999 38.369999 38.470001 47900 36.805574
2013-09-11 38.349998 38.740002 38.049999 38.490002 63600 36.824709
2013-09-12 38.299999 38.459999 37.709999 37.970001 50000 36.327207
2013-09-13 38.169998 38.84 38.060001 38.759998 43500 37.083024
2013-09-16 39.279999 39.34 38.720001 38.880001 43200 37.197835
2013-09-17 39 39.080002 38.009998 38.400002 62500 36.738603
2013-09-18 38.400002 39 37.880001 38.450001 112500 36.786439
2013-09-19 38.450001 38.849998 38.25 38.779999 38200 37.10216
2013-09-20 39.02 39.77 38.57 38.689999 99400 37.016053
2013-09-23 38.799999 38.880001 38.049999 38.73 58300 37.054324
2013-09-24 38.57 39.18 38.130001 38.82 51900 37.14043
2013-09-25 38.810001 39.07 38.34 38.389999 34100 36.729034
2013-09-26 38.580002 39 38.200001 38.990002 41500 37.303077
2013-09-27 38.689999 39.290001 38.59 39.139999 75500 37.446585
2013-09-30 38.73 39.330002 38.619999 39.310001 76800 37.609231
2013-10-01 39.360001 39.669998 38.84 39.59 85800 37.877116
2013-10-02 39.369999 39.630001 38.93 39.360001 58000 37.657067
2013-10-03 39.200001 39.610001 38.709999 38.970001 41900 37.283941
2013-10-04 38.82 39.369999 38.549999 39.02 39400 37.331777
2013-10-07 38.849998 39.169998 38.639999 38.98 52700 37.293507
2013-10-08 38.810001 38.810001 38 38.220001 42900 36.566391
2013-10-09 38.360001 38.75 37.5 37.810001 49100 36.17413
2013-10-10 38.380001 38.990002 38.18 38.900002 33300 37.21697
2013-10-11 38.610001 39.990002 38.450001 39.830002 46500 38.106734
2013-10-14 39.43 40 39.150002 39.610001 82800 37.896251
2013-10-15 39.580002 39.669998 39.259998 39.470001 34600 37.762309
2013-10-16 39.610001 40.689999 39.259998 40.470001 149500 38.719043
2013-10-17 40.25 41 40.150002 40.970001 55000 39.19741
2013-10-18 41 41.48 40.57 41.48 53800 39.685343
2013-10-21 41.5 41.5 40.91 41.119999 35700 39.340918
2013-10-22 41.150002 41.720001 41.049999 41.369999 37800 39.580102
2013-10-23 41.299999 41.639999 40.830002 41.18 36500 39.398324
2013-10-24 41.43 41.779999 40.959999 41.610001 50400 39.80972
2013-10-25 41.830002 41.830002 40.799999 41.389999 62100 39.599237
2013-10-28 41.48 41.84 41.25 41.830002 47500 40.020202
2013-10-29 41.990002 42 41 41.439999 46200 39.647073
2013-10-30 41.369999 41.720001 41 41.02 48200 39.245246
2013-10-31 41 41.619999 40.970001 41.139999 68300 39.360053
2013-11-01 41.060001 41.799999 40.73 41.48 103700 39.685343
2013-11-04 41.380001 42 41.060001 41.75 74400 39.943662
2013-11-05 41.709999 42.07 41.5 41.889999 76100 40.077604
2013-11-06 42.200001 42.419998 41.200001 41.48 53400 39.685343
2013-11-07 41.98 41.98 40.509998 40.799999 64700 39.034764
