"Index" "NOB.Open" "NOB.High" "NOB.Low" "NOB.Close" "NOB.Volume" "NOB.Adjusted"
2013-07-31 0.035 0.035 0.035 0.035 35000 0.035
2013-08-01 0.035 0.035 0.035 0.035 0 0.035
2013-08-02 0.035 0.035 0.035 0.035 5000 0.035
2013-08-05 0.035 0.035 0.035 0.035 0 0.035
2013-08-06 0.04 0.04 0.04 0.04 5000 0.04
2013-08-07 0.04 0.04 0.04 0.04 0 0.04
2013-08-08 0.035 0.035 0.035 0.035 5000 0.035
2013-08-09 0.035 0.035 0.035 0.035 0 0.035
2013-08-12 0.035 0.035 0.035 0.035 103000 0.035
2013-08-13 0.04 0.04 0.04 0.04 32000 0.04
2013-08-14 0.035 0.035 0.035 0.035 2000 0.035
2013-08-15 0.04 0.045 0.04 0.045 101200 0.045
2013-08-16 0.05 0.05 0.05 0.05 3000 0.05
2013-08-19 0.045 0.045 0.04 0.04 30400 0.04
2013-08-20 0.045 0.045 0.04 0.04 57000 0.04
2013-08-21 0.045 0.045 0.045 0.045 25000 0.045
2013-08-22 0.045 0.045 0.045 0.045 48000 0.045
2013-08-23 0.045 0.045 0.045 0.045 52000 0.045
2013-08-26 0.045 0.045 0.04 0.045 41000 0.045
2013-08-27 0.05 0.05 0.05 0.05 50000 0.05
2013-08-28 0.045 0.05 0.045 0.05 58000 0.05
2013-08-29 0.05 0.05 0.05 0.05 0 0.05
2013-08-30 0.05 0.05 0.05 0.05 0 0.05
2013-09-02 0.05 0.05 0.05 0.05 0 0.05
2013-09-03 0.04 0.045 0.04 0.04 26000 0.04
2013-09-04 0.04 0.04 0.04 0.04 100500 0.04
2013-09-05 0.04 0.04 0.035 0.035 75000 0.035
2013-09-06 0.04 0.04 0.035 0.04 36000 0.04
2013-09-09 0.04 0.04 0.035 0.035 17000 0.035
2013-09-10 0.035 0.035 0.035 0.035 1500 0.035
2013-09-11 0.04 0.04 0.035 0.035 40000 0.035
2013-09-12 0.04 0.04 0.04 0.04 10500 0.04
2013-09-13 0.035 0.035 0.035 0.035 45000 0.035
2013-09-16 0.03 0.03 0.025 0.03 378000 0.03
2013-09-17 0.025 0.03 0.025 0.03 54000 0.03
2013-09-18 0.03 0.03 0.03 0.03 0 0.03
2013-09-19 0.025 0.025 0.025 0.025 278000 0.025
2013-09-20 0.025 0.025 0.02 0.025 165400 0.025
2013-09-23 0.025 0.025 0.025 0.025 0 0.025
2013-09-24 0.03 0.03 0.03 0.03 2000 0.03
2013-09-25 0.03 0.03 0.025 0.025 61000 0.025
2013-09-26 0.025 0.025 0.025 0.025 0 0.025
2013-09-27 0.025 0.025 0.025 0.025 10000 0.025
2013-09-30 0.025 0.025 0.025 0.025 28000 0.025
2013-10-01 0.025 0.025 0.025 0.025 1e+05 0.025
2013-10-02 0.03 0.03 0.03 0.03 7000 0.03
2013-10-03 0.03 0.03 0.03 0.03 0 0.03
2013-10-04 0.02 0.02 0.02 0.02 6500 0.02
