"Index" "CIN.Open" "CIN.High" "CIN.Low" "CIN.Close" "CIN.Volume" "CIN.Adjusted"
2014-03-27 3.762 3.762 3.762 3.762 0 3.57174
2014-03-28 3.696 3.696 3.696 3.696 0 3.50907
2014-03-31 3.668 3.668 3.668 3.668 0 3.48249
2014-04-01 3.589 3.589 3.589 3.589 0 3.40749
2014-04-02 3.678 3.68 3.678 3.68 1700 3.49388
2014-04-03 3.676 3.676 3.676 3.676 0 3.49009
2014-04-04 3.272 3.272 3.272 3.272 600 3.10652
2014-04-07 3.623 3.623 3.623 3.623 0 3.43977
2014-04-08 3.676 3.676 3.676 3.676 0 3.49009
2014-04-09 3.674 3.674 3.674 3.674 0 3.48819
2014-04-10 3.654 3.654 3.654 3.654 0 3.4692
2014-04-11 3.652 3.652 3.652 3.652 0 3.4673
2014-04-14 3.629 3.646 3.629 3.646 400 3.4616
2014-04-15 3.65 3.65 3.65 3.65 0 3.4654
2014-04-16 3.625 3.625 3.625 3.625 0 3.44167
2014-04-17 3.615 3.615 3.615 3.615 2000 3.43217
2014-04-18 3.615 3.615 3.615 3.615 0 3.43217
2014-04-21 3.615 3.615 3.615 3.615 0 3.43217
2014-04-22 3.649 3.649 3.649 3.649 0 3.46445
2014-04-23 3.597 3.597 3.597 3.597 0 3.41508
2014-04-24 3.604 3.604 3.604 3.604 0 3.42173
2014-04-25 3.609 3.609 3.609 3.609 0 3.42647
2014-04-28 3.571 3.571 3.544 3.544 1200 3.36476
2014-04-29 3.6 3.6 3.6 3.6 0 3.41793
2014-04-30 3.612 3.612 3.612 3.612 0 3.42932
2014-05-01 3.612 3.612 3.612 3.612 0 3.42932
2014-05-02 3.616 3.616 3.616 3.616 0 3.43312
2014-05-05 3.616 3.616 3.616 3.616 0 3.43312
2014-05-06 3.4 3.572 3.4 3.572 1200 3.39135
2014-05-07 3.598 3.598 3.598 3.598 0 3.41603
2014-05-08 3.583 3.583 3.583 3.583 0 3.40179
2014-05-09 3.575 3.575 3.575 3.575 0 3.39419
2014-05-12 3.564 3.564 3.564 3.564 0 3.38375
2014-05-13 3.564 3.564 3.564 3.564 0 3.38375
2014-05-14 3.65 3.65 3.65 3.65 900 3.4654
2014-05-15 3.609 3.609 3.609 3.609 0 3.42647
2014-05-16 3.571 3.571 3.571 3.571 0 3.3904
2014-05-19 3.562 3.562 3.562 3.562 0 3.38185
2014-05-20 3.623 3.625 3.623 3.625 200 3.44167
2014-05-21 3.636 3.636 3.636 3.636 0 3.45211
2014-05-22 3.62 3.62 3.62 3.62 0 3.43692
2014-05-23 3.623 3.623 3.623 3.623 0 3.43977
2014-05-26 3.55 3.55 3.55 3.55 0 3.37046
2014-05-27 3.597 3.597 3.597 3.597 0 3.41508
2014-05-28 3.617 3.617 3.617 3.617 0 3.43407
2014-05-29 3.604 3.604 3.604 3.604 0 3.42173
2014-05-30 3.459 3.459 3.459 3.459 500 3.28406
2014-06-02 3.586 3.586 3.586 3.586 0 3.40464
2014-06-03 3.604 3.604 3.604 3.604 0 3.42173
