"Index" "MIR.Open" "MIR.High" "MIR.Low" "MIR.Close" "MIR.Volume" "MIR.Adjusted"
2014-06-06 0.004 0.004 0.004 0.004 0 0.004
2014-06-09 0.004 0.004 0.004 0.004 0 0.004
2014-06-10 0.004 0.004 0.004 0.004 0 0.004
2014-06-11 0.004 0.004 0.004 0.004 0 0.004
2014-06-12 0.005 0.005 0.005 0.005 0 0.005
2014-06-13 0.005 0.005 0.005 0.005 0 0.005
2014-06-16 0.004 0.004 0.004 0.004 0 0.004
2014-06-17 0.004 0.004 0.004 0.004 0 0.004
2014-06-18 0.005 0.005 0.005 0.005 0 0.005
2014-06-19 0.005 0.005 0.005 0.005 0 0.005
2014-06-20 0.005 0.005 0.005 0.005 0 0.005
2014-06-23 0.005 0.005 0.005 0.005 0 0.005
2014-06-24 0.005 0.005 0.005 0.005 0 0.005
2014-06-25 0.005 0.005 0.005 0.005 0 0.005
2014-06-26 0.004 0.004 0.004 0.004 0 0.004
2014-06-27 0.002 0.002 0.002 0.002 0 0.002
2014-06-30 0.002 0.002 0.002 0.002 0 0.002
2014-07-01 0.002 0.002 0.002 0.002 0 0.002
2014-07-02 0.002 0.002 0.002 0.002 0 0.002
2014-07-03 0.002 0.002 0.002 0.002 0 0.002
2014-07-04 0.002 0.002 0.002 0.002 0 0.002
2014-07-07 0.002 0.002 0.002 0.002 0 0.002
2014-07-08 0.002 0.002 0.002 0.002 0 0.002
2014-07-09 0.002 0.002 0.002 0.002 0 0.002
2014-07-10 0.002 0.002 0.002 0.002 0 0.002
2014-07-11 0.002 0.002 0.002 0.002 0 0.002
2014-07-14 0.002 0.002 0.002 0.002 0 0.002
2014-07-15 0.002 0.002 0.002 0.002 0 0.002
2014-07-16 0.002 0.002 0.002 0.002 0 0.002
2014-07-17 0.002 0.002 0.002 0.002 0 0.002
2014-07-18 0.001 0.001 0.001 0.001 0 0.001
2014-07-21 0.001 0.001 0.001 0.001 0 0.001
2014-07-22 0.001 0.001 0.001 0.001 0 0.001
2014-07-23 0.001 0.001 0.001 0.001 0 0.001
2014-07-24 0.001 0.001 0.001 0.001 0 0.001
2014-07-25 0.001 0.001 0.001 0.001 0 0.001
2014-07-28 0.001 0.001 0.001 0.001 0 0.001
2014-07-29 0.001 0.001 0.001 0.001 0 0.001
2014-07-30 0.001 0.001 0.001 0.001 0 0.001
2014-07-31 0.001 0.001 0.001 0.001 0 0.001
2014-08-01 0.001 0.001 0.001 0.001 0 0.001
2014-08-04 0.001 0.001 0.001 0.001 0 0.001
2014-08-05 0.001 0.001 0.001 0.001 0 0.001
2014-08-06 0.001 0.001 0.001 0.001 0 0.001
2014-08-07 0.001 0.001 0.001 0.001 0 0.001
2014-08-08 0.001 0.001 0.001 0.001 0 0.001
2014-08-11 0.001 0.001 0.001 0.001 0 0.001
2014-08-12 0.001 0.001 0.001 0.001 0 0.001
2014-08-13 0.001 0.001 0.001 0.001 0 0.001
2014-08-14 0.001 0.001 0.001 0.001 0 0.001
2014-08-15 0.001 0.001 0.001 0.001 0 0.001
2014-08-18 0.001 0.001 0.001 0.001 0 0.001
2014-08-19 0.001 0.001 0.001 0.001 0 0.001
2014-08-20 0.001 0.001 0.001 0.001 0 0.001
2014-08-21 0.001 0.001 0.001 0.001 0 0.001
2014-08-22 0.001 0.001 0.001 0.001 0 0.001
2014-08-25 0.001 0.001 0.001 0.001 0 0.001
2014-08-26 0.001 0.001 0.001 0.001 0 0.001
2014-08-27 0.001 0.001 0.001 0.001 0 0.001
2014-08-28 0.001 0.001 0.001 0.001 0 0.001
2014-08-29 0.001 0.001 0.001 0.001 0 0.001
2014-09-01 0.001 0.001 0.001 0.001 0 0.001
2014-09-02 0.001 0.001 0.001 0.001 0 0.001
2014-09-03 0.001 0.001 0.001 0.001 0 0.001
2014-09-04 0.001 0.001 0.001 0.001 0 0.001
2014-09-05 0.001 0.001 0.001 0.001 0 0.001
2014-09-08 0.001 0.001 0.001 0.001 0 0.001
2014-09-09 0.001 0.001 0.001 0.001 0 0.001
2014-09-10 0.001 0.001 0.001 0.001 0 0.001
2014-09-11 0.001 0.001 0.001 0.001 0 0.001
2014-09-12 0.001 0.001 0.001 0.001 0 0.001
2014-09-15 0.001 0.001 0.001 0.001 0 0.001
2014-09-16 0.001 0.001 0.001 0.001 0 0.001
2014-09-17 0.001 0.001 0.001 0.001 0 0.001
2014-09-18 0.001 0.001 0.001 0.001 0 0.001
2014-09-19 0.001 0.001 0.001 0.001 0 0.001
2014-09-22 0.001 0.001 0.001 0.001 0 0.001
2014-09-23 0.001 0.001 0.001 0.001 0 0.001
2014-09-24 0.001 0.001 0.001 0.001 0 0.001
2014-09-25 0.001 0.001 0.001 0.001 0 0.001
2014-09-26 0.001 0.001 0.001 0.001 0 0.001
2014-09-29 0.001 0.001 0.001 0.001 0 0.001
2014-09-30 0.001 0.001 0.001 0.001 0 0.001
2014-10-01 0.001 0.001 0.001 0.001 0 0.001
2014-10-02 0.001 0.001 0.001 0.001 0 0.001
2014-10-03 0.001 0.001 0.001 0.001 0 0.001
2014-10-06 0.001 0.001 0.001 0.001 0 0.001
2014-10-07 0.001 0.001 0.001 0.001 0 0.001
2014-10-08 0.001 0.001 0.001 0.001 0 0.001
2014-10-09 0.001 0.001 0.001 0.001 0 0.001
2014-10-10 0.001 0.001 0.001 0.001 0 0.001
2014-10-13 0.001 0.001 0.001 0.001 0 0.001
2014-10-14 0.001 0.001 0.001 0.001 0 0.001
2014-10-15 0.001 0.001 0.001 0.001 0 0.001
2014-10-16 0.001 0.001 0.001 0.001 0 0.001
2014-10-17 0.001 0.001 0.001 0.001 0 0.001
2014-10-20 0.001 0.001 0.001 0.001 0 0.001
2014-10-21 0.001 0.001 0.001 0.001 0 0.001
2014-10-22 0.001 0.001 0.001 0.001 0 0.001
2014-10-23 0.001 0.001 0.001 0.001 0 0.001
2014-10-24 0.001 0.001 0.001 0.001 0 0.001
