"Index" "USD.NOK"
2015-09-21 8.185
2015-09-22 8.2492
2015-09-23 8.2883
2015-09-24 8.3671
2015-09-25 8.5046
2015-09-26 8.5049
2015-09-27 8.5049
2015-09-28 8.544
2015-09-29 8.5049
2015-09-30 8.4879
2015-10-01 8.4811
2015-10-02 8.4166
2015-10-03 8.3812
2015-10-04 8.3812
2015-10-05 8.3784
2015-10-06 8.3601
2015-10-07 8.2464
2015-10-08 8.1809
2015-10-09 8.1087
2015-10-10 8.0841
2015-10-11 8.0841
2015-10-12 8.0775
2015-10-13 8.1183
2015-10-14 8.115
2015-10-15 8.0827
2015-10-16 8.0975
2015-10-17 8.1116
2015-10-18 8.1116
2015-10-19 8.1133
2015-10-20 8.1266
2015-10-21 8.1514
2015-10-22 8.2186
2015-10-23 8.3314
2015-10-24 8.3865
2015-10-25 8.3865
2015-10-26 8.3627
2015-10-27 8.3921
2015-10-28 8.4889
2015-10-29 8.5696
2015-10-30 8.5385
2015-10-31 8.486
2015-11-01 8.486
