"Index" "KRK.Open" "KRK.High" "KRK.Low" "KRK.Close" "KRK.Volume" "KRK.Adjusted"
2013-11-22 260 260 260 260 8000 253.79686
2013-11-25 260 260 260 260 500 253.79686
2013-11-26 260 260 250 250 34700 244.03544
2013-11-27 250 250 250 250 34700 244.03544
2013-11-28 250 250 250 250 34700 244.03544
2013-11-29 250 250 250 250 34700 244.03544
2013-12-02 250 250 250 250 34700 244.03544
2013-12-03 250 250 250 250 34700 244.03544
2013-12-04 250 250 250 250 34700 244.03544
2013-12-05 250 250 250 250 34700 244.03544
2013-12-06 250 250 250 250 34700 244.03544
2013-12-09 250 250 250 250 100 244.03544
2013-12-10 250 250 250 250 100 244.03544
2013-12-11 250 250 250 250 100 244.03544
2013-12-12 250 250 250 250 2000 244.03544
2013-12-13 255 255 250 250 700 244.03544
2013-12-16 250.3 269.20001 250 269.20001 29400 262.77737
2013-12-17 269.20001 269.20001 250.45 250.45 3400 244.4747
2013-12-18 250.45 254.39999 250.45 254.39999 12900 248.33046
2013-12-19 254.5 254.5 254.5 254.5 4500 248.42808
2013-12-20 250.45 254.39999 250.45 254.39999 12900 248.33046
2013-12-23 268 268 268 268 3900 261.60599
2013-12-24 268 268 268 268 0 261.60599
2013-12-25 268 268 268 268 0 261.60599
2013-12-26 268 268 268 268 0 261.60599
2013-12-27 268 268 268 268 3900 261.60599
2013-12-30 249.64999 249.64999 249.64999 249.64999 8900 243.69378
2013-12-31 249.64999 249.64999 249.64999 249.64999 0 243.69378
2014-01-01 249.64999 249.64999 249.64999 249.64999 0 243.69378
2014-01-02 250 260 241 260 800 253.79686
2014-01-03 250 253 250 252 2400 245.98772
2014-01-06 252 252 252 252 0 245.98772
2014-01-07 251.45 251.45 251.45 251.45 300 245.45084
2014-01-08 247.5 247.5 247.5 247.5 0 241.59508
2014-01-09 247.5 247.5 247.5 247.5 0 241.59508
2014-01-10 247.5 247.5 247.5 247.5 0 241.59508
2014-01-13 247.5 247.5 247.5 247.5 0 241.59508
2014-01-14 247.5 247.5 247.5 247.5 0 241.59508
2014-01-15 260 260 260 260 0 253.79686
2014-01-16 260 260 260 260 0 253.79686
2014-01-17 260.5 261.10001 260.20001 261 8000 254.773
2014-01-20 261 261.70001 261 261.5 5600 255.26107
2014-01-21 261.79999 261.79999 261.60001 261.60001 3600 255.35869
2014-01-22 261.70001 261.70001 261.70001 261.70001 2400 255.45631
2014-01-23 260 260 260 260 2200 253.79686
2014-01-24 260 260 260 260 2200 253.79686
2014-01-27 260 260 260 260 2200 253.79686
2014-01-28 260 260 260 260 2200 253.79686
2014-01-29 260 260 260 260 2200 253.79686
2014-01-30 260 260 260 260 2200 253.79686
2014-01-31 260 260 260 260 2200 253.79686
2014-02-03 260 260 260 260 2200 253.79686
2014-02-04 260 260 260 260 0 253.79686
2014-02-05 260 260 260 260 0 253.79686
2014-02-06 260 260 260 260 0 253.79686
2014-02-07 250.8 250.8 250.8 250.8 2500 244.81635
2014-02-10 249 249 249 249 1000 243.0593
2014-02-11 249 249 249 249 1000 243.0593
2014-02-12 249 249 249 249 1000 243.0593
2014-02-13 249 249 249 249 1000 243.0593
2014-02-14 249 249 249 249 1000 243.0593
2014-02-17 249 249 249 249 1000 243.0593
2014-02-18 249 249 249 249 1000 243.0593
2014-02-19 250.10001 252 250.10001 252 10000 245.98772
2014-02-20 252 252 252 252 10000 245.98772
2014-02-21 252 252 252 252 10000 245.98772
2014-02-24 252 260 249.89999 260 600 253.79686
2014-02-25 260 260 260 260 600 253.79686
2014-02-26 260 260 260 260 600 253.79686
2014-02-27 254 254 254 254 3500 247.94
2014-02-28 254 254 254 254 3500 247.94
2014-03-03 254 254 254 254 3500 247.94
2014-03-04 254 254 254 254 3500 247.94
2014-03-05 254 254 254 254 3500 247.94
2014-03-06 253 253 240 240 100 234.27402
2014-03-07 251.2 256.20001 251.2 256.20001 900 250.08753
2014-03-10 255 255 251.89999 251.89999 1000 245.8901
2014-03-11 255 255 255 255 0 248.91615
2014-03-12 255 255 251 251 2500 245.01158
2014-03-13 251 251 251 251 2500 245.01158
2014-03-14 245 246.39999 245 246.39999 400 240.52132
2014-03-17 246.39999 246.39999 246.39999 246.39999 400 240.52132
2014-03-18 246.39999 246.39999 246.39999 246.39999 400 240.52132
2014-03-19 246.39999 246.39999 246.39999 246.39999 400 240.52132
2014-03-20 250 250 228 228 500 222.56032
2014-03-21 210 210 210 210 1000 204.98977
2014-03-24 240 240 240 240 0 234.27402
2014-03-25 243.39999 243.39999 243.39999 243.39999 1500 237.5929
2014-03-26 249.25 249.25 249.25 249.25 5000 243.30333
2014-03-27 250 250 250 250 1000 244.03544
2014-03-28 250.95 250.95 250.95 250.95 5000 244.96277
2014-03-31 248 251 248 251 2000 245.01158
2014-04-01 255 255 255 255 900 248.91615
2014-04-02 260 260 260 260 0 253.79686
2014-04-03 260 260 260 260 0 253.79686
2014-04-04 260 260 260 260 0 253.79686
2014-04-07 270 270 270 270 0 263.55827
2014-04-08 270 270 270 270 0 263.55827
2014-04-09 270 270 270 270 0 263.55827
2014-04-10 270 270 270 270 0 263.55827
2014-04-11 270 270 270 270 0 263.55827
2014-04-14 270 270 270 270 0 263.55827
2014-04-15 270 270 270 270 0 263.55827
2014-04-16 270 270 270 270 0 263.55827
2014-04-17 270 270 270 270 0 263.55827
2014-04-18 270 270 270 270 0 263.55827
2014-04-21 270 270 270 270 0 263.55827
2014-04-22 270 270 270 270 0 263.55827
2014-04-23 270 270 270 270 0 263.55827
2014-04-24 270 270 270 270 0 263.55827
2014-04-25 268 268 268 268 0 261.60599
2014-04-28 268 268 268 268 0 261.60599
2014-04-29 270 270 270 270 0 263.55827
2014-04-30 268 270 268 269 100 262.58213
2014-05-01 269 269 269 269 0 262.58213
2014-05-02 269 269 269 269 0 262.58213
2014-05-05 269 269 269 269 0 262.58213
2014-05-06 269 269 269 269 0 262.58213
2014-05-07 269 269 269 269 0 262.58213
2014-05-08 269 269 269 269 0 262.58213
2014-05-09 242.10001 263 242.10001 263 0 256.72528
2014-05-12 263 263 263 263 0 256.72528
2014-05-13 263 263 263 263 0 256.72528
2014-05-14 263 263 263 263 0 256.72528
2014-05-15 263 263 263 263 0 256.72528
2014-05-16 263 263 263 263 0 256.72528
2014-05-19 263 263 263 263 0 256.72528
2014-05-20 263 263 263 263 0 256.72528
2014-05-21 263 263 263 263 0 256.72528
2014-05-22 267 268.39999 267 268.39999 2400 261.99644
2014-05-23 268.39999 268.39999 268.39999 268.39999 0 261.99644
2014-05-26 268.39999 268.39999 268.39999 268.39999 0 261.99644
2014-05-27 260 272 260 272 1300 265.51056
2014-05-28 250.05 266.25 250.05 266.25 0 259.89774
2014-05-29 266.25 266.25 266.25 266.25 0 259.89774
2014-05-30 266.25 266.25 266.25 266.25 0 259.89774
2014-06-02 266.25 266.25 266.25 266.25 0 259.89774
2014-06-03 266.25 266.25 266.25 266.25 0 259.89774
2014-06-04 266.25 266.25 266.25 266.25 0 259.89774
2014-06-05 266.25 266.25 266.25 266.25 0 259.89774
2014-06-06 266.25 266.25 266.25 266.25 0 259.89774
2014-06-09 298.5 298.5 298.5 298.5 0 291.37831
2014-06-10 298.5 298.5 298.5 298.5 0 291.37831
2014-06-11 298.5 298.5 298.5 298.5 0 291.37831
2014-06-12 298.5 298.5 298.5 298.5 0 291.37831
2014-06-13 298.5 298.5 298.5 298.5 0 291.37831
