"Index" "MWE.Open" "MWE.High" "MWE.Low" "MWE.Close" "MWE.Volume" "MWE.Adjusted"
2013-12-05 66.410004 66.699997 65.029999 65.900002 1375600 58.666645
2013-12-06 65.900002 66.040001 65.150002 65.559998 818100 58.363961
2013-12-09 65.5 65.830002 65.050003 65.339996 739700 58.168108
2013-12-10 65.330002 65.809998 64.68 64.839996 710700 57.722989
2013-12-11 65 65.5 64.720001 64.830002 665300 57.714092
2013-12-12 64.769997 65.209999 63.299999 63.959999 923300 56.939583
2013-12-13 63.959999 65.32 63.700001 65.269997 566500 58.105792
2013-12-16 66 66 65.32 65.669998 496000 58.461888
2013-12-17 65.540001 65.900002 65.300003 65.379997 400500 58.203718
2013-12-18 63.330002 63.689999 62.560001 62.950001 6132500 56.040444
2013-12-19 62.84 63.209999 62.599998 63.080002 1299100 56.156176
2013-12-20 63.439999 63.880001 63.200001 63.419998 1983900 56.458854
2013-12-23 63.990002 65.07 63.5 64.790001 1159500 57.678481
2013-12-24 65.150002 65.489998 64.110001 64.110001 575800 57.07312
2013-12-26 64.160004 65.199997 64.160004 64.32 636600 57.260069
2013-12-27 64.260002 65.300003 64.199997 65.080002 832900 57.936651
2013-12-30 65.389999 66.370003 64.980003 65.879997 897200 58.648837
2013-12-31 66.449997 67.129997 66.110001 66.129997 466800 58.871396
2014-01-02 66.25 66.910004 65.760002 66.519997 642000 59.218588
2014-01-03 66.699997 66.760002 66.029999 66.419998 249400 59.129566
2014-01-06 66.599998 67.07 66.339996 66.779999 540400 59.450052
2014-01-07 67 67.379997 66.400002 67 429800 59.645905
2014-01-08 67 67.099998 66.260002 66.879997 648700 59.539074
2014-01-09 66.900002 67.309998 66.470001 67.190002 302800 59.815052
2014-01-10 67.43 67.910004 66.93 67.43 434000 60.028708
2014-01-13 67.5 67.5 66.690002 66.849998 418000 59.512368
2014-01-14 66.830002 67.330002 66.32 67.220001 552800 59.841759
2014-01-15 67.889999 68.230003 67.25 68.169998 567500 60.687481
2014-01-16 68.199997 69 67.949997 68.900002 690000 61.337358
2014-01-17 68.959999 68.959999 68.169998 68.419998 345900 60.910041
2014-01-21 68.410004 69.470001 68.269997 69.279999 585900 61.675645
2014-01-22 69.449997 70.309998 69.349998 69.699997 593500 62.049543
2014-01-23 69.699997 69.75 68.07 68.68 855800 61.141504
2014-01-24 68.839996 68.940002 67.870003 68.139999 541700 60.660775
2014-01-27 68.139999 68.239998 66.660004 67.769997 361100 60.331385
2014-01-28 67.760002 69.300003 67.459999 69.220001 597400 61.622233
2014-01-29 69.190002 69.959999 68.57 69.599998 648300 61.960521
2014-01-30 69.610001 70.120003 69.400002 69.660004 245800 62.01394
2014-01-31 69.25 70.57 69 70.190002 515400 62.485765
2014-02-03 70.260002 70.82 67.949997 69.230003 1053200 61.631138
2014-02-04 68.440002 68.489998 67.160004 67.389999 1007100 60.747725
2014-02-05 67.040001 68.669998 66.669998 68.489998 370100 61.739303
2014-02-06 68.790001 69.949997 68.559998 69.900002 447700 63.01033
2014-02-07 70 70.25 69.139999 69.269997 497900 62.442421
2014-02-10 69.279999 70 68.629997 69.870003 471900 62.983288
2014-02-11 70.080002 70.739998 68.919998 70.550003 635900 63.596264
2014-02-12 70.199997 71.309998 70.199997 70.839996 720800 63.857674
2014-02-13 70.629997 72.68 70.389999 72.43 786300 65.29096
2014-02-14 72.839996 72.879997 72.269997 72.529999 455900 65.381102
2014-02-18 72.949997 73.419998 72.43 72.75 713500 65.579419
2014-02-19 72.290001 72.75 70.040001 70.300003 736000 63.370905
2014-02-20 70.639999 70.989998 69.559998 70.690002 553000 63.722465
2014-02-21 71.050003 71.470001 70.190002 70.480003 562900 63.533164
2014-02-24 70.639999 71.389999 69.779999 70.099998 1004100 63.190614
2014-02-25 69.150002 69.379997 67.260002 68.050003 1028400 61.342676
2014-02-26 68.489998 70.110001 67.220001 69.449997 1364900 62.60468
2014-02-27 68.669998 68.940002 67.010002 67.25 1953700 60.621525
2014-02-28 65.339996 65.559998 62.91 63.849998 4775900 57.556644
2014-03-03 62.91 64.660004 61.599998 64.190002 1502300 57.863135
2014-03-04 64.57 65.599998 64.089996 65.269997 2308400 58.83668
2014-03-05 65.050003 66 64.830002 65.699997 1324500 59.224297
2014-03-06 64.279999 65.790001 63.860001 64.599998 4842200 58.23272
2014-03-07 64.309998 64.75 63.610001 64.169998 1299300 57.845103
2014-03-10 64.230003 64.32 63.5 64.050003 602400 57.736935
2014-03-11 64.339996 64.339996 63.91 64.099998 634100 57.782002
2014-03-12 63.810001 64.150002 63.599998 64.080002 361300 57.763977
2014-03-13 64.080002 64.220001 63.200001 63.650002 457700 57.376359
2014-03-14 63.34 64.489998 63.34 64.010002 354000 57.700876
2014-03-17 63.990002 64.739998 63.529999 64.300003 742000 57.962294
2014-03-18 64.370003 65.860001 64.370003 65.510002 1009300 59.053029
2014-03-19 65.510002 65.800003 64.550003 64.970001 1793800 58.566254
2014-03-20 64.720001 66.339996 64.360001 65.959999 862900 59.458673
2014-03-21 66.07 66.620003 65.339996 65.459999 891600 59.007955
2014-03-24 65.620003 65.980003 64.620003 65.019997 458000 58.611321
2014-03-25 65.209999 65.900002 64.830002 65.129997 992500 58.71048
2014-03-26 65.199997 65.57 64.75 65.129997 445000 58.71048
2014-03-27 65.220001 65.470001 64.050003 64.18 497500 57.854119
2014-03-28 64.18 65.440002 63.950001 65.32 560600 58.881755
2014-03-31 65.150002 66.550003 65.050003 65.32 516000 58.881755
2014-04-01 65.349998 66.230003 64.730003 65 1676600 58.593296
2014-04-02 65.339996 65.550003 64.089996 64.120003 876500 57.800035
