"Index" "RMB.Open" "RMB.High" "RMB.Low" "RMB.Close" "RMB.Volume" "RMB.Adjusted"
2014-07-23 9.93 9.93 9.93 9.93 0 9.93
2014-07-24 9.265 9.265 9.265 9.265 0 9.265
2014-07-25 9.391 9.391 9.391 9.391 0 9.391
2014-07-28 9.052 9.052 9.052 9.052 0 9.052
2014-07-29 8.976 8.976 8.976 8.976 0 8.976
2014-07-30 8.986 8.986 8.986 8.986 0 8.986
2014-07-31 8.86 8.86 8.86 8.86 0 8.86
2014-08-01 8.579 8.579 8.579 8.579 0 8.579
2014-08-04 8.547 8.547 8.547 8.547 0 8.547
2014-08-05 8.547 8.547 8.547 8.547 0 8.547
2014-08-06 8.562 8.562 8.562 8.562 0 8.562
2014-08-07 8.698 8.698 8.698 8.698 0 8.698
2014-08-08 8.69 8.69 8.69 8.69 0 8.69
2014-08-11 8.785 8.785 8.785 8.785 0 8.785
2014-08-12 8.936 8.936 8.936 8.936 0 8.936
2014-08-13 8.822 8.822 8.822 8.822 0 8.822
2014-08-14 8.856 8.856 8.856 8.856 0 8.856
2014-08-15 8.766 8.766 8.766 8.766 0 8.766
2014-08-18 8.839 8.839 8.839 8.839 0 8.839
2014-08-19 8.871 8.871 8.871 8.871 0 8.871
2014-08-20 8.857 8.857 8.857 8.857 0 8.857
2014-08-21 8.962 8.962 8.962 8.962 0 8.962
2014-08-22 8.899 8.899 8.899 8.899 0 8.899
2014-08-25 8.979 8.979 8.979 8.979 0 8.979
2014-08-26 8.927 8.927 8.927 8.927 0 8.927
2014-08-27 9.23 9.23 9.23 9.23 0 9.23
2014-08-28 9.142 9.142 9.142 9.142 0 9.142
2014-08-29 9.203 9.203 9.203 9.203 0 9.203
2014-09-01 9.401 9.401 9.401 9.401 0 9.401
2014-09-02 9.421 9.421 9.421 9.421 0 9.421
2014-09-03 9.333 9.343 9.333 9.343 500 9.343
2014-09-04 9.055 9.055 9.055 9.055 0 9.055
2014-09-05 9.323 9.323 9.323 9.323 0 9.323
2014-09-08 9.421 9.421 9.421 9.421 0 9.421
2014-09-09 9.698 9.698 9.698 9.698 0 9.698
2014-09-10 9.607 9.607 9.607 9.607 0 9.607
2014-09-11 9.586 9.586 9.586 9.586 0 9.586
2014-09-12 9.906 9.906 9.906 9.906 0 9.906
2014-09-15 9.993 9.993 9.993 9.993 0 9.993
2014-09-16 9.555 9.555 9.555 9.555 0 9.555
2014-09-17 9.517 9.517 9.517 9.517 0 9.517
2014-09-18 9.771 9.771 9.771 9.771 0 9.771
2014-09-19 10.03 10.03 10.03 10.03 0 10.03
2014-09-22 9.917 9.917 9.917 9.917 0 9.917
2014-09-23 9.801 9.801 9.801 9.801 0 9.801
2014-09-24 9.681 9.681 9.681 9.681 0 9.681
2014-09-25 9.68 9.68 9.68 9.68 0 9.68
2014-09-26 9.655 9.655 9.645 9.645 100 9.645
2014-09-29 9.962 9.962 9.962 9.962 0 9.962
2014-09-30 9.728 9.728 9.728 9.728 0 9.728
2014-10-01 9.826 9.826 9.826 9.826 0 9.826
2014-10-02 9.392 9.392 9.392 9.392 0 9.392
2014-10-03 9.475 9.475 9.475 9.475 0 9.475
2014-10-06 9.714 9.714 9.714 9.714 0 9.714
2014-10-07 9.263 9.263 9.263 9.263 0 9.263
2014-10-08 9.201 9.201 9.201 9.201 0 9.201
2014-10-09 9.219 9.219 9.219 9.219 0 9.219
2014-10-10 8.785 8.785 8.785 8.785 0 8.785
2014-10-13 7.956 7.956 7.956 7.956 0 7.956
2014-10-14 8.223 8.223 8.223 8.223 0 8.223
2014-10-15 8.165 8.165 8.165 8.165 0 8.165
2014-10-16 8.245 8.245 8.245 8.245 0 8.245
2014-10-17 8.48 8.48 8.48 8.48 0 8.48
2014-10-20 8.692 8.692 8.692 8.692 0 8.692
2014-10-21 7.956 7.956 7.956 7.956 0 7.956
2014-10-22 7.866 7.866 7.866 7.866 0 7.866
2014-10-23 8.092 8.092 8.092 8.092 0 8.092
2014-10-24 8.139 8.139 8.139 8.139 0 8.139
