"Index" "SPY.Open" "SPY.High" "SPY.Low" "SPY.Close" "SPY.Volume" "SPY.Adjusted"
2013-08-07 169.190002 169.429993 168.550003 169.179993 84854700 161.877616
2013-08-08 169.979996 170.179993 168.929993 169.800003 102181300 162.470865
2013-08-09 169.580002 170.100006 168.720001 169.309998 91757700 162.002009
2013-08-12 168.460007 169.309998 168.380005 169.110001 68593300 161.810645
2013-08-13 169.410004 169.899994 168.410004 169.610001 80806000 162.289063
2013-08-14 169.529999 169.800003 168.699997 168.740005 79829200 161.45662
2013-08-15 167.410004 167.429993 166.089996 166.380005 152931800 159.198485
2013-08-16 166.059998 166.630005 165.5 165.830002 130868200 158.672222
2013-08-19 165.639999 166.210007 164.759995 164.770004 96437600 157.657977
2013-08-20 165.039993 166.199997 164.860001 165.580002 89294400 158.433013
2013-08-21 165.119995 166.029999 164.190002 164.559998 159530500 157.457035
2013-08-22 164.899994 166.300003 164.889999 166.059998 101471400 158.89229
2013-08-23 166.550003 166.830002 165.770004 166.619995 90888900 159.428116
2013-08-26 166.789993 167.300003 165.889999 166 89702100 158.834882
2013-08-27 164.360001 166 163.210007 163.330002 158619400 156.28013
2013-08-28 163.259995 164.490005 163.050003 163.910004 108113000 156.835097
2013-08-29 163.550003 165.039993 163.399994 164.169998 119200500 157.08387
2013-08-30 164.509995 164.529999 163.169998 163.649994 134928900 156.58631
2013-09-03 165.229996 165.580002 163.699997 164.389999 142375100 157.294375
2013-09-04 164.429993 166.029999 164.130005 165.75 97389400 158.595673
2013-09-05 165.850006 166.399994 165.729996 165.960007 63090500 158.796615
2013-09-06 166.509995 166.979996 164.479996 166.039993 159756500 158.873149
2013-09-09 166.449997 167.729996 166.449997 167.630005 87559300 160.394531
2013-09-10 168.639999 168.899994 168.259995 168.869995 105847200 161.580999
2013-09-11 168.639999 169.399994 168.350006 169.399994 94545900 162.088121
2013-09-12 169.339996 169.559998 168.720001 168.949997 83209000 161.657548
2013-09-13 169.130005 169.460007 168.740005 169.330002 72727800 162.02115
2013-09-16 171.160004 171.240005 170.039993 170.309998 106299200 162.958846
