"Index" "GCU.Open" "GCU.High" "GCU.Low" "GCU.Close" "GCU.Volume" "GCU.Adjusted"
2014-01-31 1.525 1.525 1.525 1.525 0 1.525
2014-02-03 1.491 1.491 1.491 1.491 0 1.491
2014-02-04 1.466 1.466 1.466 1.466 0 1.466
2014-02-05 1.494 1.494 1.494 1.494 0 1.494
2014-02-06 1.498 1.498 1.498 1.498 0 1.498
2014-02-07 1.521 1.521 1.521 1.521 0 1.521
2014-02-10 1.516 1.516 1.516 1.516 0 1.516
2014-02-11 1.52 1.52 1.52 1.52 0 1.52
2014-02-12 1.559 1.559 1.559 1.559 0 1.559
2014-02-13 1.537 1.537 1.537 1.537 0 1.537
2014-02-14 1.523 1.523 1.523 1.523 0 1.523
2014-02-17 1.514 1.514 1.514 1.514 0 1.514
2014-02-18 1.509 1.509 1.509 1.509 0 1.509
2014-02-19 1.483 1.483 1.483 1.483 0 1.483
2014-02-20 1.474 1.474 1.474 1.474 0 1.474
2014-02-21 1.512 1.512 1.512 1.512 0 1.512
2014-02-24 1.506 1.506 1.506 1.506 0 1.506
2014-02-25 1.509 1.509 1.509 1.509 0 1.509
2014-02-26 1.519 1.519 1.519 1.519 0 1.519
2014-02-27 1.518 1.518 1.518 1.518 0 1.518
2014-02-28 1.538 1.538 1.538 1.538 0 1.538
2014-03-03 1.476 1.476 1.476 1.476 0 1.476
2014-03-04 1.587 1.587 1.587 1.587 0 1.587
2014-03-05 1.586 1.586 1.586 1.586 0 1.586
2014-03-06 1.616 1.616 1.616 1.616 0 1.616
2014-03-07 1.601 1.601 1.601 1.601 0 1.601
2014-03-10 1.59 1.59 1.59 1.59 0 1.59
2014-03-11 1.653 1.653 1.653 1.653 0 1.653
2014-03-12 1.63 1.63 1.63 1.63 0 1.63
2014-03-13 1.629 1.629 1.629 1.629 0 1.629
2014-03-14 1.566 1.566 1.566 1.566 0 1.566
2014-03-17 1.544 1.544 1.544 1.544 0 1.544
2014-03-18 1.534 1.534 1.534 1.534 0 1.534
2014-03-19 1.514 1.514 1.514 1.514 0 1.514
2014-03-20 1.57 1.57 1.57 1.57 0 1.57
2014-03-21 1.573 1.573 1.573 1.573 0 1.573
2014-03-24 1.563 1.563 1.563 1.563 0 1.563
2014-03-25 1.572 1.572 1.572 1.572 0 1.572
2014-03-26 1.534 1.534 1.534 1.534 0 1.534
2014-03-27 1.543 1.543 1.543 1.543 0 1.543
2014-03-28 1.531 1.531 1.531 1.531 0 1.531
2014-03-31 1.521 1.521 1.521 1.521 0 1.521
2014-04-01 1.512 1.512 1.512 1.512 0 1.512
2014-04-02 1.504 1.504 1.504 1.504 0 1.504
2014-04-03 1.511 1.511 1.511 1.511 0 1.511
2014-04-04 1.505 1.505 1.505 1.505 0 1.505
2014-04-07 1.506 1.506 1.506 1.506 0 1.506
2014-04-08 1.526 1.526 1.526 1.526 0 1.526
2014-04-09 1.532 1.532 1.532 1.532 0 1.532
2014-04-10 1.525 1.525 1.525 1.525 0 1.525
2014-04-11 1.506 1.506 1.506 1.506 0 1.506
2014-04-14 1.503 1.503 1.503 1.503 0 1.503
2014-04-15 1.516 1.516 1.516 1.516 0 1.516
2014-04-16 1.529 1.529 1.529 1.529 0 1.529
2014-04-17 1.524 1.524 1.524 1.524 0 1.524
2014-04-18 1.524 1.524 1.524 1.524 0 1.524
2014-04-21 1.524 1.524 1.524 1.524 0 1.524
2014-04-22 1.535 1.535 1.535 1.535 0 1.535
2014-04-23 1.528 1.528 1.528 1.528 0 1.528
2014-04-24 1.517 1.517 1.517 1.517 0 1.517
2014-04-25 1.61 1.61 1.61 1.61 0 1.61
2014-04-28 1.58 1.58 1.58 1.58 0 1.58
2014-04-29 1.592 1.592 1.592 1.592 0 1.592
2014-04-30 1.587 1.587 1.587 1.587 0 1.587
2014-05-01 1.587 1.587 1.587 1.587 0 1.587
2014-05-02 1.61 1.61 1.61 1.61 0 1.61
2014-05-05 1.62 1.62 1.62 1.62 0 1.62
2014-05-06 1.623 1.623 1.623 1.623 0 1.623
2014-05-07 1.635 1.635 1.635 1.635 0 1.635
2014-05-08 1.663 1.663 1.663 1.663 0 1.663
2014-05-09 1.687 1.687 1.687 1.687 0 1.687
2014-05-12 1.675 1.675 1.675 1.675 0 1.675
2014-05-13 1.647 1.647 1.647 1.647 0 1.647
2014-05-14 1.62 1.62 1.62 1.62 0 1.62
2014-05-15 1.599 1.599 1.599 1.599 0 1.599
2014-05-16 1.598 1.598 1.598 1.598 0 1.598
2014-05-19 1.585 1.585 1.585 1.585 0 1.585
2014-05-20 1.585 1.585 1.585 1.585 0 1.585
2014-05-21 1.6 1.6 1.6 1.6 0 1.6
2014-05-22 1.619 1.619 1.619 1.619 0 1.619
2014-05-23 1.614 1.614 1.614 1.614 0 1.614
2014-05-26 1.633 1.633 1.633 1.633 0 1.633
2014-05-27 1.63 1.63 1.63 1.63 0 1.63
2014-05-28 1.614 1.614 1.614 1.614 0 1.614
2014-05-29 1.634 1.634 1.634 1.634 0 1.634
2014-05-30 1.635 1.635 1.635 1.635 0 1.635
2014-06-02 1.634 1.634 1.634 1.634 0 1.634
2014-06-03 1.618 1.618 1.618 1.618 0 1.618
2014-06-04 1.626 1.626 1.626 1.626 0 1.626
2014-06-05 1.635 1.635 1.635 1.635 0 1.635
2014-06-06 1.631 1.631 1.631 1.631 0 1.631
2014-06-09 1.639 1.639 1.639 1.639 0 1.639
2014-06-10 1.62 1.62 1.62 1.62 0 1.62
2014-06-11 1.625 1.625 1.625 1.625 0 1.625
2014-06-12 1.631 1.631 1.631 1.631 0 1.631
2014-06-13 1.612 1.612 1.612 1.612 0 1.612
2014-06-16 1.609 1.609 1.609 1.609 0 1.609
2014-06-17 1.603 1.603 1.603 1.603 0 1.603
2014-06-18 1.611 1.611 1.611 1.611 0 1.611
2014-06-19 1.64 1.64 1.64 1.64 0 1.64
2014-06-20 1.61 1.61 1.61 1.61 0 1.61
2014-06-23 1.599 1.599 1.599 1.599 0 1.599
2014-06-24 1.62 1.62 1.62 1.62 0 1.62
2014-06-25 1.612 1.612 1.612 1.612 0 1.612
2014-06-26 1.629 1.629 1.629 1.629 0 1.629
2014-06-27 1.592 1.592 1.592 1.592 0 1.592
2014-06-30 1.632 1.632 1.632 1.632 0 1.632
2014-07-01 1.624 1.624 1.624 1.624 0 1.624
2014-07-02 1.616 1.616 1.616 1.616 0 1.616
2014-07-03 1.6 1.6 1.6 1.6 0 1.6
2014-07-04 1.601 1.601 1.601 1.601 0 1.601
2014-07-07 1.606 1.606 1.606 1.606 0 1.606
2014-07-08 1.602 1.602 1.602 1.602 0 1.602
2014-07-09 1.613 1.613 1.613 1.613 0 1.613
2014-07-10 1.585 1.585 1.585 1.585 0 1.585
2014-07-11 1.598 1.598 1.598 1.598 0 1.598
