"Index" "VC.Open" "VC.High" "VC.Low" "VC.Close" "VC.Volume" "VC.Adjusted"
2014-01-15 87.43 87.550003 85.139999 85.379997 2125700 85.379997
2014-01-16 85.019997 85.550003 84.400002 84.809998 784000 84.809998
2014-01-17 84.419998 84.75 83.5 83.839996 750100 83.839996
2014-01-21 84.290001 84.650002 83.260002 83.589996 392100 83.589996
2014-01-22 83.839996 84.559998 82.739998 83.470001 546600 83.470001
2014-01-23 83.349998 83.349998 81.940002 82.529999 505600 82.529999
2014-01-24 82.050003 82.459999 80.120003 80.5 1173500 80.5
2014-01-27 80.639999 81.260002 79.480003 79.989998 557300 79.989998
2014-01-28 80.110001 81.150002 79.849998 80.400002 333400 80.400002
2014-01-29 79.889999 80.870003 79.660004 80 436700 80
2014-01-30 80.800003 81.529999 80.639999 81.150002 506100 81.150002
2014-01-31 80.330002 81.470001 80.190002 81.010002 460000 81.010002
2014-02-03 80.959999 81.43 78.080002 78.739998 1001200 78.739998
2014-02-04 78.910004 79.839996 78.589996 79.400002 355200 79.400002
2014-02-05 79.269997 79.470001 77.720001 79.220001 504500 79.220001
2014-02-06 79.230003 80.339996 78.970001 80 412600 80
2014-02-07 80.25 81.440002 80.209999 81.089996 416200 81.089996
2014-02-10 81.040001 81.830002 80.610001 81.300003 327200 81.300003
2014-02-11 81.290001 82.010002 80.910004 81.050003 653500 81.050003
2014-02-12 81.370003 82.110001 81.360001 81.93 644600 81.93
2014-02-13 81.57 83.720001 81.239998 82.900002 662700 82.900002
2014-02-14 83.010002 83.989998 83.010002 83.43 352700 83.43
2014-02-18 83.900002 84.510002 82.910004 84.120003 447200 84.120003
2014-02-19 84 84.650002 83.790001 83.989998 529600 83.989998
2014-02-20 83.980003 84.730003 83.529999 83.809998 468000 83.809998
2014-02-21 83.82 85.019997 83.290001 84.699997 668500 84.699997
2014-02-24 84.739998 85.949997 84.370003 85.610001 856900 85.610001
2014-02-25 86.629997 88 84.660004 84.959999 1083000 84.959999
2014-02-26 84.510002 85.040001 82.32 82.989998 1198300 82.989998
2014-02-27 82.860001 83.650002 82.43 83.5 705400 83.5
2014-02-28 83.540001 83.849998 82.860001 83.43 839100 83.43
2014-03-03 82.839996 83.75 82.410004 83.540001 438500 83.540001
2014-03-04 84.290001 84.75 83.949997 84.290001 482800 84.290001
2014-03-05 84.349998 84.959999 84.089996 84.239998 340300 84.239998
2014-03-06 84.559998 84.940002 84.019997 84.389999 1046700 84.389999
2014-03-07 84.449997 85.080002 84.160004 84.629997 325700 84.629997
2014-03-10 84.669998 84.940002 83.589996 84.220001 189100 84.220001
2014-03-11 84.330002 84.879997 83.739998 83.839996 383400 83.839996
2014-03-12 83.550003 83.769997 82.830002 83.769997 268600 83.769997
2014-03-13 84.099998 84.519997 82.639999 83.150002 632600 83.150002
2014-03-14 82.919998 83.470001 82.690002 83.239998 359000 83.239998
2014-03-17 83.610001 84.150002 83.019997 83.559998 401800 83.559998
2014-03-18 83.610001 84.720001 83.419998 84.260002 639600 84.260002
2014-03-19 84.07 85.110001 84 84.739998 321300 84.739998
2014-03-20 84.639999 85.360001 84.150002 85.330002 337100 85.330002
2014-03-21 85.970001 86.669998 85.389999 85.669998 650900 85.669998
2014-03-24 87.300003 87.300003 83.32 85.870003 503000 85.870003
2014-03-25 88 88 85.43 85.559998 1229600 85.559998
2014-03-26 85.870003 86.330002 84.650002 85.269997 651900 85.269997
2014-03-27 85.139999 85.260002 84.080002 84.160004 359200 84.160004
2014-03-28 84.5 86.309998 84.5 86.300003 615700 86.300003
2014-03-31 86.93 89.089996 86.93 88.440002 1683900 88.440002
2014-04-01 88.620003 89.510002 88.5 89.43 880100 89.43
2014-04-02 89.550003 89.980003 89.190002 89.790001 612400 89.790001
2014-04-03 89.949997 90.629997 89.669998 90.309998 741300 90.309998
2014-04-04 90.5 90.550003 88.910004 89.059998 887100 89.059998
2014-04-07 88.75 88.75 85.230003 85.989998 580800 85.989998
2014-04-08 85.769997 86.970001 85.330002 86.269997 686100 86.269997
2014-04-09 86.580002 87.290001 86.160004 87.209999 402400 87.209999
2014-04-10 87.970001 88.940002 86.260002 86.57 1386800 86.57
2014-04-11 86.389999 86.389999 83.650002 84.190002 571500 84.190002
2014-04-14 84.620003 85.809998 84.150002 84.889999 421000 84.889999
2014-04-15 84.889999 85.389999 82.790001 85.129997 546100 85.129997
2014-04-16 85.599998 86.760002 85.559998 86.629997 303300 86.629997
2014-04-17 86.849998 87.519997 86.410004 86.599998 302600 86.599998
2014-04-21 86.830002 88.470001 86.550003 88.019997 435600 88.019997
2014-04-22 88.019997 89.169998 88.019997 88.790001 438800 88.790001
2014-04-23 88.599998 88.720001 87.599998 88.169998 247200 88.169998
2014-04-24 88.800003 89.220001 87.639999 88.699997 378000 88.699997
2014-04-25 88.400002 88.400002 86.32 87 447600 87
2014-04-28 87 87.150002 84.199997 85.199997 390000 85.199997
2014-04-29 85.349998 86.489998 84.849998 86.25 479500 86.25
2014-04-30 86.18 86.839996 85.599998 86.809998 469700 86.809998
2014-05-01 86.900002 88.370003 86.900002 87.449997 528500 87.449997
