"Index" "TZ6.Open" "TZ6.High" "TZ6.Low" "TZ6.Close" "TZ6.Volume" "TZ6.Adjusted"
2014-05-02 8.72 8.72 8.72 8.72 0 8.72
2014-05-05 8.752 8.752 8.752 8.752 0 8.752
2014-05-06 8.747 8.747 8.747 8.747 0 8.747
2014-05-07 8.541 8.541 8.541 8.541 0 8.541
2014-05-08 8.562 8.562 8.562 8.562 0 8.562
2014-05-09 8.695 8.695 8.695 8.695 0 8.695
2014-05-12 8.809 8.809 8.809 8.809 0 8.809
2014-05-13 9.039 9.039 9.039 9.039 0 9.039
2014-05-14 9.244 9.244 9.244 9.244 0 9.244
2014-05-15 9.27 9.27 9.27 9.27 0 9.27
2014-05-16 9.175 9.175 9.175 9.175 0 9.175
2014-05-19 8.935 8.935 8.935 8.935 0 8.935
2014-05-20 8.941 8.941 8.941 8.941 0 8.941
2014-05-21 8.972 8.972 8.972 8.972 0 8.972
2014-05-22 9.128 9.128 9.128 9.128 0 9.128
2014-05-23 9.342 9.342 9.342 9.342 0 9.342
2014-05-26 9.396 9.396 9.396 9.396 0 9.396
2014-05-27 9.383 9.383 9.383 9.383 0 9.383
2014-05-28 9.422 9.422 9.422 9.422 0 9.422
2014-05-29 9.512 9.512 9.512 9.512 0 9.512
2014-05-30 9.472 9.472 9.472 9.472 0 9.472
2014-06-02 9.486 9.486 9.486 9.486 0 9.486
2014-06-03 9.559 9.559 9.559 9.559 0 9.559
2014-06-04 9.71 9.71 9.71 9.71 0 9.71
2014-06-05 9.514 9.514 9.514 9.514 0 9.514
2014-06-06 9.539 9.539 9.539 9.539 0 9.539
2014-06-09 9.586 9.586 9.586 9.586 0 9.586
2014-06-10 9.609 9.609 9.609 9.609 0 9.609
2014-06-11 9.855 9.855 9.855 9.855 0 9.855
2014-06-12 9.875 9.875 9.875 9.875 0 9.875
2014-06-13 9.8 9.8 9.8 9.8 0 9.8
2014-06-16 9.79 9.79 9.79 9.79 0 9.79
2014-06-17 9.775 9.775 9.775 9.775 0 9.775
2014-06-18 9.599 9.599 9.599 9.599 0 9.599
2014-06-19 9.99 9.99 9.99 9.99 0 9.99
2014-06-20 10.04 10.04 10.04 10.04 0 10.04
2014-06-23 10.03 10.03 10.03 10.03 0 10.03
2014-06-24 10.06 10.06 10.06 10.06 0 10.06
2014-06-25 9.88 9.88 9.88 9.88 0 9.88
2014-06-26 9.83 9.83 9.83 9.83 0 9.83
2014-06-27 9.749 9.749 9.749 9.749 0 9.749
2014-06-30 9.835 9.835 9.835 9.835 0 9.835
2014-07-01 10.1 10.1 10.1 10.1 0 10.1
2014-07-02 10.005 10.005 10.005 10.005 0 10.005
2014-07-03 9.885 9.885 9.885 9.885 0 9.885
2014-07-04 9.99 9.99 9.99 9.99 0 9.99
2014-07-07 10.065 10.065 10.065 10.065 0 10.065
2014-07-08 9.77 9.77 9.77 9.77 0 9.77
2014-07-09 9.67 9.67 9.67 9.67 0 9.67
2014-07-10 9.495 9.495 9.495 9.495 0 9.495
2014-07-11 9.485 9.485 9.485 9.485 0 9.485
2014-07-14 9.415 9.415 9.415 9.415 0 9.415
2014-07-15 9.475 9.475 9.475 9.475 0 9.475
2014-07-16 9.292 9.292 9.292 9.292 0 9.292
2014-07-17 9.273 9.273 9.273 9.273 0 9.273
2014-07-18 9.096 9.096 9.096 9.096 0 9.096
2014-07-21 9.094 9.094 9.094 9.094 0 9.094
2014-07-22 9.099 9.099 9.099 9.099 0 9.099
2014-07-23 9.338 9.338 9.338 9.338 0 9.338
2014-07-24 9.319 9.319 9.319 9.319 0 9.319
2014-07-25 9.309 9.309 9.309 9.309 0 9.309
2014-07-28 9.342 9.342 9.342 9.342 0 9.342
2014-07-29 9.304 9.304 9.304 9.304 0 9.304
2014-07-30 9.352 9.352 9.352 9.352 0 9.352
2014-07-31 9.398 9.398 9.398 9.398 0 9.398
2014-08-01 9.224 9.224 9.224 9.224 0 9.224
2014-08-04 9.233 9.233 9.233 9.233 0 9.233
2014-08-05 9.048 9.048 9.048 9.048 0 9.048
2014-08-06 8.972 8.972 8.972 8.972 0 8.972
2014-08-07 9.063 9.063 9.063 9.063 0 9.063
2014-08-08 8.802 8.802 8.802 8.802 0 8.802
2014-08-11 9.256 9.256 9.256 9.256 0 9.256
2014-08-12 9.222 9.222 9.222 9.222 0 9.222
2014-08-13 9.299 9.299 9.299 9.299 0 9.299
2014-08-14 9.296 9.296 9.296 9.296 0 9.296
2014-08-15 9.16 9.16 9.16 9.16 0 9.16
2014-08-18 9.254 9.254 9.254 9.254 0 9.254
2014-08-19 9.229 9.229 9.229 9.229 0 9.229
2014-08-20 9.059 9.059 9.059 9.059 0 9.059
2014-08-21 9.24 9.24 9.24 9.24 0 9.24
2014-08-22 9.277 9.277 9.277 9.277 0 9.277
2014-08-25 9.342 9.342 9.342 9.342 0 9.342
2014-08-26 9.309 9.309 9.309 9.309 0 9.309
2014-08-27 9.355 9.355 9.355 9.355 0 9.355
2014-08-28 9.297 9.297 9.297 9.297 0 9.297
2014-08-29 9.322 9.322 9.322 9.322 0 9.322
2014-09-01 9.293 9.293 9.293 9.293 0 9.293
2014-09-02 9.359 9.359 9.359 9.359 0 9.359
2014-09-03 9.37 9.37 9.37 9.37 0 9.37
2014-09-04 9.459 9.459 9.459 9.459 0 9.459
2014-09-05 9.527 9.527 9.527 9.527 0 9.527
2014-09-08 9.673 9.673 9.673 9.673 0 9.673
2014-09-09 9.88 9.88 9.88 9.88 0 9.88
2014-09-10 9.91 9.91 9.91 9.91 0 9.91
2014-09-11 10.07 10.07 10.07 10.07 0 10.07
2014-09-12 9.96 9.96 9.96 9.96 0 9.96
2014-09-15 9.94 9.94 9.94 9.94 0 9.94
2014-09-16 9.81 9.81 9.81 9.81 0 9.81
2014-09-17 9.655 9.655 9.655 9.655 0 9.655
2014-09-18 9.687 9.687 9.687 9.687 0 9.687
2014-09-19 9.84 9.84 9.84 9.84 0 9.84
2014-09-22 9.855 9.855 9.855 9.855 0 9.855
2014-09-23 9.88 9.88 9.88 9.88 0 9.88
2014-09-24 9.755 9.755 9.755 9.755 0 9.755
2014-09-25 10.045 10.045 10.045 10.045 0 10.045
2014-09-26 10.02 10.02 10.02 10.02 0 10.02
2014-09-29 10.03 10.03 10.03 10.03 0 10.03
2014-09-30 10.025 10.025 10.025 10.025 0 10.025
2014-10-01 9.915 9.915 9.915 9.915 0 9.915
2014-10-02 9.545 9.545 9.545 9.545 0 9.545
2014-10-03 9.545 9.545 9.545 9.545 0 9.545
2014-10-06 9.835 9.835 9.835 9.835 0 9.835
2014-10-07 9.825 9.825 9.825 9.825 0 9.825
2014-10-08 9.738 9.738 9.738 9.738 0 9.738
2014-10-09 9.53 9.53 9.53 9.53 0 9.53
2014-10-10 9.212 9.212 9.212 9.212 0 9.212
2014-10-13 9.277 9.277 9.277 9.277 0 9.277
2014-10-14 9.149 9.149 9.149 9.149 0 9.149
2014-10-15 9.273 9.273 9.273 9.273 0 9.273
2014-10-16 9.03 9.03 9.03 9.03 0 9.03
2014-10-17 8.834 8.834 8.834 8.834 0 8.834
2014-10-20 9.112 9.112 9.112 9.112 0 9.112
2014-10-21 8.957 8.957 8.957 8.957 0 8.957
2014-10-22 9.177 9.177 9.177 9.177 0 9.177
2014-10-23 9.234 9.234 9.234 9.234 0 9.234
2014-10-24 9.186 9.186 9.186 9.186 0 9.186
2014-10-27 9.183 9.183 9.183 9.183 0 9.183
2014-10-28 9.151 9.151 9.114 9.114 0 9.114
2014-10-29 9.368 9.368 9.368 9.368 0 9.368
2014-10-30 9.553 9.553 9.553 9.553 0 9.553
2014-10-31 9.935 9.935 9.935 9.935 0 9.935
2014-11-03 9.875 9.875 9.875 9.875 0 9.875
2014-11-04 9.706 9.706 9.706 9.706 0 9.706
2014-11-05 9.805 9.805 9.805 9.805 0 9.805
2014-11-06 9.735 9.735 9.735 9.735 0 9.735
2014-11-07 9.795 9.795 9.795 9.795 0 9.795
2014-11-10 9.855 9.855 9.855 9.855 0 9.855
2014-11-11 9.875 9.875 9.875 9.875 0 9.875
2014-11-12 9.78 9.78 9.78 9.78 0 9.78
2014-11-13 9.885 9.885 9.885 9.885 0 9.885
2014-11-14 9.88 9.88 9.88 9.88 0 9.88
2014-11-17 9.52 9.52 9.52 9.52 0 9.52
2014-11-18 9.713 9.713 9.713 9.713 0 9.713
2014-11-19 9.642 9.642 9.642 9.642 0 9.642
2014-11-20 9.409 9.409 9.409 9.409 0 9.409
2014-11-21 9.459 9.459 9.459 9.459 0 9.459
2014-11-24 9.566 9.566 9.566 9.566 0 9.566
2014-11-25 9.76 9.76 9.76 9.76 0 9.76
2014-11-26 9.651 9.651 9.651 9.651 0 9.651
2014-11-27 9.532 9.532 9.532 9.532 0 9.532
2014-11-28 9.647 9.647 9.647 9.647 0 9.647
2014-12-01 9.736 9.736 9.736 9.736 0 9.736
2014-12-02 9.865 9.865 9.865 9.865 0 9.865
2014-12-03 9.8 9.8 9.8 9.8 0 9.8
2014-12-04 9.96 9.96 9.96 9.96 0 9.96
2014-12-05 10.03 10.03 10.03 10.03 0 10.03
2014-12-08 9.925 9.925 9.925 9.925 0 9.925
2014-12-09 10.005 10.005 10.005 10.005 0 10.005
2014-12-10 9.727 9.727 9.727 9.727 0 9.727
2014-12-11 9.65 9.65 9.65 9.65 0 9.65
2014-12-12 9.64 9.64 9.64 9.64 0 9.64
2014-12-15 9.501 9.501 9.501 9.501 0 9.501
2014-12-16 9.414 9.414 9.414 9.414 0 9.414
2014-12-17 9.397 9.397 9.397 9.397 0 9.397
2014-12-18 9.603 9.603 9.603 9.603 0 9.603
2014-12-19 9.95 9.95 9.95 9.95 0 9.95
