"Index" "SD.Open" "SD.High" "SD.Low" "SD.Close" "SD.Volume" "SD.Adjusted"
2014-01-30 6.38 6.45 6.25 6.25 8118600 6.25
2014-01-31 6.16 6.28 6.13 6.15 6751700 6.15
2014-02-03 6.11 6.19 5.92 6.05 9514900 6.05
2014-02-04 6.1 6.28 6.1 6.28 9331200 6.28
2014-02-05 6.26 6.28 6.06 6.17 7268700 6.17
2014-02-06 6.2 6.24 6.06 6.15 7372500 6.15
2014-02-07 6.13 6.19 6.06 6.14 7363500 6.14
2014-02-10 6.09 6.15 6.01 6.08 5276300 6.08
2014-02-11 6.13 6.19 6.05 6.11 5087500 6.11
2014-02-12 6.11 6.2 6.11 6.15 3545100 6.15
2014-02-13 6.15 6.38 6.09 6.31 9749600 6.31
2014-02-14 6.33 6.49 6.32 6.41 6539600 6.41
2014-02-18 6.42 6.66 6.41 6.55 8738100 6.55
2014-02-19 6.52 6.64 6.46 6.48 8312500 6.48
2014-02-20 6.48 6.5 6.37 6.46 6042900 6.46
2014-02-21 6.48 6.49 6.39 6.4 3298800 6.4
2014-02-24 6.45 6.67 6.41 6.59 10786600 6.59
2014-02-25 6.56 6.63 6.45 6.59 7883300 6.59
2014-02-26 6.53 6.55 6.19 6.23 13278600 6.23
2014-02-27 6.21 6.41 6.2 6.33 10729300 6.33
2014-02-28 6.48 6.75 6.36 6.45 17835300 6.45
2014-03-03 6.57 6.66 6.43 6.46 12672300 6.46
2014-03-04 6.53 6.57 6.28 6.36 13834900 6.36
2014-03-05 6.36 6.38 6.22 6.27 10169600 6.27
2014-03-06 6.28 6.31 6.18 6.22 6334500 6.22
2014-03-07 6.33 6.45 6.2 6.45 12328700 6.45
2014-03-10 6.4 6.51 6.26 6.47 18439800 6.47
2014-03-11 6.55 6.61 6.37 6.42 14115000 6.42
2014-03-12 6.36 6.46 6.32 6.41 4767900 6.41
2014-03-13 6.43 6.48 6.29 6.31 6508100 6.31
2014-03-14 6.31 6.4 6.3 6.34 4632100 6.34
2014-03-17 6.35 6.42 6.27 6.32 5139900 6.32
2014-03-18 6.35 6.44 6.3 6.41 5099600 6.41
2014-03-19 6.44 6.49 6.34 6.38 6349500 6.38
2014-03-20 6.36 6.45 6.31 6.42 4122700 6.42
2014-03-21 6.44 6.5 6.38 6.45 7159000 6.45
2014-03-24 6.46 6.49 6.28 6.28 6614900 6.28
2014-03-25 6.36 6.36 6.24 6.29 7146800 6.29
