"Index" "A49.Open" "A49.High" "A49.Low" "A49.Close" "A49.Volume" "A49.Adjusted"
2014-11-11 0.901 0.901 0.901 0.901 0 0.901
2014-11-12 0.859 0.859 0.859 0.859 0 0.859
2014-11-13 0.863 0.863 0.863 0.863 0 0.863
2014-11-14 0.797 0.797 0.797 0.797 0 0.797
2014-11-17 0.79 0.79 0.79 0.79 0 0.79
2014-11-18 0.782 0.782 0.782 0.782 0 0.782
2014-11-19 0.775 0.775 0.775 0.775 0 0.775
2014-11-20 0.793 0.793 0.793 0.793 0 0.793
2014-11-21 0.836 0.836 0.836 0.836 0 0.836
2014-11-24 0.825 0.825 0.825 0.825 0 0.825
2014-11-25 0.832 0.832 0.832 0.832 0 0.832
2014-11-26 0.796 0.796 0.796 0.796 0 0.796
2014-11-27 0.802 0.802 0.802 0.802 0 0.802
2014-11-28 0.791 0.791 0.791 0.791 0 0.791
2014-12-01 0.772 0.772 0.772 0.772 0 0.772
2014-12-02 0.751 0.751 0.751 0.751 0 0.751
2014-12-03 0.738 0.738 0.738 0.738 0 0.738
2014-12-04 0.723 0.723 0.723 0.723 0 0.723
2014-12-05 0.711 0.711 0.711 0.711 0 0.711
2014-12-08 0.678 0.678 0.678 0.678 0 0.678
2014-12-09 0.68 0.68 0.68 0.68 0 0.68
2014-12-10 0.625 0.625 0.625 0.625 0 0.625
2014-12-11 0.641 0.641 0.641 0.641 0 0.641
2014-12-12 0.647 0.647 0.647 0.647 0 0.647
2014-12-15 0.642 0.642 0.642 0.642 0 0.642
2014-12-16 0.625 0.625 0.625 0.625 0 0.625
2014-12-17 0.629 0.629 0.629 0.629 0 0.629
2014-12-18 0.632 0.632 0.632 0.632 0 0.632
2014-12-19 0.649 0.649 0.649 0.649 0 0.649
2014-12-22 0.651 0.651 0.651 0.651 0 0.651
2014-12-23 0.657 0.657 0.657 0.657 0 0.657
2014-12-24 0.657 0.657 0.657 0.657 0 0.657
2014-12-25 0.657 0.657 0.657 0.657 0 0.657
2014-12-26 0.657 0.657 0.657 0.657 0 0.657
2014-12-29 0.653 0.653 0.653 0.653 0 0.653
2014-12-30 0.661 0.661 0.661 0.661 0 0.661
2014-12-31 0.661 0.661 0.661 0.661 0 0.661
2015-01-01 0.661 0.661 0.661 0.661 0 0.661
2015-01-02 0.686 0.686 0.686 0.686 0 0.686
2015-01-05 0.669 0.669 0.669 0.669 0 0.669
2015-01-06 0.685 0.685 0.685 0.685 0 0.685
2015-01-07 0.671 0.671 0.671 0.671 0 0.671
2015-01-08 0.697 0.697 0.697 0.697 0 0.697
2015-01-09 0.69 0.69 0.69 0.69 0 0.69
2015-01-12 0.693 0.693 0.693 0.693 0 0.693
2015-01-13 0.687 0.687 0.687 0.687 0 0.687
2015-01-14 0.687 0.687 0.687 0.687 0 0.687
2015-01-15 0.704 0.704 0.704 0.704 0 0.704
2015-01-16 0.705 0.705 0.705 0.705 0 0.705
2015-01-19 0.702 0.702 0.702 0.702 0 0.702
2015-01-20 0.696 0.696 0.696 0.696 0 0.696
2015-01-21 0.682 0.682 0.682 0.682 0 0.682
2015-01-22 0.659 0.659 0.659 0.659 0 0.659
2015-01-23 0.713 0.713 0.713 0.713 0 0.713
2015-01-26 0.676 0.676 0.676 0.676 0 0.676
2015-01-27 0.69 0.69 0.69 0.69 0 0.69
2015-01-28 0.69 0.69 0.69 0.69 0 0.69
2015-01-29 0.674 0.674 0.674 0.674 0 0.674
2015-01-30 0.666 0.666 0.666 0.666 0 0.666
2015-02-02 0.662 0.662 0.662 0.662 0 0.662
2015-02-03 0.667 0.667 0.667 0.667 0 0.667
2015-02-04 0.67 0.67 0.67 0.67 0 0.67
2015-02-05 0.662 0.662 0.662 0.662 0 0.662
2015-02-06 0.656 0.656 0.656 0.656 0 0.656
2015-02-09 0.631 0.631 0.631 0.631 0 0.631
2015-02-10 0.641 0.641 0.641 0.641 0 0.641
2015-02-11 0.635 0.635 0.635 0.635 0 0.635
2015-02-12 0.654 0.654 0.654 0.654 0 0.654
2015-02-13 0.647 0.647 0.647 0.647 0 0.647
2015-02-16 0.651 0.651 0.651 0.651 0 0.651
2015-02-17 0.654 0.654 0.654 0.654 0 0.654
2015-02-18 0.729 0.729 0.729 0.729 0 0.729
2015-02-19 0.732 0.732 0.732 0.732 0 0.732
2015-02-20 0.728 0.728 0.728 0.728 0 0.728
2015-02-23 0.777 0.777 0.777 0.777 0 0.777
2015-02-24 0.75 0.75 0.75 0.75 0 0.75
2015-02-25 0.756 0.756 0.756 0.756 0 0.756
2015-02-26 0.758 0.758 0.758 0.758 0 0.758
2015-02-27 0.757 0.757 0.757 0.757 0 0.757
2015-03-02 0.759 0.759 0.759 0.759 0 0.759
2015-03-03 0.756 0.756 0.756 0.756 0 0.756
2015-03-04 0.759 0.759 0.759 0.759 0 0.759
2015-03-05 0.722 0.722 0.722 0.722 0 0.722
2015-03-06 0.7 0.7 0.7 0.7 0 0.7
2015-03-09 0.697 0.697 0.697 0.697 0 0.697
2015-03-10 0.713 0.713 0.713 0.713 0 0.713
2015-03-11 0.704 0.704 0.704 0.704 0 0.704
2015-03-12 0.702 0.702 0.702 0.702 0 0.702
2015-03-13 0.701 0.701 0.701 0.701 0 0.701
2015-03-16 0.702 0.702 0.702 0.702 0 0.702
2015-03-17 0.684 0.684 0.684 0.684 0 0.684
2015-03-18 0.675 0.675 0.675 0.675 0 0.675
2015-03-19 0.68 0.68 0.68 0.68 0 0.68
2015-03-20 0.669 0.669 0.669 0.669 0 0.669
2015-03-23 0.66 0.66 0.66 0.66 0 0.66
