"Index" "BH.Open" "BH.High" "BH.Low" "BH.Close" "BH.Volume" "BH.Adjusted"
2014-02-25 441.989989 444.010021 438.379995 440.140013 3200 408.67225
2014-02-26 442.630017 449.5 438.390019 446.250003 7100 414.345406
2014-02-27 447.550008 451.390009 442.059997 446.040013 3100 414.15043
2014-02-28 447.999996 449.980029 444.510001 448.989996 7000 416.889504
2014-03-03 444.279995 450.440009 439.999997 445.600016 5100 413.741891
2014-03-04 446.260027 466.730028 446.010005 455.990003 12000 423.389047
2014-03-05 457.709989 464.580005 452.140011 457.050011 5200 424.373269
2014-03-06 458.960003 470.000009 457.00002 465.390023 6000 432.117013
2014-03-07 466.00001 471.679995 465.000018 470.320007 2800 436.694528
2014-03-10 472.189999 489.040014 470.150016 486.810025 8600 452.005594
2014-03-11 489.269988 496.989989 484.210014 489.210005 6000 454.233988
2014-03-12 485.079982 498.999997 485.079982 497.410002 7000 461.847727
2014-03-13 500.630024 507.980004 490.660017 494.999997 4100 459.610025
2014-03-14 492.850007 503.410017 492.850007 497.450034 7300 461.884897
2014-03-17 501.859989 510.049994 498.940013 504.760014 5400 468.672251
2014-03-18 507.840021 512.010011 500.989988 508.38 6000 472.033426
2014-03-19 509.560007 509.560007 496.66 500.429993 5700 464.651804
2014-03-20 501.390018 508.790021 498.000005 499.970013 3200 464.22471
2014-03-21 500.000021 510.000003 494.920031 494.920031 15100 459.535776
2014-03-24 498.35001 498.35001 492.760016 493.280012 10900 458.01301
2014-03-25 497.23002 511.490015 494.01003 504.880013 6100 468.78367
2014-03-26 507.239993 507.239993 490.649993 490.660017 7500 455.580332
2014-03-27 492.600017 494.950006 478.019991 480.029999 10000 445.710306
2014-03-28 483.079998 488.630026 479.830001 483.470003 5200 448.904367
2014-03-31 488.210013 491.810016 483.750001 487.490019 5200 452.636972
2014-04-01 487.500011 491.359995 483.300013 488.100006 6400 453.203348
2014-04-02 489.000015 489.000015 474.179991 482.380021 10200 447.892313
2014-04-03 484.359988 484.530011 473.67002 479.57002 5200 445.283212
2014-04-04 482.220022 486.000007 468.549997 468.560021 7300 435.060373
2014-04-07 468.549997 468.560021 446.700024 455.000003 11800 422.469827
2014-04-08 453.910021 464.890011 452.110003 459.870004 3900 426.991647
2014-04-09 463.39004 467.000002 455.410025 460.940003 5800 427.985147
2014-04-10 463.110009 464.84002 450.000012 451.129995 8500 418.876504
2014-04-11 450.649999 457.400016 440.079997 444.070004 6000 412.321267
2014-04-14 446.000013 451.999996 439.500018 442.040013 6900 410.43641
2014-04-15 444.970013 449.000021 431.999999 439.999997 4800 408.542245
2014-04-16 443.760032 447.52 436.119997 439.710008 4600 408.272988
2014-04-17 440.920023 445.989988 438.000014 442.840007 2600 411.179208
2014-04-21 445.16002 456.589998 441.020005 451.260018 3100 418.997231
2014-04-22 453.610007 470.960001 446.849998 461.54999 7000 428.551522
2014-04-23 462.380024 469.290007 455.010028 459.209993 7800 426.378823
2014-04-24 463.700013 468.19 457.680014 463.990002 6400 430.817086
2014-04-25 464.500006 468.250016 450.000012 450.840005 8000 418.607247
2014-04-28 453.530007 457.989987 431.689993 437.98999 7600 406.675942
2014-04-29 440.159996 446.769998 425.180007 427.270014 8800 396.72239
