"Index" "USD.IDR"
2014-09-27 12055.45
2014-09-28 12055.45
2014-09-29 12187.7
2014-09-30 12195.15
2014-10-01 12165.5
2014-10-02 12135.95
2014-10-03 12180.3
2014-10-04 12187.7
2014-10-05 12187.7
2014-10-06 12187.75
2014-10-07 12195.15
2014-10-08 12239.9
2014-10-09 12195.15
2014-10-10 12217.45
2014-10-11 12217.45
2014-10-12 12217.45
2014-10-13 12195.15
2014-10-14 12202.55
2014-10-15 12224.95
2014-10-16 12239.9
2014-10-17 12135.95
2014-10-18 12113.85
2014-10-19 12113.85
2014-10-20 12012.05
2014-10-21 12004.8
2014-10-22 12004.8
2014-10-23 12033.7
2014-10-24 12062.75
2014-10-25 12084.6
2014-10-26 12220
2014-10-27 12084.6
2014-10-28 12135.95
2014-10-29 12121.2
2014-10-30 12158.1
2014-10-31 12084.6
2014-11-01 12077.3
2014-11-02 12085
2014-11-03 12113.85
2014-11-04 12113.85
2014-11-05 12158.1
2014-11-06 12165.5
2014-11-07 12165.5
2014-11-08 12187.7
2014-11-09 12187.7
2014-11-10 12165.5
2014-11-11 12210.1
2014-11-12 12202.55
2014-11-13 12195.15
2014-11-14 12210
2014-11-15 12210
2014-11-16 12210
2014-11-17 12180.3
2014-11-18 12121.2
2014-11-19 12135.95
2014-11-20 12143.3
2014-11-21 12128.6
2014-11-22 12158.15
2014-11-23 12165.6
2014-11-24 12135.95
2014-11-25 12150.7
2014-11-26 12172.9
2014-11-27 12172.9
2014-11-28 12232.45
2014-11-29 12187.7
2014-11-30 12187.7
2014-12-01 12285
2014-12-02 12285
2014-12-03 12300.15
2014-12-04 12315.3
2014-12-05 12330.5
2014-12-06 12338.1
2014-12-07 12338.1
2014-12-08 12345.7
2014-12-09 12353.35
2014-12-10 12345.7
2014-12-11 12376.25
2014-12-12 12515.65
2014-12-13 12515.65
2014-12-14 12515.65
2014-12-15 12795.95
2014-12-16 12714.95
2014-12-17 12690.4
2014-12-18 12708.15
2014-12-19 12532.95
2014-12-20 12430.1
2014-12-21 12437.85
2014-12-22 12445.6
2014-12-23 12468.9
2014-12-24 12469.75
2014-12-25 12468.85
2014-12-26 12468.85
2014-12-27 12422.35
2014-12-28 12422.35
2014-12-29 12430.1
2014-12-30 12430.1
2014-12-31 12422.45
2015-01-01 12414.7
2015-01-02 12523.55
2015-01-03 12515.75
2015-01-04 12515.75
2015-01-05 12619.45
