"Index" "XAG.USD"
2015-01-06 16.3015
2015-01-07 16.4823
2015-01-08 16.4635
2015-01-09 16.3815
2015-01-10 16.5027
2015-01-11 16.5026
2015-01-12 16.555
2015-01-13 16.8701
2015-01-14 16.8876
2015-01-15 16.9223
2015-01-16 17.1782
2015-01-17 17.7954
2015-01-18 17.7977
2015-01-19 17.7066
2015-01-20 17.7874
2015-01-21 18.1378
2015-01-22 18.1784
2015-01-23 18.2874
2015-01-24 18.2925
2015-01-25 18.2918
2015-01-26 18.1444
2015-01-27 17.9443
2015-01-28 18.0303
2015-01-29 17.5889
2015-01-30 17.011
2015-01-31 17.2436
2015-02-01 17.2431
2015-02-02 17.1833
2015-02-03 17.3309
2015-02-04 17.3597
2015-02-05 17.3015
2015-02-06 17.1046
2015-02-07 16.7293
2015-02-08 16.7299
2015-02-09 16.8997
2015-02-10 16.9833
2015-02-11 16.9423
2015-02-12 16.8174
2015-02-13 17.0556
2015-02-14 17.3537
2015-02-15 17.3548
2015-02-16 17.3393
2015-02-17 16.9185
2015-02-18 16.4694
2015-02-19 16.58
2015-02-20 16.4124
2015-02-21 16.2413
2015-02-22 16.2416
2015-02-23 16.3023
2015-02-24 16.3167
2015-02-25 16.5331
2015-02-26 16.6544
2015-02-27 16.568
2015-02-28 16.6001
2015-03-01 16.5991
2015-03-02 16.6278
2015-03-03 16.4021
2015-03-04 16.2818
2015-03-05 16.24
2015-03-06 16.0661
2015-03-07 15.904
2015-03-08 15.9047
2015-03-09 15.86
2015-03-10 15.7369
2015-03-11 15.6111
2015-03-12 15.5599
2015-03-13 15.5962
2015-03-14 15.6546
2015-03-15 15.6546
2015-03-16 15.6569
2015-03-17 15.5969
2015-03-18 15.6067
2015-03-19 16.0001
2015-03-20 16.3446
2015-03-21 16.7491
2015-03-22 16.7491
2015-03-23 16.796
2015-03-24 16.9545
2015-03-25 16.974
2015-03-26 17.0792
2015-03-27 17.0567
2015-03-28 16.9533
2015-03-29 16.9533
2015-03-30 16.8115
2015-03-31 16.6424
2015-04-01 16.7419
2015-04-02 16.8602
2015-04-03 16.7733
2015-04-04 16.7733
2015-04-05 16.7733
2015-04-06 17.1106
2015-04-07 16.8876
2015-04-08 16.7616
2015-04-09 16.3324
2015-04-10 16.3811
2015-04-11 16.4704
2015-04-12 16.4704
2015-04-13 16.3884
2015-04-14 16.2374
2015-04-15 16.2132
2015-04-16 16.3837
2015-04-17 16.3238
2015-04-18 16.2754
2015-04-19 16.2754
2015-04-20 16.1666
2015-04-21 16.0108
2015-04-22 15.9621
2015-04-23 15.8575
2015-04-24 15.8203
2015-04-25 15.7352
2015-04-26 15.7352
2015-04-27 15.9961
2015-04-28 16.4573
2015-04-29 16.5851
2015-04-30 16.3977
2015-05-01 16.1431
2015-05-02 16.159
2015-05-03 16.159
2015-05-04 16.3684
2015-05-05 16.4864
2015-05-06 16.5327
2015-05-07 16.3938
2015-05-08 16.3875
2015-05-09 16.4665
2015-05-10 16.4665
2015-05-11 16.419
2015-05-12 16.3791
2015-05-13 16.7911
2015-05-14 17.2642
2015-05-15 17.4442
2015-05-16 17.4986
2015-05-17 17.4986
2015-05-18 17.6455
2015-05-19 17.4083
2015-05-20 17.1292
2015-05-21 17.1687
2015-05-22 17.1674
2015-05-23 17.1127
2015-05-24 17.1127
2015-05-25 17.0834
2015-05-26 16.9085
2015-05-27 16.7335
2015-05-28 16.6978
2015-05-29 16.7369
2015-05-30 16.7466
2015-05-31 16.7466
2015-06-01 16.7469
2015-06-02 16.7477
2015-06-03 16.6826
2015-06-04 16.3948
2015-06-05 16.1407
2015-06-06 16.117
2015-06-07 16.117
2015-06-08 16.0744
2015-06-09 16.0473
2015-06-10 16.0677
2015-06-11 15.9959
2015-06-12 15.9714
2015-06-13 15.9771
2015-06-14 15.9771
2015-06-15 16.0128
2015-06-16 16.0442
2015-06-17 16.0294
2015-06-18 16.2214
2015-06-19 16.157
2015-06-20 16.1141
2015-06-21 16.1141
2015-06-22 16.1489
2015-06-23 16.0152
2015-06-24 15.8736
2015-06-25 15.8877
2015-06-26 15.8353
2015-06-27 15.8043
2015-06-28 15.8043
2015-06-29 15.8473
2015-06-30 15.7028
2015-07-01 15.6639
2015-07-02 15.6072
2015-07-03 15.6841
2015-07-04 15.7072
2015-07-05 15.7072
2015-07-06 15.669
2015-07-07 15.4741
2015-07-08 15.0521
2015-07-09 15.3107
2015-07-10 15.4809
2015-07-11 15.584
2015-07-12 15.584
2015-07-13 15.5138
2015-07-14 15.407
2015-07-15 15.2618
2015-07-16 15.0576
2015-07-17 14.976
2015-07-18 14.8886
2015-07-19 14.8886
2015-07-20 14.7888
2015-07-21 14.8015
2015-07-22 14.7865
2015-07-23 14.8119
2015-07-24 14.5965
2015-07-25 14.6843
2015-07-26 14.6843
2015-07-27 14.6628
2015-07-28 14.6336
2015-07-29 14.7293
2015-07-30 14.7587
2015-07-31 14.7195
2015-08-01 14.7844
2015-08-02 14.7844
2015-08-03 14.6914
2015-08-04 14.548
2015-08-05 14.5779
2015-08-06 14.626
2015-08-07 14.7723
2015-08-08 14.8249
2015-08-09 14.8249
2015-08-10 14.9891
2015-08-11 15.2807
2015-08-12 15.3833
2015-08-13 15.4391
2015-08-14 15.3972
2015-08-15 15.2557
2015-08-16 15.2557
2015-08-17 15.2949
2015-08-18 15.1292
2015-08-19 15.0277
2015-08-20 15.4319
2015-08-21 15.451
2015-08-22 15.3269
2015-08-23 15.3269
2015-08-24 15.0652
2015-08-25 14.7822
2015-08-26 14.4411
2015-08-27 14.2814
2015-08-28 14.5173
2015-08-29 14.6018
2015-08-30 14.6018
2015-08-31 14.5581
2015-09-01 14.634
2015-09-02 14.6129
2015-09-03 14.6995
2015-09-04 14.6873
2015-09-05 14.583
2015-09-06 14.583
2015-09-07 14.5787
2015-09-08 14.6431
2015-09-09 14.7538
2015-09-10 14.6802
2015-09-11 14.6208
2015-09-12 14.6184
2015-09-13 14.6184
2015-09-14 14.4972
2015-09-15 14.3905
2015-09-16 14.5991
2015-09-17 14.9514
2015-09-18 15.1706
2015-09-19 15.1751
2015-09-20 15.1751
2015-09-21 15.1838
2015-09-22 15.0337
2015-09-23 14.8051
2015-09-24 14.9266
2015-09-25 15.1045
2015-09-26 15.113
2015-09-27 15.113
2015-09-28 14.8455
2015-09-29 14.6098
2015-09-30 14.6045
2015-10-01 14.5714
2015-10-02 14.7495
2015-10-03 15.2583
2015-10-04 15.2583
2015-10-05 15.3911
2015-10-06 15.7465
2015-10-07 15.953
2015-10-08 15.7407
2015-10-09 15.8194
2015-10-10 15.849
2015-10-11 15.849
2015-10-12 15.9007
2015-10-13 15.8157
2015-10-14 16.0163
2015-10-15 16.1432
2015-10-16 16.0737
2015-10-17 16.0476
2015-10-18 16.0476
2015-10-19 15.9105
2015-10-20 15.8652
2015-10-21 15.8069
2015-10-22 15.7705
2015-10-23 15.9022
2015-10-24 15.8296
2015-10-25 15.8296
2015-10-26 15.8783
2015-10-27 15.8781
2015-10-28 16.0108
2015-10-29 15.8342
2015-10-30 15.5925
2015-10-31 15.5562
2015-11-01 15.5562
