"Index" "M6J.Open" "M6J.High" "M6J.Low" "M6J.Close" "M6J.Volume" "M6J.Adjusted"
2014-02-24 0.092 0.092 0.092 0.092 0 0.092
2014-02-25 0.092 0.092 0.092 0.092 0 0.092
2014-02-26 0.121 0.145 0.121 0.145 70000 0.145
2014-02-27 0.141 0.141 0.141 0.141 0 0.141
2014-02-28 0.134 0.134 0.134 0.134 0 0.134
2014-03-03 0.141 0.141 0.141 0.141 0 0.141
2014-03-04 0.147 0.147 0.147 0.147 0 0.147
2014-03-05 0.226 0.26 0.226 0.26 0 0.26
2014-03-06 0.221 0.221 0.2 0.2 10000 0.2
2014-03-07 0.18 0.18 0.18 0.18 0 0.18
2014-03-10 0.178 0.178 0.178 0.178 0 0.178
2014-03-11 0.198 0.222 0.198 0.198 8000 0.198
2014-03-12 0.182 0.182 0.182 0.182 0 0.182
2014-03-13 0.168 0.168 0.168 0.168 0 0.168
2014-03-14 0.182 0.182 0.182 0.182 0 0.182
2014-03-17 0.174 0.174 0.174 0.174 0 0.174
2014-03-18 0.145 0.145 0.145 0.145 0 0.145
2014-03-19 0.174 0.174 0.174 0.174 0 0.174
2014-03-20 0.17 0.17 0.17 0.17 0 0.17
2014-03-21 0.167 0.167 0.167 0.167 0 0.167
2014-03-24 0.167 0.167 0.167 0.167 0 0.167
2014-03-25 0.158 0.158 0.158 0.158 0 0.158
2014-03-26 0.152 0.152 0.152 0.152 0 0.152
2014-03-27 0.137 0.137 0.137 0.137 0 0.137
2014-03-28 0.132 0.132 0.132 0.132 0 0.132
2014-03-31 0.121 0.152 0.121 0.152 2500 0.152
2014-04-01 0.137 0.137 0.137 0.137 0 0.137
2014-04-02 0.18 0.18 0.18 0.18 0 0.18
2014-04-03 0.171 0.171 0.171 0.171 0 0.171
2014-04-04 0.162 0.162 0.162 0.162 0 0.162
2014-04-07 0.156 0.156 0.156 0.156 0 0.156
2014-04-08 0.142 0.142 0.142 0.142 0 0.142
2014-04-09 0.153 0.153 0.153 0.153 0 0.153
2014-04-10 0.146 0.146 0.146 0.146 0 0.146
2014-04-11 0.148 0.148 0.148 0.148 0 0.148
2014-04-14 0.134 0.134 0.134 0.134 0 0.134
2014-04-15 0.135 0.135 0.135 0.135 0 0.135
2014-04-16 0.133 0.133 0.133 0.133 0 0.133
2014-04-17 0.131 0.131 0.131 0.131 0 0.131
2014-04-18 0.131 0.131 0.131 0.131 0 0.131
2014-04-21 0.131 0.131 0.131 0.131 0 0.131
2014-04-22 0.159 0.159 0.159 0.159 0 0.159
2014-04-23 0.148 0.148 0.148 0.148 0 0.148
2014-04-24 0.135 0.135 0.135 0.135 0 0.135
2014-04-25 0.131 0.131 0.131 0.131 0 0.131
2014-04-28 0.132 0.132 0.132 0.132 0 0.132
2014-04-29 0.131 0.131 0.131 0.131 0 0.131
2014-04-30 0.12 0.12 0.12 0.12 0 0.12
2014-05-01 0.12 0.12 0.12 0.12 0 0.12
2014-05-02 0.123 0.123 0.123 0.123 0 0.123
2014-05-05 0.126 0.126 0.126 0.126 0 0.126
2014-05-06 0.126 0.126 0.126 0.126 0 0.126
2014-05-07 0.106 0.106 0.106 0.106 0 0.106
2014-05-08 0.102 0.102 0.102 0.102 0 0.102
2014-05-09 0.1 0.1 0.1 0.1 0 0.1
2014-05-12 0.106 0.106 0.106 0.106 0 0.106
2014-05-13 0.1 0.1 0.1 0.1 0 0.1
