"Index" "D2L.Open" "D2L.High" "D2L.Low" "D2L.Close" "D2L.Volume" "D2L.Adjusted"
2013-12-31 23.665 23.665 23.665 23.665 0 21.074
2014-01-01 23.665 23.665 23.665 23.665 0 21.074
2014-01-02 24.095 24.095 24.095 24.095 0 21.457
2014-01-03 24.415 24.415 24.415 24.415 0 21.741
2014-01-06 24.305 24.305 24.305 24.305 0 21.644
2014-01-07 24.405 24.405 24.405 24.405 0 21.733
2014-01-08 24.355 24.355 24.355 24.355 0 21.688
2014-01-09 24.305 24.305 24.305 24.305 0 21.644
2014-01-10 24.005 24.005 24.005 24.005 0 21.376
2014-01-13 23.995 23.995 23.995 23.995 0 21.367
2014-01-14 23.855 23.855 23.855 23.855 0 21.243
2014-01-15 23.855 23.855 23.35 23.35 0 20.793
2014-01-16 23.545 23.545 23.16 23.16 0 20.624
2014-01-17 23.155 23.155 23.155 23.155 0 20.619
2014-01-20 23.605 23.8 23.605 23.8 0 21.194
2014-01-21 23.905 23.91 23.905 23.91 0 21.292
2014-01-22 23.905 23.905 23.8 23.8 0 21.194
2014-01-23 23.805 23.805 23.705 23.705 0 21.109
2014-01-24 23.805 23.805 23.665 23.73 0 21.131
2014-01-27 23.72 23.72 23.38 23.38 0 20.82
2014-01-28 23.375 23.375 23.125 23.18 0 20.642
2014-01-29 23.155 23.155 22.8 22.91 0 20.401
2014-01-30 22.805 22.805 22.79 22.8 0 20.303
2014-01-31 22.795 22.795 22.7 22.7 0 20.214
2014-02-03 22.655 22.7 22.635 22.635 0 20.156
2014-02-04 22.655 22.66 22.575 22.66 0 20.179
2014-02-05 22.655 22.66 22.575 22.66 0 20.179
2014-02-06 22.655 22.71 22.65 22.71 0 20.223
2014-02-07 22.605 22.625 22.605 22.62 0 20.143
2014-02-10 22.665 22.73 22.665 22.73 0 20.241
2014-02-11 23.805 23.805 23.805 23.805 0 21.198
2014-02-12 24.2 24.295 24.195 24.295 0 21.635
2014-02-13 24.305 24.305 24.255 24.3 0 21.639
2014-02-14 24.315 25.315 24.315 25.13 0 22.378
2014-02-17 25.135 25.135 25.135 25.135 0 22.383
2014-02-18 25.515 25.515 25.515 25.515 0 22.721
2014-02-19 25.505 25.6 25.475 25.6 0 22.797
2014-02-20 25.595 25.595 25.595 25.595 0 22.792
2014-02-21 25.505 25.505 25.26 25.26 0 22.494
2014-02-24 25.09 25.09 25.09 25.09 0 22.343
2014-02-25 25.3 25.3 25.235 25.235 0 22.472
2014-02-26 25.27 25.27 24.795 24.795 0 22.08
2014-02-27 24.78 24.78 24.78 24.78 0 22.066
2014-02-28 24.76 24.8 24.76 24.79 0 22.075
2014-03-03 24.78 24.78 24.78 24.78 0 22.066
2014-03-04 24.855 24.855 24.855 24.855 0 22.133
2014-03-05 24.605 24.605 24.605 24.605 0 21.911
2014-03-06 24.885 24.885 24.745 24.745 0 22.035
2014-03-07 24.855 24.855 24.71 24.73 0 22.022
2014-03-10 24.73 24.73 24.73 24.73 0 22.022
2014-03-11 24.73 24.73 24.73 24.73 0 22.022
2014-03-12 24.73 24.73 24.73 24.73 0 22.022
2014-03-13 24.73 24.73 24.73 24.73 0 22.022
2014-03-14 24.73 24.73 24.73 24.73 0 22.022
2014-03-17 24.895 24.895 24.75 24.75 0 22.04
2014-03-18 24.655 24.655 24.505 24.505 0 21.822
2014-03-19 24.605 24.605 24.55 24.55 0 21.862
2014-03-20 24.665 24.71 24.595 24.71 0 22.004
2014-03-21 24.7 24.7 24.65 24.65 0 21.951
2014-03-24 24.405 24.405 24.4 24.4 0 21.728
2014-03-25 24.425 24.425 24.425 24.425 0 21.75
2014-03-26 24.455 24.525 24.455 24.525 0 21.839
2014-03-27 24.435 24.435 24.36 24.36 0 21.692
2014-03-28 24.385 24.385 24.075 24.21 0 21.559
2014-03-31 24.2 24.41 24.2 24.41 0 21.737
2014-04-01 24.405 24.405 24.405 24.405 0 21.733
2014-04-02 24.655 24.655 24.275 24.47 0 21.79
2014-04-03 24.355 24.355 24.25 24.25 0 21.595
2014-04-04 24.355 24.375 24.2 24.31 0 21.648
2014-04-07 24.305 24.4 24.305 24.36 0 21.692
2014-04-08 24.355 24.355 24.355 24.355 0 21.688
2014-04-09 24.2 24.22 24.15 24.22 0 21.568
2014-04-10 24.125 24.125 24.125 24.125 0 21.483
2014-04-11 24.105 24.105 23.85 24.01 0 21.381
2014-04-14 24.005 24.005 23.735 23.81 0 21.203
2014-04-15 23.805 23.805 23.76 23.76 0 21.158
2014-04-16 23.605 23.605 23.575 23.58 0 20.998
2014-04-17 23.475 23.48 23.41 23.43 0 20.864
2014-04-18 23.43 23.43 23.43 23.43 0 20.864
2014-04-21 23.43 23.43 23.43 23.43 0 20.864
2014-04-22 23.425 23.425 23.425 23.425 0 20.86
2014-04-23 23.27 23.27 23.255 23.26 0 20.713
2014-04-24 23.355 23.355 23.355 23.355 0 20.798
2014-04-25 23.295 23.295 23.295 23.295 0 20.744
2014-04-28 23.395 23.395 23.395 23.395 0 20.833
2014-04-29 23.7 23.7 23.7 23.7 0 21.105
2014-04-30 23.645 23.645 23.58 23.58 0 20.998
2014-05-01 23.58 23.58 23.58 23.58 0 20.998
2014-05-02 23.605 23.61 23.3 23.61 0 21.025
2014-05-05 23.605 23.605 23.6 23.6 0 21.016
2014-05-06 23.605 23.605 23.605 23.605 0 21.02
2014-05-07 23.605 23.605 23.525 23.525 0 20.949
2014-05-08 23.655 23.655 23.63 23.63 0 21.042
2014-05-09 23.805 23.96 23.605 23.96 0 21.336
2014-05-12 23.955 23.955 23.85 23.85 0 21.238
2014-05-13 24.055 24.055 24.055 24.055 0 21.421
2014-05-14 24.405 24.405 24.3 24.3 0 21.639
2014-05-15 24.315 24.68 24.315 24.68 0 21.977
2014-05-16 24.7 24.7 24.595 24.66 0 21.96
2014-05-19 24.655 24.655 24.5 24.5 0 21.817
2014-05-20 24.505 24.505 24.425 24.5 0 21.817
2014-05-21 24.605 24.605 24.35 24.35 0 21.684
2014-05-22 24.455 24.455 24.455 24.455 0 21.777
