"Index" "KRU.Open" "KRU.High" "KRU.Low" "KRU.Close" "KRU.Volume" "KRU.Adjusted"
2013-12-20 88.739998 91.059998 88.739998 91 7800 89.992813
2013-12-23 92 96.029999 90.849998 94.410004 17200 93.365075
2013-12-24 94.970001 97.540001 93.900002 93.900002 14700 92.97101
2013-12-26 95.769997 95.769997 93.099998 93.230003 8100 92.30764
2013-12-27 94 94.550003 93.32 93.839996 1900 92.911598
2013-12-30 93.559998 93.800003 92.370003 92.599998 8300 91.683868
2013-12-31 92.389999 93.300003 92.389999 92.980003 5900 92.060113
2014-01-02 92.910004 92.910004 90 90 12900 89.109592
2014-01-03 89.410004 90.400002 89.089996 89.550003 12900 88.664047
2014-01-06 91.010002 91.010002 88.5 88.5 11800 87.624433
2014-01-07 88.410004 91.43 88.410004 89.860001 15100 88.970978
2014-01-08 90.25 90.599998 89.440002 89.440002 4300 88.555135
2014-01-09 91.099998 91.739998 90.580002 91.169998 3600 90.268015
2014-01-10 91.129997 91.129997 89.949997 90.150002 7900 89.25811
2014-01-13 90 90.279999 87.879997 87.970001 14600 87.099677
2014-01-14 89.209999 89.809998 87.040001 89.559998 6000 88.673943
2014-01-15 90.330002 91.75 90.330002 90.949997 5300 90.050191
2014-01-16 91.040001 91.040001 88.360001 89.230003 14400 88.347214
2014-01-17 88.019997 90.269997 88.019997 89.879997 3100 88.990777
2014-01-21 92.470001 94 92.470001 93.730003 5200 92.802693
2014-01-22 94.650002 95.699997 94.010002 95.699997 6200 94.753197
2014-01-23 94 94 90.68 92 6700 91.089806
2014-01-24 91.190002 91.410004 88.870003 89.349998 21800 88.466022
2014-01-27 89.32 90.25 86.269997 86.269997 17400 85.416492
2014-01-28 86.57 88 85.879997 86.330002 4100 85.475903
2014-01-29 83.43 86.379997 83.019997 83.370003 9200 82.545189
2014-01-30 83.580002 85.519997 83.199997 85.5 21100 84.654113
2014-01-31 82.120003 83.699997 80.43 81.739998 25900 80.93131
2014-02-03 81.440002 82.150002 75.599998 75.639999 34300 74.891661
2014-02-04 76.389999 78.919998 75.5 78.330002 16200 77.55505
2014-02-05 77.720001 78.57 77.019997 77.660004 4300 76.891681
2014-02-06 77.620003 79.199997 77.620003 79.199997 3400 78.416438
2014-02-07 79.599998 80.220001 78 78.949997 4300 78.168912
2014-02-10 78.769997 79.269997 77.959999 79.209999 4300 78.426342
2014-02-11 79.599998 81.889999 79.529999 81.849998 3800 81.040222
2014-02-12 82.68 84.089996 81.029999 81.589996 5300 80.782792
2014-02-13 79.550003 82.620003 79.550003 82.540001 5100 81.723398
2014-02-14 82.580002 83.120003 81.790001 82.849998 2100 82.030329
2014-02-18 82.830002 84.790001 82.830002 83.839996 2600 83.010532
2014-02-19 83.059998 83.339996 79.5 79.5 2600 78.713473
2014-02-20 78.790001 80.209999 78.099998 79.489998 4000 78.70357
2014-02-21 80.25 81 80.25 80.82 2200 80.020414
2014-02-24 82.470001 83.769997 82.470001 83.769997 1800 82.941225
2014-02-25 82.639999 82.639999 82.639999 82.639999 600 81.822407
2014-02-26 82.720001 85.050003 82.720001 85.050003 1300 84.208568
2014-02-27 84.370003 85.790001 84.370003 85.440002 1100 84.594709
2014-02-28 88 89.550003 87.610001 87.800003 3100 86.931361
2014-03-03 86.860001 87 86 86.489998 9800 85.634316
2014-03-04 89.620003 91.989998 89.620003 91.989998 16000 91.079902
2014-03-05 91.089996 91.089996 90.699997 91.040001 1000 90.139304
2014-03-06 91.889999 92.150002 91.889999 92 2800 91.089806
2014-03-07 93.449997 95.050003 93.379997 93.550003 5800 92.624474
2014-03-10 93.470001 94.739998 93.120003 94.190002 7000 93.258141
2014-03-11 93.300003 93.300003 92.120003 93.050003 1600 92.129421
2014-03-12 91.050003 92.849998 90.190002 92.739998 16500 91.822482
