"Index" "USD.HKD"
2015-01-01 7.754
2015-01-02 7.7558
2015-01-03 7.7565
2015-01-04 7.7565
2015-01-05 7.7561
2015-01-06 7.7544
2015-01-07 7.7546
2015-01-08 7.7551
2015-01-09 7.7541
2015-01-10 7.753
2015-01-11 7.753
2015-01-12 7.7534
2015-01-13 7.7533
2015-01-14 7.7538
2015-01-15 7.7536
2015-01-16 7.7522
2015-01-17 7.751
2015-01-18 7.751
2015-01-19 7.7521
2015-01-20 7.7528
2015-01-21 7.7524
2015-01-22 7.7526
2015-01-23 7.7522
2015-01-24 7.7523
2015-01-25 7.7523
2015-01-26 7.7524
2015-01-27 7.7524
2015-01-28 7.7522
2015-01-29 7.7522
2015-01-30 7.7522
2015-01-31 7.7519
2015-02-01 7.7519
2015-02-02 7.7536
2015-02-03 7.7541
2015-02-04 7.7535
2015-02-05 7.7527
2015-02-06 7.7524
2015-02-07 7.753
2015-02-08 7.753
2015-02-09 7.7532
2015-02-10 7.7537
2015-02-11 7.7541
2015-02-12 7.7545
2015-02-13 7.7551
2015-02-14 7.7556
2015-02-15 7.7556
2015-02-16 7.7572
2015-02-17 7.7585
2015-02-18 7.7583
2015-02-19 7.758
2015-02-20 7.7575
2015-02-21 7.7587
2015-02-22 7.7587
2015-02-23 7.757
2015-02-24 7.7568
2015-02-25 7.756
2015-02-26 7.7554
2015-02-27 7.7552
2015-02-28 7.7555
2015-03-01 7.7555
2015-03-02 7.7551
2015-03-03 7.755
2015-03-04 7.7552
2015-03-05 7.7559
2015-03-06 7.757
2015-03-07 7.757
2015-03-08 7.757
2015-03-09 7.7591
2015-03-10 7.7596
2015-03-11 7.763
2015-03-12 7.7672
2015-03-13 7.7668
2015-03-14 7.7659
2015-03-15 7.7659
2015-03-16 7.7657
2015-03-17 7.7639
2015-03-18 7.7591
2015-03-19 7.7584
2015-03-20 7.7582
2015-03-21 7.7577
2015-03-22 7.7577
2015-03-23 7.7563
2015-03-24 7.7554
2015-03-25 7.7553
2015-03-26 7.7546
2015-03-27 7.7541
2015-03-28 7.7536
2015-03-29 7.7536
2015-03-30 7.7545
2015-03-31 7.7541
2015-04-01 7.7535
2015-04-02 7.7528
2015-04-03 7.7522
2015-04-04 7.7521
2015-04-05 7.7521
2015-04-06 7.7524
2015-04-07 7.752
2015-04-08 7.7511
2015-04-09 7.7502
2015-04-10 7.7501
2015-04-11 7.75
2015-04-12 7.75
2015-04-13 7.7501
2015-04-14 7.7508
2015-04-15 7.7516
2015-04-16 7.7516
2015-04-17 7.7516
2015-04-18 7.7523
2015-04-19 7.7523
2015-04-20 7.7503
2015-04-21 7.7502
2015-04-22 7.7502
2015-04-23 7.7501
2015-04-24 7.7501
2015-04-25 7.75
2015-04-26 7.75
2015-04-27 7.7503
2015-04-28 7.7505
2015-04-29 7.7504
2015-04-30 7.7506
2015-05-01 7.7511
2015-05-02 7.7523
2015-05-03 7.7523
2015-05-04 7.7525
2015-05-05 7.752
2015-05-06 7.7518
2015-05-07 7.7527
2015-05-08 7.7537
2015-05-09 7.7534
2015-05-10 7.7534
2015-05-11 7.7531
2015-05-12 7.7523
2015-05-13 7.7522
2015-05-14 7.7514
2015-05-15 7.751
2015-05-16 7.7509
2015-05-17 7.7509
2015-05-18 7.7513
2015-05-19 7.7516
2015-05-20 7.7523
2015-05-21 7.7531
2015-05-22 7.7522
2015-05-23 7.7517
2015-05-24 7.7517
2015-05-25 7.7521
2015-05-26 7.7523
2015-05-27 7.7543
2015-05-28 7.7542
2015-05-29 7.7531
2015-05-30 7.7531
2015-05-31 7.7531
2015-06-01 7.7545
2015-06-02 7.756
2015-06-03 7.7542
2015-06-04 7.7527
2015-06-05 7.7528
2015-06-06 7.7525
2015-06-07 7.7525
2015-06-08 7.7524
2015-06-09 7.7525
2015-06-10 7.7527
2015-06-11 7.7527
2015-06-12 7.7529
2015-06-13 7.7529
2015-06-14 7.7529
2015-06-15 7.7528
2015-06-16 7.7525
2015-06-17 7.7526
2015-06-18 7.7526
2015-06-19 7.7521
2015-06-20 7.7514
2015-06-21 7.7514
2015-06-22 7.7515
2015-06-23 7.7522
2015-06-24 7.7525
2015-06-25 7.752
2015-06-26 7.7521
2015-06-27 7.7524
2015-06-28 7.7524
2015-06-29 7.7525
2015-06-30 7.7522
2015-07-01 7.7521
2015-07-02 7.7518
2015-07-03 7.7524
2015-07-04 7.7528
2015-07-05 7.7528
2015-07-06 7.753
2015-07-07 7.7546
2015-07-08 7.7539
2015-07-09 7.7524
2015-07-10 7.7516
2015-07-11 7.7512
2015-07-12 7.7512
2015-07-13 7.7517
2015-07-14 7.7516
2015-07-15 7.7511
2015-07-16 7.7509
2015-07-17 7.7507
2015-07-18 7.7504
2015-07-19 7.7504
2015-07-20 7.7509
2015-07-21 7.7509
2015-07-22 7.7507
2015-07-23 7.7509
2015-07-24 7.7512
2015-07-25 7.7517
2015-07-26 7.7517
2015-07-27 7.751
2015-07-28 7.751
