"Index" "XPT.USD"
2014-05-27 1477.96
2014-05-28 1464.38
2014-05-29 1457.05
2014-05-30 1461
2014-05-31 1451.5
2014-06-01 1451.5
2014-06-02 1450.47
2014-06-03 1435.5
2014-06-04 1430.5
2014-06-05 1437.99
2014-06-06 1441.68
2014-06-07 1451.5
2014-06-08 1451.5
2014-06-09 1452.3
2014-06-10 1451.35
2014-06-11 1474.03
2014-06-12 1476.3
2014-06-13 1452.39
2014-06-14 1433.8
2014-06-15 1433.8
2014-06-16 1442.58
2014-06-17 1437.36
2014-06-18 1439.09
2014-06-19 1453
2014-06-20 1467.52
2014-06-21 1456.5
2014-06-22 1456.5
2014-06-23 1455
2014-06-24 1451.7
2014-06-25 1469.32
2014-06-26 1466.88
2014-06-27 1467.34
2014-06-28 1477
2014-06-29 1477
2014-06-30 1475.3
2014-07-01 1483.67
2014-07-02 1502.17
2014-07-03 1504.7
2014-07-04 1496.71
2014-07-05 1496.71
2014-07-06 1496.71
2014-07-07 1501.5
2014-07-08 1495.05
2014-07-09 1499.38
2014-07-10 1506.46
2014-07-11 1513.5
2014-07-12 1513.5
2014-07-13 1513.5
2014-07-14 1512.18
2014-07-15 1496.16
2014-07-16 1484.41
2014-07-17 1484.7
2014-07-18 1502.83
2014-07-19 1502.83
2014-07-20 1502.83
2014-07-21 1490.5
2014-07-22 1487.5
2014-07-23 1486.38
2014-07-24 1481.1
2014-07-25 1470.1
2014-07-26 1477.925
2014-07-27 1477.925
2014-07-28 1476.98
2014-07-29 1487.36
2014-07-30 1481.5
2014-07-31 1478.69
2014-08-01 1461.56
2014-08-02 1461.56
2014-08-03 1461.56
2014-08-04 1463.34
2014-08-05 1464.44
2014-08-06 1457.5
2014-08-07 1465.36
2014-08-08 1476
2014-08-09 1476
2014-08-10 1476
2014-08-11 1474
2014-08-12 1470.19
2014-08-13 1468.39
2014-08-14 1468.25
2014-08-15 1466.01
2014-08-16 1456.665
2014-08-17 1456.665
2014-08-18 1456.08
2014-08-19 1445.7
2014-08-20 1438.81
2014-08-21 1427.51
2014-08-22 1421
2014-08-23 1421.91
2014-08-24 1421.91
2014-08-25 1421
2014-08-26 1416.675
2014-08-27 1417
2014-08-28 1417
2014-08-29 1417
2014-08-30 1417
2014-08-31 1417
2014-09-01 1424.5
2014-09-02 1422.78
2014-09-03 1411.44
2014-09-04 1411.44
2014-09-05 1411.44
2014-09-06 1409.995
2014-09-07 1409.995
2014-09-08 1409.99
2014-09-09 1398.91
2014-09-10 1389.67
2014-09-11 1389.67
2014-09-12 1371.5
2014-09-13 1370.525
2014-09-14 1370.525
2014-09-15 1367
2014-09-16 1363.57
2014-09-17 1366
2014-09-18 1366
2014-09-19 1366
2014-09-20 1366
2014-09-21 1366
2014-09-22 1333.21
2014-09-23 1328
2014-09-24 1333.12
2014-09-25 1316
2014-09-26 1316
2014-09-27 1301.585
2014-09-28 1301.585
2014-09-29 1300.38
2014-09-30 1305
2014-10-01 1292.5
2014-10-02 1283.33
2014-10-03 1283.33
2014-10-04 1283.33
2014-10-05 1283.33
2014-10-06 1203.63
2014-10-07 1203.63
2014-10-08 1203.63
2014-10-09 1203.63
2014-10-10 1203.63
2014-10-11 1203.63
2014-10-12 1203.63
2014-10-13 1269.5
2014-10-14 1269.5
