"Index" "HY.Open" "HY.High" "HY.Low" "HY.Close" "HY.Volume" "HY.Adjusted"
2013-09-20 94.18 96.290001 94.18 95.309998 181500 92.61756
2013-09-23 94.400002 96 93.089996 94.989998 44400 92.3066
2013-09-24 95 96.449997 93.07 95.769997 32600 93.064565
2013-09-25 95.660004 96.169998 91.419998 95.260002 70000 92.568977
2013-09-26 95.900002 96.660004 93 94.440002 30000 91.772142
2013-09-27 93.290001 93.980003 90.389999 91.690002 46800 89.099827
2013-09-30 89.989998 91.139999 88.029999 89.669998 51000 87.136887
2013-10-01 89.849998 92.830002 89.25 92.550003 54900 89.935534
2013-10-02 91.419998 91.830002 90.660004 91.730003 21800 89.138698
2013-10-03 91.190002 91.190002 86.290001 89.199997 51800 86.680163
2013-10-04 88.75 90.610001 88.519997 89.309998 31800 86.787056
2013-10-07 88.120003 89.620003 86.510002 87.290001 64100 84.824123
2013-10-08 87.400002 88.650002 85 86.269997 61200 83.832933
2013-10-09 86.739998 86.739998 85.120003 85.870003 56300 83.444238
2013-10-10 87.82 92.18 87.470001 88.959999 74800 86.446945
2013-10-11 88.669998 96.25 88.029999 93.410004 67100 90.77124
2013-10-14 92.910004 93.790001 90.099998 91.550003 58600 88.963783
2013-10-15 91.5 93.489998 89.949997 92.519997 44200 89.906375
2013-10-16 93.940002 95.080002 92.910004 94 28700 91.344569
2013-10-17 93.540001 94.260002 93.040001 94.129997 28900 91.470894
2013-10-18 95.309998 95.870003 93.599998 95 36600 92.31632
2013-10-21 95.379997 95.889999 93.68 94.599998 38600 91.927618
2013-10-22 95.099998 95.099998 93.279999 93.580002 56100 90.936436
2013-10-23 93.290001 94.489998 93.290001 93.550003 19700 90.907284
2013-10-24 93.559998 94.239998 92.449997 93.209999 36600 90.576885
2013-10-25 93.650002 93.769997 89.029999 90.540001 51900 87.982313
2013-10-28 90.370003 91.769997 89.019997 89.5 52800 86.971691
2013-10-29 90 91.25 87.57 90.209999 39600 87.661633
2013-10-30 90.099998 91.519997 88 88 47600 85.514065
2013-10-31 86.43 87.550003 76.370003 78.440002 207300 76.22413
2013-11-01 78.669998 82.900002 77.25 82.239998 110300 79.916778
2013-11-04 82.519997 86.690002 82.519997 83.540001 102300 81.180057
2013-11-05 83.209999 83.739998 80.760002 81.610001 175600 79.304578
2013-11-06 82.160004 83.169998 80.760002 81.629997 99600 79.32401
2013-11-07 81.959999 82.790001 78.699997 80.199997 158700 77.934406
2013-11-08 80.169998 81.949997 80.169998 81.489998 71500 79.187965
2013-11-11 81.07 82.349998 79.150002 82.089996 58100 79.771014
2013-11-12 81.93 83.540001 80.709999 82.629997 29400 80.295761
2013-11-13 82.029999 84.330002 82.029999 83.379997 27300 81.024574
2013-11-14 83.809998 84.089996 81.760002 82.349998 17000 80.023672
2013-11-15 82.239998 83.580002 81.440002 83.239998 34100 80.888529
2013-11-18 83.669998 86.839996 83.139999 84.459999 77500 82.074066
2013-11-19 84.5 86.419998 81.970001 83.220001 87000 80.869097
2013-11-20 84.089996 84.139999 81.75 82.089996 69300 79.771014
2013-11-21 82.379997 86.110001 82.379997 85.879997 58000 83.453951
2013-11-22 86.150002 86.150002 82.639999 83.800003 54700 81.432715
2013-11-25 84.309998 84.93 82.099998 82.599998 42800 80.266609
2013-11-26 82.800003 84.75 82.099998 83.150002 105400 81.046369
2013-11-27 83.25 83.400002 81.139999 81.529999 84100 79.467351
2013-11-29 82.230003 85.32 81.790001 83.360001 39400 81.251055
2013-12-02 82.970001 84.050003 80.800003 81.739998 46900 79.672037
2013-12-03 81.739998 83.620003 79.800003 80.099998 92700 78.073529
2013-12-04 79.550003 82 78.599998 79.610001 65700 77.595927
2013-12-05 79.339996 81 78.410004 78.970001 78400 76.972119
2013-12-06 80.07 81.75 79.290001 80.660004 78900 78.619366
2013-12-09 80.839996 86.190002 80.839996 84.959999 71800 82.810575
2013-12-10 84.970001 87.099998 84.360001 86.699997 104800 84.506552
2013-12-11 86.440002 87.82 81.050003 83.260002 111600 81.153586
2013-12-12 83.5 84.290001 80.629997 82.559998 285300 80.471291
2013-12-13 82.970001 82.970001 80.5 81.980003 109900 79.905971
2013-12-16 82.440002 88.690002 82.419998 88.32 111100 86.08557
2013-12-17 88.220001 89.099998 87.010002 88 54100 85.773666
2013-12-18 87.949997 91.239998 87.120003 91.220001 65100 88.912204
2013-12-19 91.709999 92.18 90.849998 91.989998 75800 89.66272
2013-12-20 92 94.940002 91.309998 93.949997 145100 91.573132
2013-12-23 94.080002 95 92.489998 94.650002 59300 92.255427
2013-12-24 94.239998 94.879997 92.07 94.730003 40000 92.333405
2013-12-26 95 95 92.739998 93.150002 25300 90.793376
2013-12-27 93.120003 95.080002 93 95.029999 30400 92.625811
2013-12-30 95.120003 95.400002 92.849998 93 44900 90.64717
2013-12-31 93.029999 93.800003 92.120003 93.160004 54800 90.803125
2014-01-02 92.800003 92.989998 90.779999 92.959999 41100 90.608181
2014-01-03 93 93 91.029999 92.230003 39700 89.896653
2014-01-06 92.809998 92.989998 90.199997 92.040001 62700 89.711458
2014-01-07 92.410004 94.32 92.220001 93.879997 60200 91.504904
2014-01-08 94.669998 95.32 93.400002 94.489998 62700 92.099472
2014-01-09 95.120003 95.120003 90.730003 90.970001 37700 88.668528
2014-01-10 90.82 91.800003 89.5 90.940002 43800 88.639288
2014-01-13 90.510002 90.849998 85.089996 86.57 49100 84.379844
2014-01-14 86.739998 89.580002 85.779999 88.199997 49300 85.968603
2014-01-15 88.199997 91.110001 87.580002 90.089996 64900 87.810787
2014-01-16 90.230003 91.779999 90.089996 90.879997 29100 88.580801
2014-01-17 91.07 92.220001 90.919998 91.519997 25700 89.204609
2014-01-21 92.620003 94.57 92.339996 93.269997 48700 90.910336
2014-01-22 93.5 94.25 92.599998 93.989998 39000 91.612121
2014-01-23 93.580002 94.019997 91.260002 92.260002 52900 89.925893
2014-01-24 91.410004 94.269997 87.669998 88.529999 53000 86.290256
2014-01-27 88.769997 88.779999 87.019997 87.760002 47500 85.53974
2014-01-28 88 89.760002 87.639999 89.139999 60300 86.884824
2014-01-29 88.330002 88.800003 86.68 87.419998 49100 85.208338
2014-01-30 88.480003 90.599998 87 87.540001 43800 85.325304
2014-01-31 85.68 87.480003 84 85.760002 61100 83.590338
2014-02-03 85.760002 87.75 80.900002 82.660004 65600 80.568767
2014-02-04 83 84.709999 81.68 83.110001 59500 81.00738
2014-02-05 82.620003 83.32 80.639999 83.32 70300 81.212066
2014-02-06 83.370003 85.709999 82.279999 85.080002 76900 82.927542
2014-02-07 85.510002 87.239998 83.209999 86.769997 91000 84.574781
2014-02-10 86.629997 88.400002 84.620003 85.099998 88500 82.947032
2014-02-11 85.769997 88 85.150002 87.279999 77400 85.07188
2014-02-12 87.529999 88.120003 85.489998 87.209999 73500 85.003651
2014-02-13 87.099998 88.800003 86.239998 88.470001 63500 86.231776
2014-02-14 88.480003 89.139999 86.489998 87.860001 29500 85.637208
2014-02-18 87.760002 89.230003 86.660004 87.669998 104700 85.452013
2014-02-19 86.599998 90.199997 86.550003 89.199997 57700 86.943304
2014-02-20 91.5 98 91.459999 96.709999 122300 94.263309
2014-02-21 96.980003 96.980003 93.800003 94.940002 81600 92.538091
2014-02-24 95.379997 100.43 94.949997 99.629997 60000 97.109433
2014-02-25 99.18 99.800003 97.580002 98.830002 35900 96.329677
2014-02-26 98.860001 101 98.5 99.900002 42000 97.619546
2014-02-27 99.669998 100.889999 98.769997 99.32 32000 97.052784
2014-02-28 99.699997 101.779999 99.580002 100.940002 65700 98.635806
2014-03-03 99.949997 101.470001 97.739998 100.639999 57500 98.342651
2014-03-04 102.029999 105.5 101.169998 103.220001 92700 100.863758
2014-03-05 103.349998 104.300003 103.230003 104.07 51600 101.694354
2014-03-06 104.5 106.730003 104 106.120003 67100 103.69756
2014-03-07 107 108.129997 103.330002 104.360001 99300 101.977735
2014-03-10 104.459999 106 100.110001 103.900002 53500 101.528236
2014-03-11 104.559998 105.360001 100.199997 101.68 53100 99.358912
2014-03-12 101.25 101.760002 98.870003 101.449997 44000 99.134159
2014-03-13 102.120003 103.32 98.989998 99.739998 55900 97.463194
2014-03-14 99.639999 102.849998 99.089996 100.75 50000 98.450141
2014-03-17 101.989998 103.709999 101.139999 102.160004 48800 99.827958
2014-03-18 102.629997 104.07 101.93 102.910004 33700 100.560837
2014-03-19 103.120003 104.190002 99.870003 100.82 30300 98.518543
2014-03-20 100.389999 101.830002 99.900002 100.93 23700 98.626032
2014-03-21 100.779999 100.779999 97.129997 97.510002 98400 95.284104
2014-03-24 97.900002 98.300003 95.510002 97.540001 48600 95.313418
