"Index" "MKC.Open" "MKC.High" "MKC.Low" "MKC.Close" "MKC.Volume" "MKC.Adjusted"
2014-03-03 65.790001 66.480003 65.540001 66.120003 761300 63.765173
2014-03-04 66.510002 67.169998 66.510002 67.019997 619000 64.633114
2014-03-05 66.919998 67.019997 66.510002 66.830002 668800 64.449885
2014-03-06 66.870003 67.050003 66.720001 66.800003 467900 64.420955
2014-03-07 66.970001 67.089996 66.690002 66.989998 412000 64.604183
2014-03-10 66.910004 67.349998 66.690002 66.949997 566900 64.565607
2014-03-11 67.129997 67.370003 66.980003 67.199997 458800 64.806703
2014-03-12 66.889999 67.93 66.889999 67.919998 519200 65.501062
2014-03-13 68 68.220001 67.389999 67.519997 681200 65.115306
2014-03-14 67.25 67.980003 67.25 67.650002 511100 65.240681
2014-03-17 67.839996 68.150002 67.559998 67.980003 542900 65.55893
2014-03-18 68 68.459999 67.980003 68.160004 397600 65.73252
2014-03-19 68.199997 68.440002 67.25 67.639999 318200 65.231035
2014-03-20 67.559998 67.82 67.32 67.540001 644500 65.134598
2014-03-21 67.82 68.360001 67.400002 67.540001 1352300 65.134598
2014-03-24 67.870003 68.5 67.440002 67.510002 1061600 65.105668
2014-03-25 70.260002 71.989998 70.019997 71.199997 1636600 68.664245
2014-03-26 71.410004 71.480003 70.150002 71.099998 1042700 68.567808
2014-03-27 70.830002 71.220001 70.540001 70.769997 675300 68.249559
2014-03-28 71.019997 71.540001 70.970001 71.32 591200 68.779974
2014-03-31 71.669998 71.889999 71.400002 71.739998 825900 69.185014
2014-04-01 71.580002 71.760002 71.150002 71.620003 511600 69.069293
2014-04-02 71.660004 71.779999 71.040001 71.300003 614400 68.76069
2014-04-03 70.989998 71.230003 70.650002 71.07 690500 68.896405
2014-04-04 71.209999 71.449997 70.269997 70.290001 578100 68.140261
2014-04-07 70.209999 70.769997 69.980003 70.059998 825800 67.917293
2014-04-08 70.239998 71.269997 69.989998 71.230003 797100 69.051515
2014-04-09 71.32 71.480003 70.690002 70.93 494300 68.760687
2014-04-10 70.860001 71.610001 70.529999 70.57 582600 68.411697
2014-04-11 70.449997 71.150002 69.760002 70 513200 67.85913
2014-04-14 70.589996 70.709999 70.029999 70.43 509900 68.275979
2014-04-15 70.599998 70.599998 69.800003 70.190002 525600 68.043321
2014-04-16 70.599998 71.129997 70.519997 71.129997 339000 68.954567
2014-04-17 70.919998 71.230003 70.580002 70.980003 873600 68.809161
2014-04-21 70.559998 71.120003 70.5 70.919998 405700 68.750991
2014-04-22 70.980003 71.709999 70.709999 71.660004 694600 69.468364
2014-04-23 71.620003 71.879997 71.480003 71.580002 480600 69.390809
2014-04-24 71.540001 71.830002 71.139999 71.290001 324300 69.109678
2014-04-25 71.279999 71.43 70.910004 71.150002 352800 68.97396
2014-04-28 71.440002 72.169998 71.410004 71.940002 418200 69.7398
2014-04-29 72.25 72.279999 71.43 71.43 388500 69.245395
2014-04-30 71.290001 71.540001 70.779999 71.199997 872400 69.022426
2014-05-01 71.339996 71.370003 70.529999 71.220001 355200 69.041819
2014-05-02 71.080002 71.989998 70.949997 71.599998 449800 69.410194
2014-05-05 71.260002 71.580002 70.93 71.32 317300 69.138759
2014-05-06 71.150002 71.339996 70.599998 70.620003 323500 68.460171
2014-05-07 70.800003 71.910004 70.529999 71.860001 371300 69.662245
2014-05-08 71.809998 71.860001 70.760002 71 514200 68.828546
2014-05-09 70.910004 71.220001 70.769997 71.150002 455500 68.97396
2014-05-12 71.5 71.629997 71.220001 71.400002 458900 69.216314
2014-05-13 71.419998 71.580002 71.18 71.330002 345300 69.148455
2014-05-14 71.330002 71.459999 70.68 70.760002 390600 68.595888
2014-05-15 70.68 70.900002 70.269997 70.480003 359800 68.324453
2014-05-16 70.449997 71.019997 70.43 70.769997 663800 68.605577
2014-05-19 70.639999 70.93 70.449997 70.75 415600 68.586192
2014-05-20 70.620003 70.769997 70.050003 70.239998 464500 68.091788
2014-05-21 70.389999 70.75 70 70.699997 477000 68.537718
2014-05-22 70.629997 70.809998 70.309998 70.709999 304400 68.547414
2014-05-23 70.779999 70.870003 70.599998 70.730003 238500 68.566807
2014-05-27 71.07 71.860001 70.879997 71.730003 429200 69.536223
2014-05-28 71.800003 71.839996 71.269997 71.279999 343600 69.099981
2014-05-29 71.300003 72.18 71.260002 72.110001 278700 69.904599
2014-05-30 72.129997 72.43 71.980003 72.309998 413400 70.098479
2014-06-02 72.029999 72.400002 71.779999 71.93 307300 69.730103
2014-06-03 71.720001 72.480003 71.720001 72.410004 495000 70.195426
2014-06-04 72.470001 73.139999 72.230003 73.089996 525800 70.854622
2014-06-05 72.949997 72.949997 72.5 72.919998 411300 70.689823
2014-06-06 72.82 73.230003 72.580002 73.010002 262200 70.777075
2014-06-09 73.080002 73.330002 72.870003 73.07 283500 70.835237
2014-06-10 72.809998 72.889999 72.239998 72.559998 447800 70.340833
2014-06-11 72.480003 72.790001 71.830002 72.199997 391500 69.991842
2014-06-12 72.129997 72.129997 71.620003 71.839996 236100 69.642852
2014-06-13 71.800003 72.010002 71.349998 71.709999 347700 69.516831
2014-06-16 71.559998 71.739998 71.32 71.449997 565100 69.26478
2014-06-17 71.760002 71.839996 71.290001 71.629997 469500 69.439276
2014-06-18 71.459999 72.660004 71.370003 72.610001 435900 70.389307
2014-06-19 72.730003 72.989998 72.110001 72.489998 427100 70.272974
2014-06-20 72.470001 72.699997 72.349998 72.5 609800 70.28267
2014-06-23 72.510002 72.599998 71.07 71.290001 647600 69.109678
2014-06-24 71.190002 71.419998 70.849998 71.300003 502100 69.119374
2014-06-25 71.099998 71.510002 70.980003 71.18 563800 69.003041
2014-06-26 70.349998 70.529999 68.410004 70.269997 980600 68.120869
2014-06-27 70.269997 71.660004 70.209999 71.57 877700 69.381113
2014-06-30 71.5 71.790001 70.980003 71.589996 607500 69.400498
2014-07-01 71.43 72.080002 71.260002 71.650002 534800 69.458668
2014-07-02 71.279999 71.279999 70.540001 70.919998 537800 69.107865
2014-07-03 70.959999 71.230003 70.699997 71.029999 430000 69.215055
2014-07-07 71.099998 71.489998 71.080002 71.150002 374800 69.331991
2014-07-08 71.019997 71.400002 70.800003 70.879997 459700 69.068886
2014-07-09 70.910004 71.160004 70.410004 70.540001 394800 68.737577
2014-07-10 70.080002 70.510002 70.080002 70.43 339400 68.630387
2014-07-11 70.260002 70.699997 70.160004 70.550003 427500 68.747324
2014-07-14 70.699997 70.839996 70.110001 70.410004 299900 68.610902
2014-07-15 70.300003 70.459999 69.849998 69.910004 383400 68.123678
2014-07-16 70.029999 70.260002 69.610001 69.959999 608200 68.172395
2014-07-17 69.849998 69.870003 69.25 69.349998 422500 67.577981
2014-07-18 69.489998 70.330002 69.360001 70.300003 812600 68.503712
2014-07-21 70.080002 70.400002 69.800003 70.269997 855300 68.474472
2014-07-22 70.25 70.330002 69.779999 70.029999 792600 68.240607
2014-07-23 70 70.160004 69.389999 69.400002 851700 67.626707
2014-07-24 69.610001 69.669998 69.25 69.370003 402500 67.597475
2014-07-25 69.18 69.489998 69.029999 69.220001 255000 67.451306
2014-07-28 69.150002 69.269997 68.599998 68.75 487700 66.993314
2014-07-29 68.879997 69.169998 68.089996 68.099998 499000 66.359921
2014-07-30 68.139999 68.370003 67.129997 67.379997 846800 65.658317
2014-07-31 67.050003 67.169998 65.720001 65.779999 830900 64.099202
2014-08-01 64.919998 66.550003 64.919998 66.370003 925400 64.67413
2014-08-04 66.440002 66.779999 66.169998 66.690002 455300 64.985953
2014-08-05 66.440002 66.900002 66.300003 66.389999 673500 64.693616
2014-08-06 66.330002 67.529999 66.330002 67.410004 792500 65.687557
2014-08-07 67.510002 67.690002 66.93 67.010002 450400 65.297776
2014-08-08 67.050003 67.860001 66.949997 67.839996 362900 66.106563
2014-08-11 67.870003 68.629997 67.870003 68.370003 515400 66.623026
2014-08-12 68.32 68.690002 68.230003 68.379997 413400 66.632766
2014-08-13 68.540001 68.540001 68.089996 68.309998 491000 66.564554
2014-08-14 68.459999 68.790001 68.32 68.75 231900 66.993314
2014-08-15 68.949997 69.360001 68.220001 68.57 369100 66.817913
2014-08-18 68.830002 69.290001 68.660004 69.07 389600 67.305137
2014-08-19 69.059998 69.540001 68.839996 69.370003 281700 67.597475
2014-08-20 69.18 69.529999 69.07 69.370003 285700 67.597475
2014-08-21 69.449997 70.25 69.440002 69.809998 370800 68.026227
2014-08-22 69.82 70.099998 69.040001 69.07 434200 67.305137
2014-08-25 69.440002 69.629997 69.169998 69.440002 356000 67.665686
2014-08-26 69.529999 69.970001 69.470001 69.739998 262600 67.958016
2014-08-27 69.660004 69.860001 69.440002 69.580002 545100 67.802108
2014-08-28 69.43 69.559998 69.199997 69.480003 425500 67.704664
