"Index" "USD.ZAR"
2015-07-06 12.3907
2015-07-07 12.4426
2015-07-08 12.5032
2015-07-09 12.5245
2015-07-10 12.4492
2015-07-11 12.4501
2015-07-12 12.4501
2015-07-13 12.4685
2015-07-14 12.4065
2015-07-15 12.3735
2015-07-16 12.409
2015-07-17 12.3655
2015-07-18 12.3608
2015-07-19 12.3608
2015-07-20 12.4182
2015-07-21 12.3971
2015-07-22 12.3644
2015-07-23 12.4239
2015-07-24 12.5483
2015-07-25 12.6325
2015-07-26 12.6325
2015-07-27 12.6202
2015-07-28 12.59
2015-07-29 12.5501
2015-07-30 12.6423
2015-07-31 12.691
2015-08-01 12.6818
2015-08-02 12.6818
2015-08-03 12.6963
2015-08-04 12.6745
2015-08-05 12.766
2015-08-06 12.7582
2015-08-07 12.6954
2015-08-08 12.626
2015-08-09 12.626
2015-08-10 12.6653
2015-08-11 12.7343
2015-08-12 12.7982
2015-08-13 12.7784
2015-08-14 12.8164
2015-08-15 12.8248
2015-08-16 12.8248
2015-08-17 12.8654
2015-08-18 12.9166
2015-08-19 12.9001
2015-08-20 12.9148
2015-08-21 12.9448
2015-08-22 12.9709
2015-08-23 12.9709
2015-08-24 12.9709
2015-08-25 13.1297
2015-08-26 13.1317
2015-08-27 13.0997
2015-08-28 13.2014
2015-08-29 13.3107
2015-08-30 13.3107
2015-08-31 13.3066
2015-09-01 13.3303
2015-09-02 13.4397
2015-09-03 13.5046
2015-09-04 13.6889
2015-09-05 13.8711
2015-09-06 13.8711
2015-09-07 13.9208
2015-09-08 13.8609
2015-09-09 13.6695
2015-09-10 13.7975
2015-09-11 13.6118
2015-09-12 13.5423
2015-09-13 13.5423
2015-09-14 13.5509
2015-09-15 13.4768
2015-09-16 13.3932
2015-09-17 13.3195
2015-09-18 13.279
2015-09-19 13.3138
2015-09-20 13.3138
2015-09-21 13.3809
2015-09-22 13.5738
2015-09-23 13.7428
2015-09-24 13.9136
2015-09-25 13.8648
2015-09-26 13.9133
2015-09-27 13.9133
2015-09-28 13.9563
2015-09-29 14.0282
2015-09-30 13.8886
2015-10-01 13.8308
2015-10-02 13.883
2015-10-03 13.731
2015-10-04 13.731
2015-10-05 13.6625
2015-10-06 13.6143
2015-10-07 13.4645
2015-10-08 13.4515
2015-10-09 13.3071
2015-10-10 13.3514
2015-10-11 13.3514
2015-10-12 13.3149
2015-10-13 13.4148
2015-10-14 13.4282
2015-10-15 13.1445
2015-10-16 13.0962
2015-10-17 13.0836
2015-10-18 13.0836
2015-10-19 13.1481
2015-10-20 13.2683
2015-10-21 13.3917
2015-10-22 13.4897
2015-10-23 13.478
2015-10-24 13.637
2015-10-25 13.637
2015-10-26 13.6227
2015-10-27 13.6718
2015-10-28 13.6509
2015-10-29 13.7831
2015-10-30 13.8345
2015-10-31 13.823
2015-11-01 13.823
