"Index" "H2L.Open" "H2L.High" "H2L.Low" "H2L.Close" "H2L.Volume" "H2L.Adjusted"
2014-03-27 23.31 23.31 23.31 23.31 0 23.31
2014-03-28 23.209 23.209 23.209 23.209 0 23.209
2014-03-31 23.547 23.547 23.547 23.547 0 23.547
2014-04-01 24.197 24.197 24.197 24.197 0 24.197
2014-04-02 25.181 25.181 25.181 25.181 0 25.181
2014-04-03 25.38 25.38 25.38 25.38 0 25.38
2014-04-04 25.439 25.439 25.439 25.439 0 25.439
2014-04-07 24.672 24.672 24.672 24.672 0 24.672
2014-04-08 25.169 25.169 25.169 25.169 0 25.169
2014-04-09 24.494 24.494 24.494 24.494 0 24.494
2014-04-10 24.634 24.634 24.634 24.634 0 24.634
2014-04-11 23.647 23.647 23.647 23.647 0 23.647
2014-04-14 23.261 23.261 23.261 23.261 0 23.261
2014-04-15 23.195 23.195 23.195 23.195 0 23.195
2014-04-16 22.618 22.618 22.618 22.618 0 22.618
2014-04-17 23.221 23.221 23.221 23.221 0 23.221
2014-04-18 23.221 23.221 23.221 23.221 0 23.221
2014-04-21 23.221 23.221 23.221 23.221 0 23.221
2014-04-22 23.694 23.694 23.694 23.694 0 23.694
2014-04-23 23.98 23.98 23.98 23.98 0 23.98
2014-04-24 23.896 23.896 23.896 23.896 0 23.896
2014-04-25 24.053 24.053 24.053 24.053 0 24.053
2014-04-28 23.302 23.302 23.302 23.302 0 23.302
2014-04-29 23.375 23.375 23.375 23.375 0 23.375
2014-04-30 23.585 23.585 23.585 23.585 0 23.585
2014-05-01 23.585 23.585 23.585 23.585 0 23.585
2014-05-02 22.725 22.725 22.725 22.725 0 22.725
2014-05-05 23.19 23.19 23.19 23.19 0 23.19
2014-05-06 23.433 23.433 23.433 23.433 0 23.433
2014-05-07 23.046 23.046 22.954 22.954 0 22.954
2014-05-08 23.017 23.017 23.017 23.017 0 23.017
2014-05-09 23.148 23.148 23.148 23.148 0 23.148
2014-05-12 23.685 23.685 23.685 23.685 0 23.685
2014-05-13 24.072 24.072 24.072 24.072 0 24.072
2014-05-14 24.122 24.122 24.122 24.122 0 24.122
2014-05-15 22.712 22.712 22.712 22.712 0 22.712
2014-05-16 22.047 22.047 22.047 22.047 0 22.047
2014-05-19 22.163 22.163 22.163 22.163 0 22.163
2014-05-20 22.513 22.513 22.513 22.513 0 22.513
2014-05-21 21.965 21.965 21.965 21.965 0 21.965
2014-05-22 21.952 21.952 21.952 21.952 0 21.952
2014-05-23 21.876 21.876 21.876 21.876 100 21.876
2014-05-26 22.22 22.22 22.22 22.22 0 22.22
2014-05-27 22.169 22.169 22.169 22.169 0 22.169
2014-05-28 23.281 23.281 23.281 23.281 0 23.281
2014-05-29 23.354 23.354 23.354 23.354 0 23.354
2014-05-30 23.428 23.428 23.428 23.428 0 23.428
2014-06-02 23.483 23.483 23.483 23.483 0 23.483
2014-06-03 24.25 24.25 24.25 24.25 0 24.25
2014-06-04 24.042 24.042 24.042 24.042 0 24.042
2014-06-05 24.106 24.106 24.106 24.106 0 24.106
2014-06-06 24.46 24.46 24.46 24.46 0 24.46
2014-06-09 25.408 25.408 25.408 25.408 0 25.408
2014-06-10 25.432 25.432 25.432 25.432 0 25.432
2014-06-11 25.214 25.214 25.214 25.214 0 25.214
2014-06-12 24.784 24.784 24.784 24.784 0 24.784
2014-06-13 24.311 24.311 24.311 24.311 0 24.311
2014-06-16 24.381 24.381 24.381 24.381 0 24.381
2014-06-17 24.488 24.488 24.488 24.488 0 24.488
2014-06-18 24.467 24.467 24.467 24.467 0 24.467
2014-06-19 24.694 24.694 24.694 24.694 0 24.694
2014-06-20 24.593 24.593 24.593 24.593 0 24.593
2014-06-23 25.594 25.594 25.594 25.594 0 25.594
2014-06-24 26.12 26.12 26.12 26.12 0 26.12
2014-06-25 26.023 26.023 26.023 26.023 0 26.023
2014-06-26 26.885 26.885 26.885 26.885 0 26.885
2014-06-27 26.977 26.977 26.977 26.977 0 26.977
2014-06-30 27.176 27.176 27.176 27.176 0 27.176
2014-07-01 26.979 26.979 26.979 26.979 0 26.979
2014-07-02 27.22 27.22 27.22 27.22 0 27.22
2014-07-03 27.036 27.036 27.036 27.036 0 27.036
2014-07-04 27.841 27.841 27.841 27.841 0 27.841
2014-07-07 27.888 27.888 27.888 27.888 0 27.888
2014-07-08 27.62 27.62 27.62 27.62 0 27.62
2014-07-09 26.535 26.535 26.535 26.535 0 26.535
2014-07-10 26.995 26.995 26.995 26.995 0 26.995
2014-07-11 26.673 26.673 26.673 26.673 0 26.673
2014-07-14 26.88 26.88 26.88 26.88 0 26.88
2014-07-15 26.477 26.477 26.477 26.477 0 26.477
2014-07-16 25.814 25.814 25.814 25.814 0 25.814
2014-07-17 25.876 25.876 25.876 25.876 0 25.876
2014-07-18 25.032 25.032 25.032 25.032 0 25.032
2014-07-21 25.519 25.519 25.519 25.519 0 25.519
2014-07-22 25.468 25.468 25.468 25.468 0 25.468
2014-07-23 25.724 25.724 25.724 25.724 0 25.724
2014-07-24 25.435 25.435 25.435 25.435 0 25.435
2014-07-25 25.743 25.743 25.743 25.743 0 25.743
2014-07-28 25.572 25.572 25.572 25.572 0 25.572
2014-07-29 25.67 25.67 25.67 25.67 0 25.67
2014-07-30 25.812 25.812 25.812 25.812 0 25.812
2014-07-31 26.296 26.296 26.296 26.296 0 26.296
2014-08-01 25.175 25.175 25.175 25.175 0 25.175
2014-08-04 22.519 22.519 22.519 22.519 0 22.519
2014-08-05 22.4 22.4 22.4 22.4 0 22.4
2014-08-06 22.869 22.869 22.869 22.869 0 22.869
2014-08-07 23.164 23.164 23.164 23.164 0 23.164
2014-08-08 22.83 22.83 22.83 22.83 0 22.83
2014-08-11 23.883 23.883 23.883 23.883 0 23.883
2014-08-12 23.959 23.959 23.959 23.959 0 23.959
2014-08-13 23.872 23.872 23.872 23.872 0 23.872
2014-08-14 24.178 24.178 24.178 24.178 0 24.178
2014-08-15 23.468 23.468 23.468 23.468 0 23.468
2014-08-18 23.097 23.097 23.097 23.097 0 23.097
2014-08-19 24.412 24.412 24.412 24.412 0 24.412
2014-08-20 24.081 24.081 24.081 24.081 0 24.081
2014-08-21 24.035 24.035 24.035 24.035 0 24.035
2014-08-22 24.263 24.263 24.263 24.263 0 24.263
2014-08-25 24.026 24.026 24.026 24.026 0 24.026
2014-08-26 24.119 24.119 24.119 24.119 0 24.119
2014-08-27 24.299 24.299 24.299 24.299 0 24.299
2014-08-28 23.677 23.677 23.677 23.677 0 23.677
2014-08-29 23.064 23.064 23.064 23.064 0 23.064
2014-09-01 22.652 22.652 22.652 22.652 0 22.652
2014-09-02 22.664 22.664 22.664 22.664 0 22.664
2014-09-03 23.311 23.311 23.311 23.311 0 23.311
2014-09-04 22.995 22.995 22.99 22.99 0 22.99
2014-09-05 24.026 24.026 24.026 24.026 0 24.026
