"Index" "USD.SGD"
2014-12-30 1.3233
2014-12-31 1.3223
2015-01-01 1.3238
2015-01-02 1.3279
2015-01-03 1.3313
2015-01-04 1.3313
2015-01-05 1.3348
2015-01-06 1.3339
2015-01-07 1.3371
2015-01-08 1.3379
2015-01-09 1.3362
2015-01-10 1.3332
2015-01-11 1.3333
2015-01-12 1.3338
2015-01-13 1.335
2015-01-14 1.3346
2015-01-15 1.3305
2015-01-16 1.3257
2015-01-17 1.3269
2015-01-18 1.3269
2015-01-19 1.33
2015-01-20 1.3372
2015-01-21 1.3359
2015-01-22 1.3348
2015-01-23 1.3413
2015-01-24 1.3447
2015-01-25 1.3448
2015-01-26 1.3445
2015-01-27 1.3422
2015-01-28 1.3501
2015-01-29 1.3528
2015-01-30 1.3526
2015-01-31 1.3543
2015-02-01 1.3543
2015-02-02 1.3528
2015-02-03 1.3503
2015-02-04 1.3461
2015-02-05 1.347
2015-02-06 1.3472
2015-02-07 1.3529
2015-02-08 1.3529
2015-02-09 1.3535
2015-02-10 1.3545
2015-02-11 1.3585
2015-02-12 1.3598
2015-02-13 1.3558
2015-02-14 1.3551
2015-02-15 1.3551
2015-02-16 1.3559
2015-02-17 1.3559
2015-02-18 1.3586
2015-02-19 1.3575
2015-02-20 1.3593
2015-02-21 1.3603
2015-02-22 1.3602
2015-02-23 1.3603
2015-02-24 1.3599
2015-02-25 1.3555
2015-02-26 1.3538
2015-02-27 1.359
2015-02-28 1.3625
2015-03-01 1.3626
2015-03-02 1.3642
2015-03-03 1.3637
2015-03-04 1.3651
2015-03-05 1.3692
2015-03-06 1.3729
2015-03-07 1.3777
2015-03-08 1.3777
2015-03-09 1.3799
2015-03-10 1.3859
2015-03-11 1.3877
2015-03-12 1.383
2015-03-13 1.3869
2015-03-14 1.3927
2015-03-15 1.3927
2015-03-16 1.3906
2015-03-17 1.3893
2015-03-18 1.3887
2015-03-19 1.3833
2015-03-20 1.3854
2015-03-21 1.3786
2015-03-22 1.3786
2015-03-23 1.3736
2015-03-24 1.3666
2015-03-25 1.3682
2015-03-26 1.3686
2015-03-27 1.3697
2015-03-28 1.3695
2015-03-29 1.3695
2015-03-30 1.3741
2015-03-31 1.3746
2015-04-01 1.3672
2015-04-02 1.3601
2015-04-03 1.3544
2015-04-04 1.3505
2015-04-05 1.3505
2015-04-06 1.3517
2015-04-07 1.3571
2015-04-08 1.3568
2015-04-09 1.3567
2015-04-10 1.3627
2015-04-11 1.3683
2015-04-12 1.3683
2015-04-13 1.3706
2015-04-14 1.3628
2015-04-15 1.3606
2015-04-16 1.3541
2015-04-17 1.3468
2015-04-18 1.3459
2015-04-19 1.3459
2015-04-20 1.3464
2015-04-21 1.3506
2015-04-22 1.3479
2015-04-23 1.3463
2015-04-24 1.3371
