"Index" "MBE.Open" "MBE.High" "MBE.Low" "MBE.Close" "MBE.Volume" "MBE.Adjusted"
2014-05-20 30.278 30.278 30.278 30.278 0 29.803
2014-05-21 29.874 29.874 29.874 29.874 0 29.406
2014-05-22 29.708 29.708 29.708 29.708 0 29.242
2014-05-23 30.456 30.456 30.456 30.456 0 29.979
2014-05-26 30.759 30.759 30.759 30.759 0 30.277
2014-05-27 30.78 30.78 30.78 30.78 0 30.298
2014-05-28 31.247 31.247 31.247 31.247 0 30.757
2014-05-29 31.243 31.243 31.243 31.243 0 30.753
2014-05-30 31.771 31.771 31.771 31.771 0 31.273
2014-06-02 31.727 31.727 31.727 31.727 0 31.23
2014-06-03 31.338 31.338 31.338 31.338 0 30.847
2014-06-04 31.548 31.548 31.548 31.548 0 31.054
2014-06-05 32.377 32.377 32.377 32.377 0 31.87
2014-06-06 33.365 33.365 33.365 33.365 0 32.842
2014-06-09 33.596 33.596 33.596 33.596 0 33.069
2014-06-10 35.075 35.075 35.075 35.075 0 34.525
2014-06-11 34.989 34.989 34.989 34.989 0 34.441
2014-06-12 34.931 34.931 34.931 34.931 0 34.384
2014-06-13 34.541 34.541 34.541 34.541 0 34
2014-06-16 34.646 34.646 34.646 34.646 0 34.103
2014-06-17 34.908 34.908 34.908 34.908 0 34.361
2014-06-18 34.795 34.795 34.795 34.795 0 34.25
2014-06-19 35.039 35.039 35.039 35.039 0 34.49
2014-06-20 34.728 34.728 34.728 34.728 0 34.184
2014-06-23 35.12 35.12 35.12 35.12 0 34.57
2014-06-24 35.161 35.161 35.161 35.161 0 34.61
2014-06-25 34.931 34.931 34.931 34.931 0 34.384
2014-06-26 35.536 35.536 35.536 35.536 0 34.979
2014-06-27 35.3 35.3 35.3 35.3 0 34.747
2014-06-30 34.815 34.815 34.815 34.815 0 34.269
2014-07-01 34.799 34.799 34.799 34.799 0 34.254
2014-07-02 35.498 35.498 35.498 35.498 0 34.942
2014-07-03 34.694 34.694 34.694 34.694 0 34.15
2014-07-04 35.26 35.26 35.26 35.26 0 34.707
2014-07-07 35.296 35.296 35.296 35.296 0 34.743
2014-07-08 34.346 34.346 34.346 34.346 0 33.808
2014-07-09 33.641 33.641 33.641 33.641 0 33.114
2014-07-10 33.427 33.427 33.427 33.427 0 32.903
2014-07-11 33.024 33.024 33.024 33.024 0 32.506
2014-07-14 32.958 32.958 32.958 32.958 0 32.441
2014-07-15 33.532 33.532 33.532 33.532 0 33.006
2014-07-16 33.414 33.414 33.414 33.414 0 32.89
2014-07-17 33.397 33.397 33.397 33.397 0 32.874
2014-07-18 32.519 32.519 32.519 32.519 0 32.009
2014-07-21 33.398 33.398 33.398 33.398 0 32.875
2014-07-22 32.7 32.7 32.7 32.7 0 32.187
2014-07-23 33.425 33.425 33.425 33.425 0 32.901
2014-07-24 33.463 33.463 33.463 33.463 0 32.939
2014-07-25 33.495 33.495 33.495 33.495 0 32.97
2014-07-28 32.619 32.619 32.619 32.619 0 32.108
2014-07-29 32.525 32.525 32.525 32.525 0 32.015
2014-07-30 32.929 32.929 32.929 32.929 0 32.413
2014-07-31 31.928 31.928 31.928 31.928 0 31.428
