"Index" "MJC.Open" "MJC.High" "MJC.Low" "MJC.Close" "MJC.Volume" "MJC.Adjusted"
2013-07-12 2.37 2.37 2.26 2.37 292200 1.99906
2013-07-15 2.25 2.25 2.24 2.24 73500 2.07835
2013-07-16 2.13 2.13 2.1 2.12 107100 1.96701
2013-07-17 2.12 2.12 2.1 2.1 110200 1.94845
2013-07-18 2.12 2.2 2.1 2.2 68200 2.04124
2013-07-19 2.2 2.2 2.2 2.2 0 2.04124
2013-07-22 2.2 2.2 2.2 2.2 1000 2.04124
2013-07-23 2.1 2.1 2.01 2.01 8400 1.86495
2013-07-24 2.04 2.1 2.04 2.1 3100 1.94845
2013-07-25 2.1 2.1 2.1 2.1 0 1.94845
2013-07-26 2.1 2.23 2.1 2.23 46200 2.06907
2013-07-29 2.2 2.2 2.2 2.2 221500 2.04124
2013-07-30 2.2 2.2 2.2 2.2 52500 2.04124
2013-07-31 2.19 2.19 2.15 2.15 51400 1.99485
2013-08-01 2.2 2.2 2.2 2.2 147000 2.04124
2013-08-02 2.15 2.19 2.15 2.19 128100 2.03195
2013-08-05 2.11 2.22 2.11 2.22 200500 2.0598
2013-08-06 2.15 2.2 2.15 2.2 97600 2.04124
2013-08-07 2.2 2.2 2.2 2.2 0 2.04124
2013-08-08 2.3 2.3 2.3 2.3 1000 2.13402
2013-08-09 2.3 2.3 2.3 2.3 0 2.13402
2013-08-12 2.15 2.15 2.08 2.1 236200 1.94845
2013-08-13 2.1 2.1 2.1 2.1 0 1.94845
2013-08-14 2.15 2.15 2.08 2.1 24100 1.94845
2013-08-15 2.11 2.45 2.08 2.3 263500 2.13402
2013-08-16 2.1 2.43 2.1 2.4 6300 2.2268
2013-08-19 2.4 2.4 2.4 2.4 0 2.2268
2013-08-20 2.4 2.4 2.4 2.4 0 2.2268
2013-08-21 2.4 2.4 2.4 2.4 0 2.2268
2013-08-22 2.34 2.35 2.34 2.35 147000 2.18042
2013-08-23 2.2 2.2 2.2 2.2 211000 2.04124
2013-08-26 2.2 2.2 2.2 2.2 0 2.04124
2013-08-27 2.15 2.2 2.15 2.2 551200 2.04124
2013-08-28 2.2 2.2 2.2 2.2 0 2.04124
2013-08-29 2.2 2.2 2.2 2.2 0 2.04124
2013-08-30 2.2 2.2 2.2 2.2 0 2.04124
2013-09-02 2.1 2.1 2.1 2.1 215200 1.94845
2013-09-03 2.08 2.1 2.08 2.1 118600 1.94845
2013-09-04 2.08 2.08 2.08 2.08 27300 1.92989
2013-09-05 2.05999 2.2 2 2.2 14700 2.04124
2013-09-06 2.2 2.2 2.2 2.2 0 2.04124
2013-09-09 2.2 2.2 2.2 2.2 0 2.04124
2013-09-10 2.2 2.2 2.2 2.2 0 2.04124
2013-09-11 2.2 2.2 2.2 2.2 0 2.04124
2013-09-12 2.2 2.2 2.2 2.2 30400 2.04124
2013-09-13 2.2 2.2 2.2 2.2 0 2.04124
2013-09-16 2.1 2.2 2.05999 2.2 76600 2.04124
2013-09-17 2 2.25 2 2.2 105000 2.04124
2013-09-18 2.2 2.23 2.1 2.1 171100 1.94845
2013-09-19 2.1 2.1 2.1 2.1 57700 1.94845
2013-09-20 2.15 2.15 2.15 2.15 27300 1.99485
2013-09-23 2.15 2.15 2.15 2.15 57700 1.99485
2013-09-24 2.15 2.15 2.15 2.15 0 1.99485
2013-09-25 2.2 2.2 2.2 2.2 36700 2.04124
2013-09-26 2.05999 2.18 2.04 2.05 472500 1.90206
2013-09-27 2.05999 2.05999 2.03 2.03 105000 1.8835
2013-09-30 2.03 2.1 2.03 2.1 43000 1.94845
2013-10-01 2.1 2.1 2.1 2.1 168000 1.94845
2013-10-02 2.17 2.2 2.17 2.2 24100 2.04124
2013-10-03 2.1 2.12 2.1 2.12 38800 1.96701
2013-10-04 2.12 2.12 2.12 2.12 31500 1.96701
2013-10-07 2.15 2.15 2.15 2.15 21000 1.99485
2013-10-08 2.1 2.17 2.1 2.17 75600 2.01341
2013-10-09 2.1 2.1 2.1 2.1 8400 1.94845
2013-10-10 2.1 2.1 2.1 2.1 85000 1.94845
2013-10-11 2.1 2.1 2.1 2.1 12600 1.94845
2013-10-14 2.14 2.2 2.14 2.2 151200 2.04124
