"Index" "UA.Open" "UA.High" "UA.Low" "UA.Close" "UA.Volume" "UA.Adjusted"
2013-10-09 76.860001 77.919998 75.440002 77.540001 3161600 38.77
2013-10-10 78 79.449997 78 79 1852600 39.5
2013-10-11 79 79 77.300003 78.370003 1417600 39.185001
2013-10-14 77.519997 79.32 77.239998 79.260002 1205000 39.630001
2013-10-15 79.400002 81.080002 79.349998 80.559998 2900400 40.279999
2013-10-16 81.349998 82.949997 80.75 82.220001 2463200 41.110001
2013-10-17 82.290001 82.809998 81.209999 82.120003 2138600 41.060001
2013-10-18 82.779999 85.32 82.720001 85.290001 2049400 42.645
2013-10-21 85.75 86.019997 83.129997 83.980003 2734200 41.990002
2013-10-22 84.68 85.120003 82.300003 83.230003 2590600 41.615002
2013-10-23 82.809998 84 82.230003 83.980003 3538400 41.990002
2013-10-24 78.989998 80.839996 77.349998 79.980003 10386200 39.990002
2013-10-25 80.379997 80.379997 78.5 80.18 3878000 40.09
2013-10-28 80.300003 81.489998 79.949997 81 2308000 40.5
2013-10-29 81.169998 81.5 79.690002 81.07 2684800 40.535
2013-10-30 82.019997 82.029999 80.830002 81.459999 2023600 40.73
2013-10-31 81.419998 81.949997 79.940002 81.150002 2583000 40.575001
2013-11-01 81.510002 81.809998 79.800003 80.260002 1608600 40.130001
2013-11-04 80.68 80.830002 79.889999 80.389999 1936000 40.195
2013-11-05 80.309998 80.43 79.690002 80.190002 2580200 40.095001
2013-11-06 80.330002 80.699997 78.489998 79.260002 2075200 39.630001
2013-11-07 79.629997 79.68 76.029999 76.349998 3886400 38.174999
2013-11-08 76.129997 78.970001 76.110001 78.940002 2637000 39.470001
2013-11-11 78.989998 80.839996 78.690002 80.279999 1632200 40.139999
2013-11-12 79.989998 80.68 79.599998 80.07 1248400 40.035
2013-11-13 79.910004 82.669998 79.690002 82.639999 1995400 41.32
2013-11-14 82.889999 83.629997 81.769997 83.529999 2355800 41.764999
2013-11-15 83.529999 83.739998 82.599998 83.550003 1818600 41.775002
2013-11-18 83.690002 83.82 81.199997 81.510002 1732000 40.755001
2013-11-19 81.129997 81.730003 79.779999 79.980003 1766000 39.990002
2013-11-20 80.029999 80.57 78.970001 79.110001 1647000 39.555
2013-11-21 79.550003 80.790001 79.110001 80.669998 1733000 40.334999
2013-11-22 80.669998 81.150002 80.360001 80.480003 1992800 40.240002
2013-11-25 80.849998 81.059998 80.080002 80.309998 1285400 40.154999
2013-11-26 80.300003 81.379997 80.010002 81.120003 1497800 40.560001
2013-11-27 81.599998 82 81.120003 81.93 969000 40.965
2013-11-29 81.93 82.389999 80.589996 80.699997 729600 40.349998
2013-12-02 81.129997 82.489998 80.370003 81.169998 1544000 40.584999
2013-12-03 80.730003 81.769997 80.43 81.110001 1210200 40.555
2013-12-04 80.769997 81.639999 79.519997 80.489998 1241600 40.244999
2013-12-05 80.290001 82.230003 79.800003 81.970001 1423800 40.985001
2013-12-06 82.260002 83.25 81.389999 82.089996 1910400 41.044998
2013-12-09 82.099998 83 81.769997 82.160004 1231000 41.080002
2013-12-10 81.769997 83.239998 81.169998 83.07 1326000 41.535
2013-12-11 83.260002 85.650002 83.239998 84.470001 3892400 42.235001
2013-12-12 84.150002 84.449997 82.400002 84.18 2171800 42.09
2013-12-13 84.529999 85 83.449997 83.690002 1373400 41.845001
2013-12-16 83.970001 85 83.720001 84.57 2504800 42.285
2013-12-17 84.43 84.769997 83.510002 84.620003 1188200 42.310001
2013-12-18 84.639999 86.589996 83.849998 86.330002 2065600 43.165001
2013-12-19 86.300003 87.559998 85.730003 86.050003 1876200 43.025002
2013-12-20 86.150002 87.919998 85.809998 86.040001 4997800 43.02
