"Index" "FO.Open" "FO.High" "FO.Low" "FO.Close" "FO.Volume" "FO.Adjusted"
2014-06-05 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-06 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-09 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-10 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-11 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-12 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-13 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-16 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-17 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-18 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-19 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-20 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-23 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-24 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-25 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-26 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-27 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-06-30 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-01 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-02 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-03 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-04 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-07 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-08 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-09 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-10 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-11 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-14 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-15 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-16 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-17 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-18 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-21 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-22 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-23 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-25 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-29 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-30 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-07-31 88.40005 88.40005 88.40005 88.40005 0 72.6388
2014-08-01 88.40005 88.40005 88.40005 88.40005 0 72.6388
