"Index" "USD.ILS"
2015-09-13 3.864
2015-09-14 3.8824
2015-09-15 3.8918
2015-09-16 3.8781
2015-09-17 3.8697
2015-09-18 3.882
2015-09-19 3.9023
2015-09-20 3.9013
2015-09-21 3.922
2015-09-22 3.9384
2015-09-23 3.9485
2015-09-24 3.9395
2015-09-25 3.9334
2015-09-26 3.9419
2015-09-27 3.9419
2015-09-28 3.9372
2015-09-29 3.933
2015-09-30 3.9259
2015-10-01 3.9249
2015-10-02 3.9263
2015-10-03 3.9144
2015-10-04 3.9144
2015-10-05 3.892
2015-10-06 3.8705
2015-10-07 3.8536
2015-10-08 3.8557
2015-10-09 3.8398
2015-10-10 3.8398
2015-10-11 3.8292
2015-10-12 3.8312
2015-10-13 3.8499
2015-10-14 3.8601
2015-10-15 3.8272
2015-10-16 3.8239
2015-10-17 3.8586
2015-10-18 3.8396
2015-10-19 3.8443
2015-10-20 3.8545
2015-10-21 3.8616
2015-10-22 3.8702
2015-10-23 3.885
2015-10-24 3.8952
2015-10-25 3.8973
2015-10-26 3.8876
2015-10-27 3.872
2015-10-28 3.8755
2015-10-29 3.8869
2015-10-30 3.8869
2015-10-31 3.8666
2015-11-01 3.8646
