"Index" "NYF.Open" "NYF.High" "NYF.Low" "NYF.Close" "NYF.Volume" "NYF.Adjusted"
2014-05-15 109.580002 109.870003 109.580002 109.82 3900 105.470072
2014-05-16 109.760002 109.809998 109.650002 109.75 5100 105.402845
2014-05-19 109.910004 109.910004 109.660004 109.830002 3400 105.479678
2014-05-20 109.849998 109.849998 109.739998 109.849998 6600 105.498883
2014-05-21 109.720001 109.779999 109.639999 109.639999 6100 105.297202
2014-05-22 109.730003 109.730003 109.550003 109.589996 2500 105.249179
2014-05-23 109.599998 109.769997 109.57 109.699997 4200 105.354823
2014-05-27 109.75 109.75 109.699997 109.720001 2000 105.374035
2014-05-28 109.849998 109.949997 109.779999 109.919998 5900 105.56611
2014-05-29 110.059998 110.080002 109.889999 110.029999 2800 105.671753
2014-05-30 110.050003 110.080002 109.879997 109.879997 5500 105.527693
2014-06-02 109.669998 109.68 109.480003 109.480003 6400 105.397731
2014-06-03 109.610001 109.610001 109.290001 109.330002 6700 105.253323
2014-06-04 109.330002 109.480003 109.330002 109.470001 2600 105.388102
2014-06-05 109.400002 109.440002 109.330002 109.379997 1900 105.301454
2014-06-06 109.360001 109.400002 109.300003 109.309998 3700 105.234065
2014-06-09 109.239998 109.400002 109.239998 109.400002 4200 105.320713
2014-06-10 109.300003 109.300003 109.150002 109.169998 4000 105.099286
2014-06-11 109.150002 109.349998 109.019997 109.099998 1300 105.031896
2014-06-12 109.110001 109.379997 109.07 109.379997 11400 105.301454
2014-06-13 109.209999 109.330002 109.099998 109.25 7600 105.176304
2014-06-16 109.32 109.360001 109.279999 109.309998 6800 105.234065
2014-06-17 109.360001 109.360001 109.150002 109.290001 17500 105.214814
2014-06-18 109.400002 109.459999 109.300003 109.300003 2500 105.224443
2014-06-19 109.43 109.940002 109.339996 109.940002 2800 105.840578
2014-06-20 109.230003 109.589996 109.230003 109.5 5600 105.416982
2014-06-23 109.5 109.650002 109.5 109.550003 3800 105.465121
2014-06-24 109.5 109.620003 109.459999 109.540001 3400 105.455492
2014-06-25 109.57 109.860001 109.57 109.68 2200 105.590271
2014-06-26 109.800003 110.029999 109.769997 110.010002 9300 105.907968
2014-06-27 109.800003 110.019997 109.790001 110.010002 4700 105.907968
2014-06-30 110.010002 110.110001 109.989998 110.029999 7900 105.927219
2014-07-01 109.82 109.900002 109.699997 109.849998 9600 106.005383
2014-07-02 109.599998 109.650002 109.360001 109.489998 5400 105.657982
2014-07-03 109.389999 109.769997 109.389999 109.760002 12600 105.918537
2014-07-07 109.760002 109.779999 109.360001 109.75 2700 105.908884
2014-07-08 109.730003 109.730003 109.349998 109.449997 3200 105.619381
2014-07-09 109.5 109.550003 109.150002 109.550003 19200 105.715887
2014-07-10 109.5 109.5 109.190002 109.32 8300 105.493934
2014-07-11 109.410004 109.489998 109.339996 109.489998 1100 105.657982
2014-07-14 109.269997 109.419998 109.160004 109.419998 2800 105.590432
2014-07-15 109.349998 109.550003 109.349998 109.540001 7500 105.706235
2014-07-16 109.730003 109.860001 109.550003 109.660004 16300 105.822038
2014-07-17 109.800003 109.980003 109.800003 109.879997 3600 106.034332
2014-07-18 110.040001 110.169998 109.889999 110.110001 6400 106.256286
2014-07-21 110.18 110.449997 109.910004 110.040001 13700 106.188736
2014-07-22 110.309998 110.349998 110.040001 110.040001 2600 106.188736
