"Index" "USD.DKK"
2015-07-21 6.8656
2015-07-22 6.8303
2015-07-23 6.8044
2015-07-24 6.8024
2015-07-25 6.795
2015-07-26 6.795
2015-07-27 6.7536
2015-07-28 6.7445
2015-07-29 6.7543
2015-07-30 6.8117
2015-07-31 6.7987
2015-08-01 6.7942
2015-08-02 6.7942
2015-08-03 6.803
2015-08-04 6.8152
2015-08-05 6.8602
2015-08-06 6.8397
2015-08-07 6.8267
2015-08-08 6.8044
2015-08-09 6.8043
2015-08-10 6.8
2015-08-11 6.7709
2015-08-12 6.7143
2015-08-13 6.7027
2015-08-14 6.6985
2015-08-15 6.7192
2015-08-16 6.7192
2015-08-17 6.7288
2015-08-18 6.7498
2015-08-19 6.7513
2015-08-20 6.6884
2015-08-21 6.6108
2015-08-22 6.5541
2015-08-23 6.5542
2015-08-24 6.4936
2015-08-25 6.4821
2015-08-26 6.519
2015-08-27 6.6084
2015-08-28 6.639
2015-08-29 6.6721
2015-08-30 6.6724
2015-08-31 6.6524
2015-09-01 6.6251
2015-09-02 6.6257
2015-09-03 6.6698
2015-09-04 6.7013
2015-09-05 6.6959
2015-09-06 6.696
2015-09-07 6.6882
2015-09-08 6.6738
2015-09-09 6.6762
2015-09-10 6.647
2015-09-11 6.6053
2015-09-12 6.5796
2015-09-13 6.5794
2015-09-14 6.5853
2015-09-15 6.6021
2015-09-16 6.6175
2015-09-17 6.5909
2015-09-18 6.5462
2015-09-19 6.5946
2015-09-20 6.6033
2015-09-21 6.6228
2015-09-22 6.68
2015-09-23 6.6933
2015-09-24 6.6533
2015-09-25 6.6774
2015-09-26 6.6638
2015-09-27 6.665
2015-09-28 6.6629
2015-09-29 6.6353
2015-09-30 6.6515
2015-10-01 6.6798
2015-10-02 6.6585
2015-10-03 6.6548
2015-10-04 6.6546
2015-10-05 6.6485
2015-10-06 6.6521
2015-10-07 6.628
2015-10-08 6.6223
2015-10-09 6.5892
2015-10-10 6.5689
2015-10-11 6.5686
2015-10-12 6.5613
2015-10-13 6.5602
2015-10-14 6.536
2015-10-15 6.5235
2015-10-16 6.5617
2015-10-17 6.5752
2015-10-18 6.5695
2015-10-19 6.5758
2015-10-20 6.5753
2015-10-21 6.5713
2015-10-22 6.6222
2015-10-23 6.736
2015-10-24 6.7703
2015-10-25 6.7703
2015-10-26 6.7611
2015-10-27 6.7501
2015-10-28 6.7605
2015-10-29 6.8147
2015-10-30 6.8147
2015-10-31 6.7824
2015-11-01 6.7748
