"Index" "GS.Open" "GS.High" "GS.Low" "GS.Close" "GS.Volume" "GS.Adjusted"
2013-09-12 164.839996 165.309998 163.070007 163.350006 2690000 159.153191
2013-09-13 164.380005 164.720001 162.960007 164 2231500 159.786485
2013-09-16 166.309998 168.570007 165.190002 167.029999 3553100 162.738637
2013-09-17 167.190002 167.580002 165.660004 167.419998 2653700 163.118616
2013-09-18 166.5 169.089996 165.639999 168.059998 3422400 163.742172
2013-09-19 169.690002 170 166.880005 167.779999 3534700 163.469367
2013-09-20 168 169.75 164.029999 169.75 20410100 165.388755
2013-09-23 168.179993 168.460007 164.720001 165.25 4816200 161.00437
2013-09-24 165.520004 166.399994 162.970001 162.970001 3422600 158.782949
2013-09-25 163.259995 163.690002 161.160004 162.309998 3614600 158.139902
2013-09-26 162.899994 163.929993 161.039993 162.289993 2711400 158.120412
2013-09-27 160.690002 160.949997 159.429993 159.850006 3679100 155.743113
2013-09-30 157.720001 159.139999 156.570007 158.210007 2803600 154.145249
2013-10-01 158.860001 160.309998 157.559998 159 2465300 154.914946
2013-10-02 157.690002 159.580002 157.520004 158.669998 2431000 154.593422
2013-10-03 158.630005 159.160004 155.460007 156.850006 2949500 152.82019
2013-10-04 157.080002 157.25 156.089996 156.550003 2984500 152.527895
2013-10-07 155.169998 156.199997 154.220001 154.25 2618000 150.286984
2013-10-08 154.619995 155.850006 153 153.050003 2917200 149.117817
2013-10-09 153.559998 155.320007 152.830002 154.440002 3227500 150.472104
2013-10-10 156.830002 158.240005 156 158.009995 3639000 153.950376
2013-10-11 158.490005 160.490005 157.520004 160 3124900 155.889254
2013-10-14 158.220001 159.919998 157.5 159.460007 2428100 155.363134
2013-10-15 159.809998 160.039993 157.509995 157.630005 3038000 153.580149
2013-10-16 158.580002 162.5 157.5 162.25 3649300 158.081446
2013-10-17 156.479996 159.199997 155.990005 158.320007 7522100 154.252424
2013-10-18 158.839996 159.699997 156.679993 158.690002 4982100 154.612913
2013-10-21 158.669998 160.649994 158.25 159.770004 2695400 155.665167
2013-10-22 160.639999 160.710007 158.229996 159.25 3239400 155.158523
2013-10-23 158.020004 158.080002 156.559998 157.740005 2735800 153.687323
2013-10-24 159.449997 160.350006 158.830002 159.960007 2591000 155.850288
2013-10-25 160 162.240005 159.910004 162.089996 3721000 157.925553
2013-10-28 162 162.190002 160.25 161.449997 3341500 157.301997
2013-10-29 162.070007 163.110001 161.009995 162.110001 3702100 157.945044
2013-10-30 162.559998 162.970001 161.149994 162.050003 2344200 157.886588
2013-10-31 162.089996 163.350006 160.860001 160.860001 2785000 156.727159
2013-11-01 161.029999 162.600006 160.720001 162.050003 2738400 157.886588
2013-11-04 162.419998 163.240005 161.589996 163.160004 1711000 158.96807
2013-11-05 161.669998 162.630005 160.779999 161.949997 2529400 157.789151
