"Index" "USD.BRL"
2015-03-26 3.1984
2015-03-27 3.2002
2015-03-28 3.2462
2015-03-29 3.2462
2015-03-30 3.2502
2015-03-31 3.2211
2015-04-01 3.1819
2015-04-02 3.157
2015-04-03 3.125
2015-04-04 3.1266
2015-04-05 3.1266
2015-04-06 3.1059
2015-04-07 3.126
2015-04-08 3.1086
2015-04-09 3.0498
2015-04-10 3.0674
2015-04-11 3.0768
2015-04-12 3.0834
2015-04-13 3.0892
2015-04-14 3.1064
2015-04-15 3.0649
2015-04-16 3.0266
2015-04-17 3.0326
2015-04-18 3.0406
2015-04-19 3.0406
2015-04-20 3.04
2015-04-21 3.033
2015-04-22 3.026
2015-04-23 3.0033
2015-04-24 2.9717
2015-04-25 2.9518
2015-04-26 2.958
2015-04-27 2.9395
2015-04-28 2.9154
2015-04-29 2.9401
2015-04-30 2.9738
2015-05-01 3.0229
2015-05-02 3.0161
2015-05-03 3.0161
2015-05-04 3.0446
2015-05-05 3.0785
2015-05-06 3.0523
2015-05-07 3.0344
2015-05-08 3.0131
2015-05-09 2.9762
2015-05-10 2.983
2015-05-11 3.0001
2015-05-12 3.0493
2015-05-13 3.0207
2015-05-14 3.0262
2015-05-15 2.9928
2015-05-16 2.9964
2015-05-17 2.9965
2015-05-18 3.0069
2015-05-19 3.0158
2015-05-20 3.0316
2015-05-21 3.0164
2015-05-22 3.0533
2015-05-23 3.094
2015-05-24 3.0922
2015-05-25 3.1043
2015-05-26 3.1143
2015-05-27 3.1559
2015-05-28 3.1525
2015-05-29 3.1677
2015-05-30 3.1783
2015-05-31 3.1795
2015-06-01 3.1822
2015-06-02 3.1599
2015-06-03 3.1308
2015-06-04 3.1392
2015-06-05 3.1482
2015-06-06 3.1432
2015-06-07 3.1432
2015-06-08 3.1338
2015-06-09 3.1091
2015-06-10 3.096
2015-06-11 3.1238
2015-06-12 3.0996
2015-06-13 3.1204
2015-06-14 3.111
2015-06-15 3.1209
2015-06-16 3.1184
2015-06-17 3.0881
2015-06-18 3.0547
2015-06-19 3.0717
2015-06-20 3.0968
2015-06-21 3.0978
2015-06-22 3.0895
2015-06-23 3.0914
2015-06-24 3.0825
2015-06-25 3.1033
2015-06-26 3.1286
2015-06-27 3.13
2015-06-28 3.1307
2015-06-29 3.1495
2015-06-30 3.1142
2015-07-01 3.1161
2015-07-02 3.1357
2015-07-03 3.1123
2015-07-04 3.1342
2015-07-05 3.1342
2015-07-06 3.1493
2015-07-07 3.1573
2015-07-08 3.2007
2015-07-09 3.2295
2015-07-10 3.2076
2015-07-11 3.1606
2015-07-12 3.1606
2015-07-13 3.1595
2015-07-14 3.1337
2015-07-15 3.1422
2015-07-16 3.1407
2015-07-17 3.1665
2015-07-18 3.1887
2015-07-19 3.1889
2015-07-20 3.1975
2015-07-21 3.1898
2015-07-22 3.1915
2015-07-23 3.2471
2015-07-24 3.3057
2015-07-25 3.3567
2015-07-26 3.3565
2015-07-27 3.3578
2015-07-28 3.3711
2015-07-29 3.3508
2015-07-30 3.3439
2015-07-31 3.3849
2015-08-01 3.423
2015-08-02 3.423
2015-08-03 3.4355
2015-08-04 3.4566
2015-08-05 3.4763
2015-08-06 3.5067
2015-08-07 3.5283
2015-08-08 3.5074
2015-08-09 3.5075
2015-08-10 3.4932
2015-08-11 3.4609
2015-08-12 3.4769
2015-08-13 3.4891
2015-08-14 3.5068
2015-08-15 3.4828
2015-08-16 3.4829
2015-08-17 3.4844
2015-08-18 3.4782
2015-08-19 3.4754
2015-08-20 3.4837
2015-08-21 3.4716
2015-08-22 3.5015
2015-08-23 3.5015
2015-08-24 3.5248
2015-08-25 3.5529
2015-08-26 3.6163
2015-08-27 3.5802
2015-08-28 3.5637
2015-08-29 3.5823
2015-08-30 3.5823
2015-08-31 3.6065
2015-09-01 3.6431
2015-09-02 3.7144
2015-09-03 3.7622
2015-09-04 3.769
2015-09-05 3.8434
2015-09-06 3.8433
2015-09-07 3.8411
2015-09-08 3.824
2015-09-09 3.8091
2015-09-10 3.8104
2015-09-11 3.8594
2015-09-12 3.8733
2015-09-13 3.8732
2015-09-14 3.8635
2015-09-15 3.8312
2015-09-16 3.852
2015-09-17 3.8497
2015-09-18 3.9041
2015-09-19 3.9455
2015-09-20 3.944
2015-09-21 3.9579
2015-09-22 4.0078
2015-09-23 4.0741
2015-09-24 4.1597
2015-09-25 4.1597
2015-09-26 3.9726
2015-09-27 3.9726
2015-09-28 4.0009
2015-09-29 4.1
2015-09-30 4.0276
2015-10-01 3.9631
2015-10-02 3.9931
2015-10-03 3.9325
2015-10-04 3.9325
2015-10-05 3.9237
2015-10-06 3.8929
2015-10-07 3.8479
2015-10-08 3.8634
2015-10-09 3.7721
2015-10-10 3.7658
2015-10-11 3.7657
2015-10-12 3.7638
2015-10-13 3.792
2015-10-14 3.8734
2015-10-15 3.8128
2015-10-16 3.8149
2015-10-17 3.9257
2015-10-18 3.9187
2015-10-19 3.9096
2015-10-20 3.8878
2015-10-21 3.9203
2015-10-22 3.9354
2015-10-23 3.9013
2015-10-24 3.8806
2015-10-25 3.8806
2015-10-26 3.8794
2015-10-27 3.9059
2015-10-28 3.8882
2015-10-29 3.8988
2015-10-30 3.8988
2015-10-31 3.8548
2015-11-01 3.8564
