"Index" "NQ.Open" "NQ.High" "NQ.Low" "NQ.Close" "NQ.Volume" "NQ.Adjusted"
2014-12-04 6.54 6.64 6.1 6.17 2781100 6.17
2014-12-05 6.31 6.74 6.21 6.54 1889300 6.54
2014-12-08 6.51 6.55 6.28 6.51 2062100 6.51
2014-12-09 6.33 6.4 6 6.03 2366000 6.03
2014-12-10 5.69 6.6 5.68 5.72 4919000 5.72
2014-12-11 5.8 6.04 5.32 5.44 2671600 5.44
2014-12-12 5.38 5.42 4.8 5.35 4200900 5.35
2014-12-15 5.39 5.72 4.96 5 2292200 5
2014-12-16 4.95 5.07 4.7 4.72 3345000 4.72
2014-12-17 4.75 4.89 4.45 4.86 4489900 4.86
2014-12-18 5.26 5.53 5.01 5.03 4806400 5.03
2014-12-19 4.67 4.83 4 4.09 10818500 4.09
2014-12-22 3.89 4.19 3.45 3.46 9078300 3.46
2014-12-23 3.98 4.77 3.86 4.68 18783300 4.68
2014-12-24 4.54 5.08 4.25 4.32 9472700 4.32
2014-12-26 4.49 4.5 3.95 4.2 8890600 4.2
2014-12-29 4.13 4.29 4.02 4.03 2901100 4.03
2014-12-30 4.03 4.09 3.93 4.01 2259400 4.01
2014-12-31 3.98 4.03 3.83 3.91 3358800 3.91
2015-01-02 3.89 4.28 3.72 4.28 4254300 4.28
2015-01-05 4.11 4.18 3.95 4.13 2122000 4.13
2015-01-06 4.43 4.5 4.25 4.39 4593500 4.39
2015-01-07 4.57 4.73 4.43 4.6 3463700 4.6
2015-01-08 4.59 4.67 4.3 4.39 2635000 4.39
2015-01-09 4.42 4.46 4.16 4.45 2302500 4.45
2015-01-12 4.38 4.44 4.24 4.38 1491400 4.38
2015-01-13 4.3 4.42 4.18 4.22 1627600 4.22
2015-01-14 4.21 4.27 4.09 4.18 1362300 4.18
2015-01-15 4.16 4.18 4.03 4.1 1211200 4.1
2015-01-16 4.12 4.35 4.04 4.09 1570500 4.09
2015-01-20 4.05 4.11 3.85 3.97 1847300 3.97
2015-01-21 3.95 4 3.9 3.95 1137300 3.95
2015-01-22 3.98 3.99 3.8 3.88 1532200 3.88
2015-01-23 3.9 4 3.78 3.88 1142600 3.88
2015-01-26 3.82 3.95 3.82 3.86 462400 3.86
2015-01-27 3.83 3.88 3.75 3.8 723200 3.8
2015-01-28 3.81 3.82 3.56 3.61 1538300 3.61
2015-01-29 3.59 3.62 3.22 3.5 2922300 3.5
2015-01-30 3.5 3.52 3.35 3.43 1161900 3.43
2015-02-02 3.45 3.58 3.31 3.38 1397500 3.38
2015-02-03 3.36 3.57 3.35 3.49 1046600 3.49
2015-02-04 3.5 3.57 3.42 3.48 592300 3.48
2015-02-05 3.53 3.76 3.49 3.71 1146500 3.71
2015-02-06 3.71 3.77 3.51 3.51 934900 3.51
2015-02-09 3.64 3.75 3.58 3.59 884300 3.59
2015-02-10 3.6 3.7 3.53 3.59 396100 3.59
2015-02-11 3.61 3.85 3.58 3.85 1352800 3.85
2015-02-12 3.85 4.09 3.74 3.98 1703600 3.98
2015-02-13 4.01 4.09 3.88 3.95 968600 3.95
2015-02-17 4 4.27 3.95 4.25 1402700 4.25
2015-02-18 4.3 4.31 4.02 4.21 860300 4.21
2015-02-19 4.18 4.27 4.1 4.14 796600 4.14
2015-02-20 4.12 4.18 4.05 4.15 633400 4.15
2015-02-23 4.14 4.21 4.03 4.08 1144800 4.08
2015-02-24 4.05 4.12 3.93 3.94 907900 3.94
2015-02-25 3.93 4.07 3.93 4.01 588100 4.01
2015-02-26 4.13 4.15 3.95 4 479800 4
2015-02-27 4 4.09 3.96 4.07 372500 4.07
2015-03-02 4.1 4.1 3.96 3.99 632700 3.99
2015-03-03 3.99 4.07 3.9 3.92 650100 3.92
2015-03-04 4.02 4.06 3.92 3.92 908700 3.92
2015-03-05 3.92 4.02 3.9 3.95 892400 3.95
2015-03-06 3.99 4 3.9 3.95 701200 3.95
2015-03-09 3.94 3.97 3.7 3.75 921600 3.75
2015-03-10 3.72 3.79 3.6 3.61 738200 3.61
2015-03-11 3.59 3.65 3.42 3.52 1038400 3.52
2015-03-12 3.55 3.74 3.55 3.69 527800 3.69
2015-03-13 3.66 3.77 3.55 3.55 676100 3.55
2015-03-16 3.54 3.96 3.51 3.83 1225600 3.83
2015-03-17 3.83 4.03 3.79 4.03 939600 4.03
2015-03-18 4 4.07 3.82 3.95 1849400 3.95
2015-03-19 4.1 4.17 3.8 3.89 2647400 3.89
2015-03-20 3.91 3.95 3.65 3.74 1731300 3.74
2015-03-23 3.7 3.82 3.63 3.64 1412700 3.64
2015-03-24 3.66 3.87 3.6 3.75 1644300 3.75
2015-03-25 3.75 3.85 3.65 3.67 545700 3.67
2015-03-26 3.65 3.88 3.63 3.85 1275700 3.85
2015-03-27 3.85 4.05 3.8 3.99 1341000 3.99
2015-03-30 3.98 4.04 3.78 3.81 1161100 3.81
2015-03-31 3.76 3.85 3.71 3.73 523300 3.73
2015-04-01 3.73 3.88 3.72 3.83 948400 3.83
2015-04-02 3.83 3.9 3.76 3.83 550400 3.83
2015-04-06 3.8 3.88 3.78 3.82 698200 3.82
2015-04-07 3.81 3.88 3.7 3.72 1062300 3.72
2015-04-08 3.77 4.1 3.74 4 3995500 4
2015-04-09 4.06 4.14 3.93 4.12 2449000 4.12
2015-04-10 4.1 4.19 4.07 4.12 1346800 4.12
2015-04-13 4.1 4.19 4.07 4.14 1090800 4.14
2015-04-14 4.17 4.18 4.04 4.17 814900 4.17
2015-04-15 4.18 4.18 4.1 4.16 548000 4.16
2015-04-16 4.15 4.42 4.12 4.28 3217700 4.28
2015-04-17 4.19 4.3 4.1 4.15 1195500 4.15
2015-04-20 4.15 4.2 4.1 4.14 428500 4.14
2015-04-21 4.18 4.2 4.05 4.12 1203100 4.12
2015-04-22 4.12 4.23 4.07 4.16 1022200 4.16
2015-04-23 4.1 4.19 4.1 4.16 467600 4.16
2015-04-24 4.14 4.31 4.13 4.2 1073300 4.2
2015-04-27 4.22 4.33 4.1 4.12 1703600 4.12
2015-04-28 4.15 4.17 4.1 4.11 540300 4.11
2015-04-29 4.08 4.11 3.9 3.96 1483700 3.96
2015-04-30 3.9 3.94 3.75 3.84 904800 3.84
2015-05-01 3.88 3.89 3.78 3.86 619800 3.86
2015-05-04 3.87 3.87 3.78 3.81 513000 3.81
2015-05-05 3.77 3.84 3.62 3.67 1240500 3.67
2015-05-06 3.65 3.69 3.55 3.56 993900 3.56
2015-05-07 3.54 3.54 3.4 3.44 1498200 3.44
