"Index" "ETR.Open" "ETR.High" "ETR.Low" "ETR.Close" "ETR.Volume" "ETR.Adjusted"
2014-05-20 73.150002 73.760002 73.07 73.489998 1454800 68.660501
2014-05-21 73.510002 73.660004 73 73.650002 1607600 68.80999
2014-05-22 73.459999 74.349998 73.419998 74.040001 1605800 69.17436
2014-05-23 74.019997 74.260002 73.849998 74.059998 981600 69.193042
2014-05-27 74.470001 74.610001 73.82 74.110001 1379900 69.239759
2014-05-28 74.18 74.68 73.849998 74.620003 1204000 69.716246
2014-05-29 74.510002 75.550003 74.379997 75.529999 1868300 70.56644
2014-05-30 75.400002 75.690002 74.980003 75.419998 2237000 70.463668
2014-06-02 75.559998 76.040001 75.459999 75.769997 1762500 70.790666
2014-06-03 75.75 76.269997 75.419998 76.220001 2033800 71.211098
2014-06-04 76.129997 76.650002 75.889999 76.610001 1290800 71.575468
2014-06-05 78.419998 78.800003 77.760002 78.610001 2560700 73.444035
2014-06-06 79.110001 79.129997 78.32 78.410004 1728900 73.257182
2014-06-09 78.139999 78.800003 78.059998 78.690002 1403400 73.51878
2014-06-10 78.650002 78.809998 77.830002 78.279999 1399200 73.13572
2014-06-11 78.279999 78.43 77.25 77.419998 1715500 72.332236
2014-06-12 77.379997 77.959999 76.599998 77.849998 1607400 72.733978
2014-06-13 77.769997 78.260002 77.139999 78.199997 1030100 73.060976
2014-06-16 78.199997 79.269997 78.099998 79.010002 1972700 73.81775
2014-06-17 78.440002 78.809998 77.779999 78.519997 1117100 73.359946
2014-06-18 78.519997 80.209999 78.43 80.169998 1507400 74.901516
2014-06-19 80.199997 80.940002 80.110001 80.790001 1650300 75.480774
2014-06-20 81 81.529999 80.699997 80.830002 2163500 75.518146
2014-06-23 80.730003 80.82 79.790001 80.540001 1572500 75.247203
2014-06-24 80.470001 80.910004 80.389999 80.449997 1702400 75.163114
2014-06-25 80.510002 81.230003 80.400002 81.169998 1090800 75.835799
2014-06-26 81.150002 81.330002 80.660004 80.860001 1136200 75.546174
2014-06-27 80.57 81.300003 80.300003 81.18 1460400 75.845144
2014-06-30 81.32 82.300003 81.150002 82.089996 1266100 76.695338
2014-07-01 81.879997 82.480003 81.209999 81.300003 1412800 75.957261
2014-07-02 81.220001 81.300003 78.080002 78.660004 3073000 73.490753
2014-07-03 78.209999 78.400002 76.970001 76.970001 2087400 71.911811
2014-07-07 77.190002 78.529999 77.190002 78.400002 2244300 73.247837
2014-07-08 78.470001 79.169998 78.269997 78.470001 1781600 73.313236
2014-07-09 78.470001 78.900002 77.370003 77.970001 1651700 72.846095
2014-07-10 77.5 78.830002 77.43 78.699997 1617800 73.528118
2014-07-11 78.660004 78.940002 77.870003 78.019997 1077400 72.892804
2014-07-14 78.400002 78.440002 77.18 77.199997 1332200 72.126692
2014-07-15 77.410004 77.629997 77 77.529999 1622400 72.435007
2014-07-16 77.620003 78.010002 77.110001 77.949997 1638700 72.827405
2014-07-17 77.150002 77.610001 76.190002 76.269997 1758900 71.257808
2014-07-18 77 77.269997 75.949997 77.220001 1544100 72.145382
2014-07-21 77.050003 77.470001 76.709999 77.349998 1506000 72.266836
2014-07-22 77.510002 77.849998 75.970001 76 2177800 71.005555
2014-07-23 76.120003 76.269997 75.57 75.639999 2310500 70.669212
2014-07-24 75.459999 76.43 75.459999 76.349998 2139200 71.332553
2014-07-25 76.389999 76.779999 75.360001 75.480003 1449900 70.51973
