"Index" "USD.TND"
2014-09-10 1.7633
2014-09-11 1.7652
2014-09-12 1.7662
2014-09-13 1.7597
2014-09-14 1.7597
2014-09-15 1.7693
2014-09-16 1.7686
2014-09-17 1.7691
2014-09-18 1.7761
2014-09-19 1.7764
2014-09-20 1.7826
2014-09-21 1.7826
2014-09-22 1.7808
2014-09-23 1.7794
2014-09-24 1.7828
2014-09-25 1.7901
2014-09-26 1.7924
2014-09-27 1.7966
2014-09-28 1.7966
2014-09-29 1.7954
2014-09-30 1.7994
2014-10-01 1.8039
2014-10-02 1.8021
2014-10-03 1.8082
2014-10-04 1.8184
2014-10-05 1.8184
2014-10-06 1.8086
2014-10-07 1.8008
2014-10-08 1.7975
2014-10-09 1.7928
2014-10-10 1.8018
2014-10-11 1.8073
2014-10-12 1.8073
2014-10-13 1.8012
2014-10-14 1.8014
2014-10-15 1.8014
2014-10-16 1.7903
2014-10-17 1.7916
2014-10-18 1.7961
2014-10-19 1.7961
2014-10-20 1.7939
2014-10-21 1.7936
2014-10-22 1.8018
2014-10-23 1.8072
2014-10-24 1.8069
2014-10-25 1.8093
2014-10-26 1.8045
2014-10-27 1.8026
2014-10-28 1.8017
2014-10-29 1.8006
2014-10-30 1.813
2014-10-31 1.8212
2014-11-01 1.8262
2014-11-02 1.821
2014-11-03 1.8243
2014-11-04 1.8214
2014-11-05 1.8235
2014-11-06 1.8294
2014-11-07 1.8376
2014-11-08 1.8348
2014-11-09 1.8348
2014-11-10 1.8343
2014-11-11 1.8374
2014-11-12 1.8348
2014-11-13 1.8359
2014-11-14 1.8349
2014-11-15 1.8285
2014-11-16 1.8285
2014-11-17 1.8334
2014-11-18 1.8326
2014-11-19 1.8286
2014-11-20 1.8291
2014-11-21 1.8357
2014-11-22 1.8357
2014-11-23 1.8408
2014-11-24 1.8424
2014-11-25 1.841
2014-11-26 1.8375
2014-11-27 1.8386
2014-11-28 1.8423
2014-11-29 1.8423
2014-11-30 1.8409
2014-12-01 1.8411
2014-12-02 1.8451
2014-12-03 1.8541
2014-12-04 1.8555
2014-12-05 1.8559
2014-12-06 1.8592
2014-12-07 1.861
2014-12-08 1.8629
2014-12-09 1.8572
2014-12-10 1.8556
2014-12-11 1.8519
2014-12-12 1.8512
2014-12-13 1.8512
2014-12-14 1.8475
2014-12-15 1.8502
2014-12-16 1.8437
2014-12-17 1.8463
2014-12-18 1.8609
2014-12-19 1.8652
2014-12-20 1.8605
2014-12-21 1.8605
2014-12-22 1.8655
2014-12-23 1.8683
2014-12-24 1.8666
2014-12-25 1.866
2014-12-26 1.864
2014-12-27 1.8643
2014-12-28 1.8643
2014-12-29 1.862
2014-12-30 1.8633
2014-12-31 1.8631
2015-01-01 1.8592
2015-01-02 1.8733
2015-01-03 1.8769
2015-01-04 1.8728
2015-01-05 1.8817
2015-01-06 1.8817
2015-01-07 1.8885
2015-01-08 1.8932
2015-01-09 1.8935
2015-01-10 1.8878
2015-01-11 1.8955
2015-01-12 1.8915
2015-01-13 1.8919
2015-01-14 1.8919
2015-01-15 1.9149
2015-01-16 1.914
2015-01-17 1.9184
2015-01-18 1.9184
2015-01-19 1.9139
2015-01-20 1.9119
2015-01-21 1.9173
2015-01-22 1.9212
2015-01-23 1.9484
2015-01-24 1.9495
2015-01-25 1.9495
2015-01-26 1.9432
2015-01-27 1.9335
2015-01-28 1.9318
2015-01-29 1.9357
2015-01-30 1.933
2015-01-31 1.9332
2015-02-01 1.9332
2015-02-02 1.9346
2015-02-03 1.928
2015-02-04 1.9195
2015-02-05 1.9257
2015-02-06 1.9208
2015-02-07 1.9334
2015-02-08 1.9334
2015-02-09 1.933
2015-02-10 1.9339
2015-02-11 1.9348
2015-02-12 1.9241
2015-02-13 1.9208
2015-02-14 1.9213
2015-02-15 1.9205
2015-02-16 1.9242
2015-02-17 1.9262
2015-02-18 1.9255
2015-02-19 1.925
2015-02-20 1.9348
2015-02-21 1.9266
2015-02-22 1.938
2015-02-23 1.9356
2015-02-24 1.9353
2015-02-25 1.9337
2015-02-26 1.939
2015-02-27 1.9488
2015-02-28 1.9497
2015-03-01 1.9497
2015-03-02 1.9482
2015-03-03 1.9507
2015-03-04 1.9572
2015-03-05 1.9619
2015-03-06 1.9715
2015-03-07 1.9837
2015-03-08 1.9837
2015-03-09 1.9777
2015-03-10 1.9871
2015-03-11 1.9992
2015-03-12 1.9986
2015-03-13 1.9892
2015-03-14 1.9874
2015-03-15 1.9874
2015-03-16 1.9684
2015-03-17 1.9609
2015-03-18 1.9575
2015-03-19 1.9559
2015-03-20 1.9583
2015-03-21 1.9401
2015-03-22 1.942
2015-03-23 1.9399
2015-03-24 1.9361
2015-03-25 1.9365
2015-03-26 1.9379
2015-03-27 1.9472
2015-03-28 1.9428
2015-03-29 1.9428
2015-03-30 1.9498
2015-03-31 1.9562
2015-04-01 1.9587
2015-04-02 1.9535
2015-04-03 1.9434
2015-04-04 1.9442
2015-04-05 1.9442
2015-04-06 1.9333
2015-04-07 1.947
2015-04-08 1.9522
2015-04-09 1.9636
2015-04-10 1.9736
2015-04-11 1.9795
2015-04-12 1.9795
2015-04-13 1.9834
2015-04-14 1.9802
2015-04-15 1.9767
2015-04-16 1.9673
2015-04-17 1.9589
2015-04-18 1.956
2015-04-19 1.9484
2015-04-20 1.9593
2015-04-21 1.9635
2015-04-22 1.9607
2015-04-23 1.9588
2015-04-24 1.9478
2015-04-25 1.9418
2015-04-26 1.9418
2015-04-27 1.9477
2015-04-28 1.9408
2015-04-29 1.9289
2015-04-30 1.916
2015-05-01 1.909
2015-05-02 1.9099
2015-05-03 1.9099
2015-05-04 1.9185
2015-05-05 1.9217
2015-05-06 1.9086
2015-05-07 1.9035
2015-05-08 1.9196
2015-05-09 1.918
2015-05-10 1.918
2015-05-11 1.9275
2015-05-12 1.9246
2015-05-13 1.9209
2015-05-14 1.9121
2015-05-15 1.9127
2015-05-16 1.9175
2015-05-17 1.9175
2015-05-18 1.9163
2015-05-19 1.9325
2015-05-20 1.9456
2015-05-21 1.9451
2015-05-22 1.9463
2015-05-23 1.952
2015-05-24 1.952
2015-05-25 1.9605
2015-05-26 1.9685
2015-05-27 1.9731
2015-05-28 1.9694
2015-05-29 1.9638
2015-05-30 1.958
2015-05-31 1.958
2015-06-01 1.9695
2015-06-02 1.9584
2015-06-03 1.9389
2015-06-04 1.9277
2015-06-05 1.9393
2015-06-06 1.9475
2015-06-07 1.9459
2015-06-08 1.9416
2015-06-09 1.9334
2015-06-10 1.931
2015-06-11 1.9354
2015-06-12 1.9399
2015-06-13 1.9358
2015-06-14 1.9345
2015-06-15 1.9398
2015-06-16 1.9379
2015-06-17 1.9375
2015-06-18 1.9245
2015-06-19 1.9279
2015-06-20 1.9272
2015-06-21 1.9308
2015-06-22 1.9261
2015-06-23 1.9389
