"Index" "IN.Open" "IN.High" "IN.Low" "IN.Close" "IN.Volume" "IN.Adjusted"
2014-08-04 0.39 0.39 0.39 0.39 0 0.39
2014-08-05 0.395 0.395 0.355 0.37 370500 0.37
2014-08-06 0.36 0.375 0.345 0.36 366500 0.36
2014-08-07 0.355 0.355 0.31 0.33 560400 0.33
2014-08-08 0.34 0.345 0.315 0.345 260400 0.345
2014-08-11 0.35 0.35 0.31 0.31 316500 0.31
2014-08-12 0.31 0.325 0.31 0.32 45000 0.32
2014-08-13 0.315 0.99 0.295 0.3 437800 0.3
2014-08-14 0.305 0.325 0.22 0.31 236000 0.31
2014-08-15 0.32 0.345 0.32 0.325 268800 0.325
2014-08-18 0.34 0.5 0.28 0.33 472000 0.33
2014-08-19 0.325 0.33 0.225 0.325 152700 0.325
2014-08-20 0.33 0.345 0.2 0.325 256900 0.325
2014-08-21 0.32 0.32 0.305 0.32 65400 0.32
2014-08-22 0.2 0.32 0.2 0.3 245800 0.3
2014-08-25 0.3 0.325 0.3 0.3 333700 0.3
2014-08-26 0.305 0.42 0.3 0.32 306600 0.32
2014-08-27 0.315 0.34 0.31 0.32 124300 0.32
2014-08-28 0.32 0.32 0.29 0.3 250900 0.3
2014-08-29 0.31 0.325 0.3 0.315 264600 0.315
2014-09-01 0.315 0.315 0.315 0.315 0 0.315
2014-09-02 0.31 0.39 0.29 0.3 288700 0.3
2014-09-03 0.31 0.33 0.045 0.3 202200 0.3
2014-09-04 0.3 0.31 0.2 0.3 233800 0.3
2014-09-05 0.3 0.33 0.27 0.3 282500 0.3
2014-09-08 0.29 0.31 0.285 0.295 132300 0.295
2014-09-09 0.295 0.3 0.28 0.28 203500 0.28
2014-09-10 0.28 0.28 0.2 0.27 262800 0.27
2014-09-11 0.15 0.29 0.1 0.27 262000 0.27
2014-09-12 0.275 0.3 0.2 0.275 313300 0.275
2014-09-15 0.275 0.275 0.25 0.26 199500 0.26
2014-09-16 0.1 0.275 0.1 0.26 65800 0.26
2014-09-17 0.26 0.33 0.245 0.25 369100 0.25
2014-09-18 0.25 0.35 0.24 0.25 86800 0.25
2014-09-19 0.25 0.27 0.245 0.245 54800 0.245
2014-09-22 0.3 0.3 0.2 0.2 604500 0.2
2014-09-23 0.2 0.225 0.195 0.2 189700 0.2
2014-09-24 0.2 0.215 0.1 0.2 623000 0.2
2014-09-25 0.2 0.205 0.005 0.2 400100 0.2
2014-09-26 0.2 0.22 0.195 0.22 341500 0.22
2014-09-29 0.205 0.23 0.1 0.23 208600 0.23
2014-09-30 0.23 0.24 0.22 0.235 318900 0.235
2014-10-01 0.23 0.25 0.22 0.245 311500 0.245
2014-10-02 0.245 0.245 0.23 0.24 144600 0.24
2014-10-03 0.24 0.24 0.23 0.24 210000 0.24
2014-10-06 0.23 0.24 0.1 0.22 89000 0.22
2014-10-07 0.22 0.22 0.005 0.21 228500 0.21
2014-10-08 0.205 0.25 0.085 0.205 525900 0.205
2014-10-09 0.2 0.245 0.19 0.22 104000 0.22
2014-10-10 0.22 0.225 0.2 0.215 54300 0.215
2014-10-13 0.215 0.215 0.215 0.215 0 0.215
2014-10-14 0.22 0.23 0.215 0.22 257500 0.22
2014-10-15 0.22 0.22 0.205 0.21 24500 0.21
2014-10-16 0.2 0.205 0.195 0.2 136000 0.2
2014-10-17 0.2 0.225 0.195 0.22 424000 0.22
2014-10-20 0.21 0.28 0.185 0.2 429900 0.2
2014-10-21 0.2 0.2 0.2 0.2 0 0.2
2014-10-22 0.2 0.2 0.2 0.2 0 0.2
2014-10-23 0.2 0.2 0.2 0.2 0 0.2
2014-10-24 0.2 0.2 0.2 0.2 0 0.2
2014-10-27 0.2 0.235 0.17 0.18 444000 0.18
2014-10-28 0.18 0.19 0.18 0.19 50000 0.19
2014-10-29 0.18 0.205 0.18 0.2 710500 0.2
2014-10-30 0.195 0.2 0.18 0.2 79000 0.2
2014-10-31 0.05 0.19 0.05 0.19 156500 0.19
2014-11-03 0.05 0.19 0.05 0.18 269500 0.18
2014-11-04 0.185 0.24 0.11 0.18 110900 0.18
2014-11-05 0.17 0.2 0.165 0.19 229500 0.19
2014-11-06 0.18 0.19 0.175 0.18 73400 0.18
2014-11-07 0.11 0.21 0.11 0.2 454300 0.2
2014-11-10 0.2 0.21 0.19 0.19 59400 0.19
2014-11-11 0.19 0.2 0.165 0.18 176200 0.18
2014-11-12 0.18 0.185 0.17 0.18 142000 0.18
2014-11-13 0.175 0.185 0.175 0.18 99000 0.18
2014-11-14 0.18 0.185 0.165 0.185 9500 0.185
2014-11-17 0.18 0.185 0.16 0.175 638200 0.175
2014-11-18 0.16 0.19 0.155 0.17 388000 0.17
2014-11-19 0.17 0.17 0.15 0.16 237300 0.16
2014-11-20 0.155 0.17 0.155 0.16 91500 0.16
2014-11-21 0.16 0.165 0.145 0.165 303500 0.165
2014-11-24 0.165 0.165 0.14 0.16 81000 0.16
2014-11-25 0.16 0.245 0.15 0.165 96800 0.165
2014-11-26 0.165 0.185 0.14 0.185 836500 0.185
2014-11-27 0.185 0.19 0.17 0.17 309500 0.17
2014-11-28 0.16 0.17 0.145 0.165 226800 0.165
2014-12-01 0.17 0.18 0.135 0.18 103700 0.18
2014-12-02 0.19 0.195 0.135 0.17 1045700 0.17
2014-12-03 0.16 0.175 0.155 0.175 145000 0.175
2014-12-04 0.135 0.17 0.135 0.155 275500 0.155
2014-12-05 0.16 0.19 0.15 0.16 94500 0.16
2014-12-08 0.15 0.165 0.08 0.16 252200 0.16
2014-12-09 0.15 0.155 0.145 0.145 70000 0.145
2014-12-10 0.14 0.145 0.135 0.14 79500 0.14
2014-12-11 0.14 0.145 0.12 0.135 266000 0.135
2014-12-12 0.13 0.14 0.11 0.14 265200 0.14
2014-12-15 0.13 0.145 0.065 0.125 397200 0.125
