"Index" "CB.Open" "CB.High" "CB.Low" "CB.Close" "CB.Volume" "CB.Adjusted"
2014-11-19 102.07 102.360001 101.360001 102.18 679300 100.030496
2014-11-20 101.669998 102.790001 101.580002 102.610001 832200 100.451451
2014-11-21 103.209999 103.550003 102.239998 102.440002 1464900 100.285029
2014-11-24 102.730003 103 102.410004 102.760002 651200 100.598297
2014-11-25 102.739998 102.900002 102.050003 102.389999 1142700 100.236078
2014-11-26 102.440002 102.650002 102.199997 102.550003 745200 100.392715
2014-11-28 102.769997 103.779999 102.769997 103.050003 489200 100.882197
2014-12-01 102.879997 103.779999 102.669998 103.160004 701600 100.989884
2014-12-02 102.199997 103.540001 102.199997 103.379997 986000 101.20525
2014-12-03 103.32 103.690002 103.089996 103.43 888900 101.254201
2014-12-04 103.510002 103.870003 103.209999 103.610001 711500 101.430414
2014-12-05 103.68 104.269997 103.410004 103.75 784800 101.567469
2014-12-08 103.889999 105.279999 103.669998 105 1136100 102.791173
2014-12-09 103.849998 104.629997 103.760002 104.099998 1167300 101.910104
2014-12-10 103.690002 104.5 102.720001 102.82 1107700 100.657032
2014-12-11 103.18 104.269997 102.900002 103.300003 977200 101.126938
2014-12-12 102.57 103.540001 101.75 101.839996 833800 99.697645
2014-12-15 102.440002 102.959999 100.699997 101.730003 1216600 99.589966
2014-12-16 101.470001 103.019997 101.019997 101.419998 1076100 99.286482
2014-12-17 101.419998 102.779999 100.75 102.519997 1271600 100.860584
2014-12-18 103.080002 103.370003 102.43 103.370003 1512100 101.696831
2014-12-19 103.260002 104.220001 103.220001 103.620003 2004400 101.942785
2014-12-22 103.650002 104.43 103.120003 103.309998 1887300 101.637797
2014-12-23 103.760002 104.809998 103.540001 104.440002 1052000 102.749512
2014-12-24 104.690002 104.809998 104.019997 104.370003 531100 102.680645
2014-12-26 104.760002 104.900002 104.379997 104.43 387100 102.739672
2014-12-29 104.050003 105.300003 104.010002 104.559998 478100 102.867565
2014-12-30 104.580002 104.839996 104.160004 104.309998 586900 102.621611
2014-12-31 104.669998 105.279999 103.449997 103.470001 710500 101.795211
2015-01-02 103.959999 104.290001 102.419998 102.910004 640800 101.244278
2015-01-05 101.970001 102.68 101.449997 101.599998 1088300 99.955477
2015-01-06 102.010002 102.339996 100.410004 100.580002 1241700 98.95199
2015-01-07 101.370003 102.389999 100.970001 101.93 957600 100.280137
2015-01-08 102.239998 103.809998 102.239998 103.540001 1055100 101.864078
2015-01-09 103.550003 103.900002 102.470001 102.809998 825600 101.145891
2015-01-12 103.220001 103.220001 101.529999 101.790001 540000 100.142404
2015-01-13 102.25 103.989998 101.669998 102.239998 909100 100.585117
2015-01-14 100.989998 102.040001 100.339996 101.199997 907300 99.56195
2015-01-15 101.440002 102.050003 100.839996 101.220001 743200 99.58163
2015-01-16 101.019997 103.419998 101.019997 103.339996 949100 101.667311
2015-01-20 102.629997 103.940002 101.309998 102.440002 1223800 100.781884
2015-01-21 101.970001 102.720001 101.290001 102 1027800 100.349004
2015-01-22 103.099998 104.269997 102.160004 104.190002 1311500 102.503558
2015-01-23 104.349998 104.400002 103.650002 103.690002 783900 102.011651
2015-01-26 103.370003 103.889999 103.010002 103.290001 755900 101.618124
2015-01-27 102.790001 103.150002 102.239998 102.57 604800 100.909777
2015-01-28 102.970001 103.400002 101.559998 101.589996 1092500 99.945637
2015-01-29 101.540001 102.68 100.790001 102.519997 1146100 100.860584
2015-01-30 100.309998 101.18 97.800003 97.900002 2861500 96.315369
2015-02-02 97.029999 98.690002 96.889999 98.5 2763100 96.905656
2015-02-03 98.830002 99.489998 98.129997 99.169998 2618000 97.564809
2015-02-04 99.099998 100.389999 98.910004 99.910004 1669200 98.292837
