"Index" "XPD.USD"
2014-07-15 868.584
2014-07-16 874.37
2014-07-17 885.751
2014-07-18 885.751
2014-07-19 885.751
2014-07-20 882.5
2014-07-21 874.922
2014-07-22 872.5
2014-07-23 870.695
2014-07-24 870.981
2014-07-25 881.325
2014-07-26 881.325
2014-07-27 879
2014-07-28 880.676
2014-07-29 881.835
2014-07-30 880.749
2014-07-31 872.506
2014-08-01 872.506
2014-08-02 872.506
2014-08-03 863.443
2014-08-04 856.267
2014-08-05 847.5
2014-08-06 849.759
2014-08-07 855.266
2014-08-08 855.266
2014-08-09 855.266
2014-08-10 857
2014-08-11 875.414
2014-08-12 878.129
2014-08-13 881.285
2014-08-14 886.284
2014-08-15 894.005
2014-08-16 894.005
2014-08-17 894.213
2014-08-18 893.553
2014-08-19 880.855
2014-08-20 867.223
2014-08-21 880.5
2014-08-22 888.41
2014-08-23 888.41
2014-08-24 888.275
2014-08-25 887.684
2014-08-26 886.561
2014-08-27 886.561
2014-08-28 886.561
2014-08-29 886.561
2014-08-30 886.561
2014-08-31 907.561
2014-09-01 908.5
2014-09-02 883.19
2014-09-03 883.19
2014-09-04 883.19
2014-09-05 889.87
2014-09-06 889.87
2014-09-07 890.502
2014-09-08 885.102
2014-09-09 862
2014-09-10 862
2014-09-11 833
2014-09-12 836.97
2014-09-13 836.97
2014-09-14 836.852
2014-09-15 836.77
2014-09-16 842
2014-09-17 842
2014-09-18 842
2014-09-19 842
2014-09-20 842
2014-09-21 815
2014-09-22 803.124
2014-09-23 815.66
2014-09-24 815.405
2014-09-25 815.405
2014-09-26 780.285
2014-09-27 780.285
2014-09-28 782.657
2014-09-29 788
2014-09-30 771.789
2014-10-01 782.601
2014-10-02 782.601
2014-10-03 782.601
2014-10-04 782.601
2014-10-05 742.33
2014-10-06 742.33
2014-10-07 742.33
2014-10-08 742.33
2014-10-09 742.33
2014-10-10 742.33
2014-10-11 742.33
2014-10-12 788.5
2014-10-13 788.5
2014-10-14 788.5
2014-10-15 788.5
2014-10-16 788.5
2014-10-17 788.5
2014-10-18 788.5
2014-10-19 755.5
2014-10-20 760.562
2014-10-21 760.562
2014-10-22 760.562
