"Index" "N3L.Open" "N3L.High" "N3L.Low" "N3L.Close" "N3L.Volume" "N3L.Adjusted"
2014-02-17 0.295 0.295 0.295 0.295 0 0.295
2014-02-18 0.297 0.297 0.297 0.297 0 0.297
2014-02-19 0.29 0.29 0.29 0.29 0 0.29
2014-02-20 0.29 0.29 0.29 0.29 0 0.29
2014-02-21 0.29 0.29 0.29 0.29 0 0.29
2014-02-24 0.284 0.284 0.284 0.284 0 0.284
2014-02-25 0.283 0.283 0.283 0.283 0 0.283
2014-02-26 0.284 0.284 0.284 0.284 0 0.284
2014-02-27 0.285 0.285 0.285 0.285 0 0.285
2014-02-28 0.285 0.285 0.285 0.285 0 0.285
2014-03-03 0.287 0.287 0.287 0.287 0 0.287
2014-03-04 0.283 0.283 0.283 0.283 0 0.283
2014-03-05 0.284 0.284 0.284 0.284 0 0.284
2014-03-06 0.285 0.285 0.285 0.285 0 0.285
2014-03-07 0.282 0.282 0.282 0.282 0 0.282
2014-03-10 0.282 0.282 0.282 0.282 0 0.282
2014-03-11 0.281 0.281 0.281 0.281 0 0.281
2014-03-12 0.281 0.281 0.281 0.281 0 0.281
2014-03-13 0.28 0.28 0.28 0.28 0 0.28
2014-03-14 0.269 0.269 0.269 0.269 0 0.269
2014-03-17 0.268 0.268 0.268 0.268 0 0.268
2014-03-18 0.274 0.274 0.274 0.274 0 0.274
2014-03-19 0.267 0.267 0.267 0.267 0 0.267
2014-03-20 0.274 0.274 0.274 0.274 0 0.274
2014-03-21 0.28 0.28 0.28 0.28 0 0.28
2014-03-24 0.289 0.289 0.289 0.289 0 0.289
2014-03-25 0.282 0.282 0.282 0.282 0 0.282
2014-03-26 0.283 0.283 0.283 0.283 0 0.283
2014-03-27 0.281 0.281 0.281 0.281 0 0.281
2014-03-28 0.277 0.277 0.277 0.277 0 0.277
2014-03-31 0.277 0.277 0.277 0.277 0 0.277
2014-04-01 0.277 0.277 0.277 0.277 0 0.277
2014-04-02 0.276 0.276 0.276 0.276 0 0.276
2014-04-03 0.277 0.277 0.277 0.277 0 0.277
2014-04-04 0.277 0.277 0.277 0.277 0 0.277
2014-04-07 0.277 0.277 0.277 0.277 0 0.277
2014-04-08 0.277 0.277 0.277 0.277 0 0.277
2014-04-09 0.278 0.278 0.278 0.278 0 0.278
2014-04-10 0.278 0.278 0.278 0.278 0 0.278
2014-04-11 0.277 0.277 0.277 0.277 0 0.277
2014-04-14 0.277 0.277 0.277 0.277 0 0.277
2014-04-15 0.277 0.277 0.277 0.277 0 0.277
2014-04-16 0.277 0.277 0.277 0.277 0 0.277
2014-04-17 0.279 0.279 0.279 0.279 0 0.279
2014-04-18 0.279 0.279 0.279 0.279 0 0.279
2014-04-21 0.279 0.279 0.279 0.279 0 0.279
2014-04-22 0.279 0.279 0.279 0.279 0 0.279
2014-04-23 0.279 0.279 0.279 0.279 0 0.279
2014-04-24 0.278 0.278 0.278 0.278 0 0.278
2014-04-25 0.278 0.278 0.278 0.278 0 0.278
2014-04-28 0.278 0.278 0.278 0.278 0 0.278
2014-04-29 0.278 0.278 0.278 0.278 0 0.278
2014-04-30 0.279 0.279 0.279 0.279 0 0.279
2014-05-01 0.279 0.279 0.279 0.279 0 0.279
2014-05-02 0.279 0.279 0.279 0.279 0 0.279
2014-05-05 0.279 0.279 0.279 0.279 0 0.279
2014-05-06 0.279 0.279 0.279 0.279 0 0.279
2014-05-07 0.282 0.282 0.282 0.282 0 0.282
2014-05-08 0.279 0.279 0.279 0.279 0 0.279
2014-05-09 0.28 0.28 0.28 0.28 0 0.28
2014-05-12 0.272 0.272 0.272 0.272 0 0.272
2014-05-13 0.275 0.275 0.275 0.275 0 0.275
2014-05-14 0.275 0.275 0.275 0.275 0 0.275
2014-05-15 0.277 0.277 0.277 0.277 0 0.277
2014-05-16 0.277 0.277 0.277 0.277 0 0.277
2014-05-19 0.278 0.278 0.278 0.278 0 0.278
2014-05-20 0.275 0.275 0.275 0.275 0 0.275
2014-05-21 0.273 0.273 0.273 0.273 0 0.273
2014-05-22 0.286 0.286 0.286 0.286 0 0.286
2014-05-23 0.283 0.283 0.283 0.283 0 0.283
2014-05-26 0.283 0.283 0.283 0.283 0 0.283
2014-05-27 0.283 0.283 0.283 0.283 0 0.283
2014-05-28 0.282 0.282 0.282 0.282 0 0.282
2014-05-29 0.281 0.281 0.281 0.281 0 0.281
2014-05-30 0.282 0.282 0.282 0.282 0 0.282
2014-06-02 0.278 0.278 0.278 0.278 0 0.278
2014-06-03 0.279 0.279 0.279 0.279 0 0.279
2014-06-04 0.278 0.278 0.278 0.278 0 0.278
2014-06-05 0.278 0.278 0.278 0.278 0 0.278
2014-06-06 0.282 0.282 0.282 0.282 0 0.282
2014-06-09 0.279 0.279 0.279 0.279 0 0.279
2014-06-10 0.277 0.277 0.277 0.277 0 0.277
2014-06-11 0.274 0.274 0.274 0.274 0 0.274
2014-06-12 0.275 0.275 0.275 0.275 0 0.275
2014-06-13 0.277 0.277 0.277 0.277 0 0.277
2014-06-16 0.278 0.278 0.278 0.278 0 0.278
2014-06-17 0.28 0.28 0.28 0.28 0 0.28
2014-06-18 0.281 0.281 0.281 0.281 0 0.281
2014-06-19 0.28 0.28 0.28 0.28 0 0.28
2014-06-20 0.278 0.278 0.278 0.278 0 0.278
2014-06-23 0.281 0.281 0.281 0.281 0 0.281
2014-06-24 0.281 0.281 0.281 0.281 0 0.281
2014-06-25 0.273 0.273 0.273 0.273 0 0.273
2014-06-26 0.273 0.273 0.273 0.273 0 0.273
2014-06-27 0.28 0.28 0.28 0.28 0 0.28
2014-06-30 0.274 0.274 0.274 0.274 0 0.274
2014-07-01 0.28 0.28 0.28 0.28 0 0.28
2014-07-02 0.293 0.293 0.293 0.293 0 0.293
2014-07-03 0.288 0.288 0.288 0.288 0 0.288
2014-07-04 0.29 0.29 0.29 0.29 0 0.29
2014-07-07 0.289 0.289 0.289 0.289 0 0.289
2014-07-08 0.288 0.288 0.288 0.288 0 0.288
2014-07-09 0.288 0.288 0.288 0.288 0 0.288
2014-07-10 0.282 0.282 0.282 0.282 0 0.282
2014-07-11 0.282 0.282 0.282 0.282 0 0.282
2014-07-14 0.282 0.282 0.282 0.282 0 0.282
2014-07-15 0.281 0.281 0.281 0.281 0 0.281
2014-07-16 0.283 0.283 0.283 0.283 0 0.283
2014-07-17 0.278 0.278 0.278 0.278 0 0.278
2014-07-18 0.277 0.277 0.277 0.277 0 0.277
2014-07-21 0.271 0.271 0.271 0.271 0 0.271
2014-07-22 0.271 0.271 0.271 0.271 0 0.271
2014-07-23 0.272 0.272 0.272 0.272 0 0.272
