"Index" "AR.Open" "AR.High" "AR.Low" "AR.Close" "AR.Volume" "AR.Adjusted"
2014-04-25 63.52 63.709999 62.23 62.720001 673500 62.720001
2014-04-28 62.939999 64.470001 62.549999 64.269997 634400 64.269997
2014-04-29 64.360001 67.120003 64.099998 66.5 936600 66.5
2014-04-30 66.339996 67 64.839996 65.669998 672700 65.669998
2014-05-01 65.669998 66.040001 64.669998 65.860001 643200 65.860001
2014-05-02 65.760002 67.510002 65.5 65.650002 532900 65.650002
2014-05-05 65.370003 67.220001 64.440002 66.959999 489600 66.959999
2014-05-06 67.169998 67.919998 65.910004 66.43 972900 66.43
2014-05-07 66.43 67.349998 65.330002 66.580002 904000 66.580002
2014-05-08 65.419998 66 62.080002 62.93 1866700 62.93
2014-05-09 62.950001 65.82 62.709999 64.139999 884100 64.139999
2014-05-12 64.660004 64.720001 62.549999 63.790001 862900 63.790001
2014-05-13 61.5 63.25 61.299999 63.139999 1998200 63.139999
2014-05-14 62.029999 62.700001 61.950001 62.009998 10020200 62.009998
2014-05-15 61.889999 62.759998 61.27 62.209999 2223600 62.209999
2014-05-16 62.830002 62.860001 61.610001 62.169998 808000 62.169998
2014-05-19 62.169998 62.889999 62.02 62.630001 787600 62.630001
2014-05-20 62.919998 63.099998 61.98 62.439999 956700 62.439999
2014-05-21 62.75 63.099998 62.279999 62.470001 867100 62.470001
2014-05-22 62.16 62.369999 60.43 60.990002 1429200 60.990002
2014-05-23 60.98 61.34 60 60.57 1015400 60.57
2014-05-27 60.919998 62.049999 60.639999 62.029999 969800 62.029999
2014-05-28 62.139999 62.48 61.709999 62 1020300 62
2014-05-29 61.759998 62.16 60.700001 61.599998 1160500 61.599998
2014-05-30 61.889999 62.18 60.91 61.5 3068000 61.5
2014-06-02 61.970001 62.880001 61.259998 61.810001 821500 61.810001
2014-06-03 61.740002 63.080002 61.07 63.049999 968800 63.049999
2014-06-04 63.049999 64.400002 62.599998 64.059998 844700 64.059998
2014-06-05 64.290001 64.400002 63.02 63.52 894100 63.52
