"Index" "GD.Open" "GD.High" "GD.Low" "GD.Close" "GD.Volume" "GD.Adjusted"
2014-02-04 100.82 101.589996 98.75 99.68 7819300 96.178679
2014-02-05 99.260002 99.839996 97.580002 98.879997 4055600 95.406777
2014-02-06 100.150002 101.589996 99.620003 101.220001 3383200 97.664587
2014-02-07 101.870003 104.580002 101.510002 104.190002 3158900 100.530265
2014-02-10 103.199997 103.639999 102.440002 102.510002 2759600 98.909275
2014-02-11 102.760002 103.75 102.559998 103.220001 1949100 99.594335
2014-02-12 103.290001 103.809998 103.040001 103.660004 2008900 100.018882
2014-02-13 103.040001 104.010002 102.900002 103.730003 1629500 100.086423
2014-02-14 103.620003 106.449997 103.220001 106.349998 2579600 102.61439
2014-02-18 106.080002 107.220001 105.580002 106.769997 2246800 103.019635
2014-02-19 106.330002 107.25 105.050003 105.260002 2762400 101.56268
2014-02-20 105.650002 108 105.529999 107.75 2377000 103.965215
2014-02-21 108.07 108.209999 107.059998 107.449997 2426000 103.67575
2014-02-24 107.269997 109.57 107 108.760002 2642400 104.93974
2014-02-25 108.610001 109.260002 107.980003 108.269997 2090400 104.466947
2014-02-26 108.239998 108.699997 107.389999 108.029999 2137700 104.235379
2014-02-27 107.980003 109.040001 107.410004 108.980003 1894100 105.152014
2014-02-28 109.040001 110.25 108.790001 109.540001 2282300 105.692341
2014-03-03 108.059998 110.980003 107.730003 110.610001 3125000 106.724757
2014-03-04 111.129997 113.57 111.099998 112.660004 3641800 108.702752
2014-03-05 112.400002 113.099998 111.690002 111.839996 2236800 107.911548
2014-03-06 110.809998 112.129997 110.720001 111.449997 2589700 107.535247
2014-03-07 110.830002 112.089996 110.620003 111.489998 2642300 107.573843
2014-03-10 110.519997 111.279999 110.010002 110.410004 2191300 106.531785
2014-03-11 109.839996 110.629997 108.919998 108.989998 1905200 105.161657
2014-03-12 108.5 109.459999 108.040001 109.379997 1793500 105.537958
2014-03-13 109.580002 110.32 107.300003 107.989998 3006200 104.196783
2014-03-14 107.849998 108.470001 107.209999 107.629997 2445400 103.849428
2014-03-17 106.360001 108.919998 106.290001 108.410004 1756700 104.602036
2014-03-18 108.889999 109.639999 108.68 109.400002 2034200 105.557259
2014-03-19 109.660004 110.330002 107.480003 108.019997 2185600 104.225728
2014-03-20 107.949997 108.379997 106.870003 107.25 2057300 103.482778
2014-03-21 108.279999 108.440002 107.040001 107.080002 5152100 103.318751
2014-03-24 107.5 107.959999 105.660004 106.580002 2191600 102.836314
2014-03-25 107.129997 108.519997 106.809998 107.650002 1850800 103.868729
2014-03-26 108.190002 108.82 106.660004 106.660004 2073500 102.913506
2014-03-27 106.199997 107.230003 105.5 106.370003 1893000 102.633691
2014-03-28 106.43 108.080002 106.379997 107.699997 1505700 103.916969
2014-03-31 108.5 109.18 108.190002 108.919998 1713500 105.094116
2014-04-01 109.160004 109.739998 108.660004 109.68 1441100 105.827423
2014-04-02 109.769997 111.209999 109.75 110.610001 1672500 106.724757
2014-04-03 110.959999 111.32 110.199997 110.889999 1199100 106.99492
2014-04-04 111.349998 111.830002 108.010002 108.290001 2052000 104.486248
2014-04-07 108.290001 109.25 107.139999 107.650002 2338300 103.868729
2014-04-08 107.650002 108 106.099998 106.379997 2403500 102.643335
2014-04-09 106.150002 108.18 106.050003 108.040001 1695400 104.856143
2014-04-10 108.269997 108.699997 105.650002 105.709999 1453700 102.594805
2014-04-11 105.370003 106.139999 104.940002 104.989998 1447800 101.896021
2014-04-14 105.410004 106.019997 104.220001 105.129997 1718200 102.031895
2014-04-15 105.449997 106.919998 104.699997 106.699997 1709900 103.555628
2014-04-16 107.449997 108.190002 106.690002 108.18 1194800 104.992017
2014-04-17 108.43 109.489998 107.610001 109.059998 1556800 105.846081
2014-04-21 109.190002 109.599998 108.419998 109.300003 1280000 106.079014
2014-04-22 109.360001 109.910004 108.010002 108.040001 2020900 104.856143
2014-04-23 108.370003 112.099998 106.540001 111.580002 2264700 108.291823
2014-04-24 111.800003 111.989998 109.919998 110.419998 2016700 107.166003
2014-04-25 110 110.389999 108.730003 109.010002 1258400 105.797559
2014-04-28 109.870003 109.910004 106.580002 107.389999 2644200 104.225296
2014-04-29 108.540001 109.080002 108.129997 108.260002 2801700 105.069661
2014-04-30 108.379997 109.900002 107.839996 109.449997 2409100 106.224587
2014-05-01 109.510002 110.790001 109.18 109.769997 1880500 106.535157
2014-05-02 109.970001 111.690002 109.709999 111.010002 2124700 107.73862
2014-05-05 110.599998 111.989998 110.410004 111.879997 2117800 108.582977
2014-05-06 111.339996 112.230003 111.169998 111.720001 1795200 108.427696
2014-05-07 112 112.370003 111.209999 111.959999 2503700 108.660622
2014-05-08 111.970001 112.559998 111.43 111.93 2128800 108.631507
2014-05-09 111.860001 112.790001 111.080002 112.790001 2129900 109.466164
2014-05-12 113 114.940002 112.93 114.849998 2412000 111.465455
2014-05-13 115 115.959999 114.75 115.290001 2225400 111.892491
2014-05-14 115.339996 115.870003 114.57 114.660004 1958600 111.281059
2014-05-15 114.559998 114.830002 113.089996 113.220001 2110100 109.883493
2014-05-16 113.32 113.699997 112.43 113.559998 2534700 110.213469
2014-05-19 112.93 115 112.82 114.82 2027800 111.43634
2014-05-20 114.040001 114.559998 112.629997 113.080002 1853500 109.747619
2014-05-21 113.279999 114.730003 113.260002 114.650002 1550800 111.271352
2014-05-22 114.699997 115.239998 114.309998 114.980003 1313200 111.591629
2014-05-23 115.029999 115.879997 114.980003 115.489998 1472100 112.086594
2014-05-27 115.75 116.480003 115.489998 116.349998 1151600 112.921251
2014-05-28 116.07 117.75 115.559998 117.559998 2146700 114.095592
2014-05-29 117.529999 118.190002 116.830002 117.970001 1893300 114.493514
2014-05-30 117.699997 118.220001 116.970001 118.120003 1870900 114.639095
2014-06-02 118.110001 118.480003 117.629997 118.019997 1508700 114.542036
2014-06-03 117 118.760002 117 118.360001 2090900 114.87202
2014-06-04 118.32 118.660004 117.860001 118.360001 1512700 114.87202
2014-06-05 118.75 120.910004 118.669998 120.889999 1969200 117.327462
2014-06-06 120.769997 121.540001 120.480003 120.830002 1871600 117.269232
2014-06-09 121 121.68 120.290001 120.620003 2245200 117.065422
2014-06-10 120.550003 121.089996 119.989998 120.82 1586000 117.259525
2014-06-11 120.32 120.739998 119.610001 119.870003 1578200 116.337523
2014-06-12 119.769997 120.07 118.120003 118.459999 1049300 114.969072
2014-06-13 118.760002 119.57 118.260002 119.139999 956500 115.629033
2014-06-16 118.900002 119.709999 118.699997 119.199997 1251200 115.687262
2014-06-17 119.260002 119.379997 118.190002 119.099998 1197900 115.590211
2014-06-18 119.32 119.790001 118.459999 119.639999 926500 116.114298
2014-06-19 119.660004 120.169998 118.980003 120.040001 1256800 116.502512
2014-06-20 119.699997 120.099998 119.440002 119.550003 2210200 116.026954
2014-06-23 119.82 119.82 118.43 118.739998 1193200 115.240819
2014-06-24 118.110001 118.849998 116.629997 116.690002 1483400 113.251235
2014-06-25 116.699997 117.410004 116.199997 117.220001 1215900 113.765616
2014-06-26 117.290001 117.370003 116.160004 116.980003 909200 113.53269
2014-06-27 116.779999 117.75 116.75 117.5 1522400 114.037363
2014-06-30 117.410004 117.559998 116.379997 116.550003 1231500 113.115362
2014-07-01 115.169998 117.07 114.660004 116.449997 2174100 113.622735
2014-07-02 116.190002 116.449997 115.129997 115.5 1484300 112.695803
2014-07-03 116.050003 116.519997 115.75 116.019997 888900 113.203175
2014-07-07 116.169998 116.230003 115.339996 115.75 1392000 112.939734
2014-07-08 115.669998 115.75 114.32 114.800003 1316300 112.012801
2014-07-09 115 115.68 114.529999 115.620003 1094800 112.812892
2014-07-10 114.07 116.120003 114.040001 115.529999 1173200 112.725074
2014-07-11 115.669998 117.019997 115.309998 116.849998 1513300 114.013025
2014-07-14 117.089996 117.449997 116.410004 116.68 1556900 113.847155
2014-07-15 116.889999 118.099998 116.870003 117.510002 1596700 114.657005
2014-07-16 117.959999 118.150002 117.150002 117.510002 798800 114.657005
2014-07-17 117.059998 117.550003 116.050003 116.099998 795800 113.281234
2014-07-18 116.650002 117.879997 116.510002 117.639999 1424900 114.783846
2014-07-21 117.480003 118.470001 117.099998 118.349998 828500 115.476607
2014-07-22 118.709999 119.139999 118.349998 118.550003 1382700 115.671756
2014-07-23 120.349998 121.110001 119.110001 120.730003 2915400 117.798829
2014-07-24 120.720001 121.93 120.650002 121.480003 2182100 118.53062
2014-07-25 120.959999 122.169998 120.860001 121.139999 1220600 118.19887
2014-07-28 120.709999 121.110001 119.709999 120.480003 1239300 117.554898
2014-07-29 120.480003 120.709999 119.18 119.18 990000 116.286458
2014-07-30 119.230003 119.980003 118.550003 119.209999 1184200 116.315728
2014-07-31 118.330002 118.870003 116.449997 116.769997 2168100 113.934966
2014-08-01 116.419998 118.080002 116.419998 117.379997 1540200 114.530156
2014-08-04 117.379997 117.599998 115.910004 117.230003 1814900 114.383804
2014-08-05 117 118.5 116.160004 116.349998 1914300 113.525165
2014-08-06 115.559998 115.989998 114.599998 114.75 1826600 111.964012
2014-08-07 114.739998 116.099998 114.099998 114.389999 1566300 111.612752
2014-08-08 114.599998 117.290001 114.599998 117.160004 1873500 114.315504
2014-08-11 117.860001 118.510002 117.419998 117.82 1139000 114.959476
2014-08-12 117.720001 118.599998 116.860001 117.220001 936800 114.374045
2014-08-13 117.849998 119.300003 117.639999 119.120003 921100 116.227917
2014-08-14 119.349998 119.93 119.050003 119.120003 966000 116.227917
2014-08-15 119.550003 120 118.550003 119.339996 1879600 116.442569
2014-08-18 120.199997 121.489998 120.169998 121.18 1079400 118.2379
2014-08-19 121.400002 121.980003 121.300003 121.809998 1054800 118.852602
2014-08-20 121.650002 123.75 121.489998 123.480003 1220800 120.482062
2014-08-21 123.470001 124.25 123.129997 123.68 1254700 120.677203
2014-08-22 123.669998 124.379997 123.120003 123.849998 1121600 120.843074
2014-08-25 124.190002 124.849998 123.629997 124.419998 1167900 121.399235
2014-08-26 124.660004 124.889999 124.260002 124.400002 760300 121.379724
2014-08-27 124.599998 124.760002 123.68 123.989998 878500 120.979674
2014-08-28 123.699997 123.790001 122.940002 123.389999 1083900 120.394243
2014-08-29 123.050003 123.599998 122.639999 123.25 1140600 120.257643
2014-09-02 123.349998 123.839996 122.540001 122.660004 1711300 119.681971
2014-09-03 123.550003 124.980003 123.470001 124.93 2142800 121.896855
2014-09-04 124.949997 126.220001 124.510002 124.699997 1493000 121.672436
