"Index" "GOC.Open" "GOC.High" "GOC.Low" "GOC.Close" "GOC.Volume" "GOC.Adjusted"
2013-06-11 0.107 0.107 0.107 0.107 0 0.107
2013-06-12 0.114 0.114 0.114 0.114 0 0.114
2013-06-13 0.117 0.117 0.117 0.117 0 0.117
2013-06-14 0.118 0.118 0.118 0.118 0 0.118
2013-06-17 0.111 0.111 0.111 0.111 0 0.111
2013-06-18 0.106 0.106 0.106 0.106 0 0.106
2013-06-19 0.098 0.098 0.098 0.098 0 0.098
2013-06-20 0.099 0.099 0.099 0.099 0 0.099
2013-06-21 0.098 0.098 0.098 0.098 0 0.098
2013-06-24 0.102 0.102 0.102 0.102 0 0.102
2013-06-25 0.108 0.108 0.108 0.108 0 0.108
2013-06-26 0.102 0.102 0.102 0.102 0 0.102
2013-06-27 0.111 0.111 0.111 0.111 0 0.111
2013-06-28 0.114 0.114 0.114 0.114 0 0.114
2013-07-01 0.113 0.113 0.113 0.113 0 0.113
2013-07-02 0.109 0.109 0.109 0.109 0 0.109
2013-07-03 0.112 0.112 0.112 0.112 0 0.112
2013-07-04 0.112 0.112 0.112 0.112 0 0.112
2013-07-05 0.105 0.105 0.105 0.105 0 0.105
2013-07-08 0.099 0.099 0.099 0.099 0 0.099
2013-07-09 0.099 0.099 0.099 0.099 0 0.099
2013-07-10 0.109 0.109 0.109 0.109 0 0.109
2013-07-11 0.106 0.106 0.106 0.106 0 0.106
2013-07-12 0.099 0.099 0.099 0.099 0 0.099
2013-07-15 0.109 0.109 0.109 0.109 0 0.109
2013-07-16 0.109 0.109 0.109 0.109 0 0.109
2013-07-17 0.102 0.102 0.102 0.102 0 0.102
2013-07-18 0.102 0.102 0.102 0.102 0 0.102
2013-07-19 0.102 0.102 0.102 0.102 0 0.102
2013-07-22 0.099 0.099 0.099 0.099 0 0.099
2013-07-23 0.1 0.1 0.1 0.1 0 0.1
2013-07-24 0.105 0.105 0.105 0.105 0 0.105
2013-07-25 0.102 0.102 0.102 0.102 0 0.102
2013-07-26 0.102 0.102 0.102 0.102 0 0.102
2013-07-29 0.103 0.103 0.103 0.103 0 0.103
2013-07-30 0.102 0.102 0.102 0.102 0 0.102
2013-07-31 0.102 0.102 0.102 0.102 0 0.102
2013-08-01 0.102 0.102 0.102 0.102 0 0.102
