"Index" "MGN.Open" "MGN.High" "MGN.Low" "MGN.Close" "MGN.Volume" "MGN.Adjusted"
2014-03-14 1.41 1.44 1.12 1.29 828900 1.29
2014-03-17 1.36 1.42 1.32 1.406 203900 1.406
2014-03-18 1.49 1.49 1.39 1.43 128400 1.43
2014-03-19 1.4 1.43 1.36 1.37 88500 1.37
2014-03-20 1.35 1.38 1.3 1.3 150400 1.3
2014-03-21 1.37 1.41 1.33 1.38 69500 1.38
2014-03-24 1.38 1.38 1.2 1.26 269500 1.26
2014-03-25 1.3 1.33 1.2 1.21 162600 1.21
2014-03-26 1.2 1.23 1.07 1.085 214800 1.085
2014-03-27 1.05 1.09 1.02 1.07 219400 1.07
2014-03-28 1.09 1.14 1.06 1.11 96800 1.11
2014-03-31 1.12 1.15 1.091 1.11 75800 1.11
2014-04-01 1.15 1.16 1.05 1.09 151200 1.09
2014-04-02 1.1 1.35 1.09 1.25 298200 1.25
2014-04-03 1.28 1.34 1.16 1.16 157900 1.16
2014-04-04 1.19 1.25 1.16 1.22 71700 1.22
2014-04-07 1.22 1.25 1.12 1.16 91700 1.16
2014-04-08 1.17 1.18 1.14 1.14 46000 1.14
2014-04-09 1.14 1.21 1.12 1.21 39900 1.21
2014-04-10 1.23 1.23 1.2 1.2 99300 1.2
2014-04-11 1.15 1.2 1.13 1.13 86000 1.13
2014-04-14 1.15 1.23 1.12 1.23 42600 1.23
2014-04-15 1.19 1.2 1.13 1.15 95100 1.15
2014-04-16 1.122 1.18 1.1 1.17 31800 1.17
2014-04-17 1.14 1.16 1.11 1.13 44000 1.13
2014-04-21 1.11 1.17 1.1 1.15 76400 1.15
2014-04-22 1.18 1.2 1.15 1.2 38400 1.2
2014-04-23 1.18 1.19 1.16 1.19 36200 1.19
2014-04-24 1.18 1.21 1.17 1.21 26900 1.21
2014-04-25 1.19 1.26 1.176 1.23 61800 1.23
2014-04-28 1.24 1.37 1.23 1.28 168800 1.28
2014-04-29 1.25 1.3 1.25 1.29 24600 1.29
2014-04-30 1.27 1.28 1.25 1.27 37700 1.27
2014-05-01 1.26 1.37 1.25 1.36 107100 1.36
2014-05-02 1.37 1.37 1.32 1.33 52100 1.33
2014-05-05 1.32 1.35 1.32 1.34 43700 1.34
2014-05-06 1.32 1.37 1.32 1.343 28200 1.343
2014-05-07 1.33 1.34 1.3 1.31 48000 1.31
2014-05-08 1.24 1.31 1.23 1.27 69600 1.27
2014-05-09 1.27 1.34 1.25 1.25 46600 1.25
2014-05-12 1.27 1.3 1.27 1.29 30500 1.29
2014-05-13 1.26 1.27 1.24 1.25 54800 1.25
2014-05-14 1.3 1.3 1.26 1.26 35900 1.26
2014-05-15 1.24 1.27 1.23 1.26 30500 1.26
2014-05-16 1.23 1.27 1.23 1.231 46000 1.231
2014-05-19 1.25 1.25 1.2 1.23 46000 1.23
2014-05-20 1.2 1.21 1.1 1.15 75300 1.15
2014-05-21 1.15 1.19 1.13 1.19 22300 1.19
