"Index" "LPE.Open" "LPE.High" "LPE.Low" "LPE.Close" "LPE.Volume" "LPE.Adjusted"
2013-06-19 63.93 63.93 63.93 63.93 0 63.93
2013-06-20 64.05 64.05 64.05 64.05 0 64.05
2013-06-21 63.8 63.8 63.8 63.8 0 63.8
2013-06-24 63.75 63.75 63.75 63.75 0 63.75
2013-06-25 63.85 63.85 63.85 63.85 0 63.85
2013-06-26 65.18 65.18 65.18 65.18 0 65.18
2013-06-27 65.77 65.77 65.77 65.77 0 65.77
2013-06-28 65.46 65.46 65.46 65.46 0 65.46
2013-07-01 64.76 64.76 64.76 64.76 0 64.76
2013-07-02 65.4 65.4 65.4 65.4 0 65.4
2013-07-03 65.47 65.47 65.47 65.47 0 65.47
2013-07-04 65.34 65.34 65.34 65.34 0 65.34
2013-07-05 65.32 65.32 65.32 65.32 0 65.32
2013-07-08 65.29 65.29 65.29 65.29 0 65.29
2013-07-09 65.67 65.67 65.67 65.67 0 65.67
2013-07-10 65.55 65.55 65.55 65.55 0 65.55
2013-07-11 65.16 65.16 65.16 65.16 0 65.16
2013-07-12 68.36 68.36 68.36 68.36 0 68.36
2013-07-15 67.75 67.75 67.75 67.75 0 67.75
2013-07-16 66.75 66.75 66.75 66.75 0 66.75
2013-07-17 66.95 66.95 66.95 66.95 0 66.95
2013-07-18 66.55 66.55 66.55 66.55 0 66.55
2013-07-19 66.6 66.6 66.6 66.6 0 66.6
2013-07-22 66 66 66 66 0 66
2013-07-23 65.29 65.29 65.29 65.29 0 65.29
2013-07-24 65.19 65.19 65.19 65.19 0 65.19
2013-07-25 66.05 66.05 66.05 66.05 0 66.05
2013-07-26 65.96 65.96 65.96 65.96 0 65.96
2013-07-29 66.1 66.1 66.1 66.1 0 66.1
2013-07-30 66.16 66.16 66.16 66.16 0 66.16
2013-07-31 66.3 66.3 66.3 66.3 0 66.3
2013-08-01 66.25 66.25 66.25 66.25 0 66.25
2013-08-02 66.6 66.6 66.6 66.6 0 66.6
2013-08-05 65.99 65.99 65.99 65.99 0 65.99
2013-08-06 66.35 66.35 66.35 66.35 0 66.35
2013-08-07 66.4 66.4 66.4 66.4 0 66.4
2013-08-08 66.7 66.96 66.7 66.96 0 66.96
2013-08-09 66.69 66.69 66.69 66.69 0 66.69
2013-08-12 66.35 66.35 66.35 66.35 0 66.35
2013-08-13 66 66 66 66 0 66
2013-08-14 65.95 65.95 65.95 65.95 0 65.95
2013-08-15 66.35 66.35 66.35 66.35 0 66.35
2013-08-16 66.6 66.6 66.6 66.6 0 66.6
2013-08-19 65.85 65.85 65.85 65.85 0 65.85
2013-08-20 65.79 65.79 65.79 65.79 0 65.79
2013-08-21 66.25 66.25 66.25 66.25 0 66.25
2013-08-22 66.02 66.02 66.02 66.02 0 66.02
2013-08-23 66.17 66.17 66.17 66.17 0 66.17
2013-08-26 66.16 66.16 66.16 66.16 0 66.16
2013-08-27 65.96 65.96 65.96 65.96 0 65.96
2013-08-28 66.2 66.2 66.2 66.2 0 66.2
2013-08-29 66.12 66.12 66.12 66.12 0 66.12
2013-08-30 66.23 66.23 66.23 66.23 0 66.23
2013-09-02 66.05 66.05 66.05 66.05 0 66.05
2013-09-03 66.17 66.17 66.17 66.17 0 66.17
2013-09-04 66.3 66.3 66.3 66.3 0 66.3
2013-09-05 66.18 66.18 66.18 66.18 0 66.18
2013-09-06 66.15 66.15 66.15 66.15 0 66.15
2013-09-09 65.95 65.95 65.95 65.95 0 65.95
2013-09-10 65.77 65.77 65.77 65.77 0 65.77
2013-09-11 66.08 66.08 66.08 66.08 0 66.08
2013-09-12 65.74 65.74 65.74 65.74 0 65.74
2013-09-13 65.75 65.75 65.75 65.75 0 65.75
2013-09-16 65.65 65.65 65.65 65.65 0 65.65
2013-09-17 65.75 65.75 65.75 65.75 0 65.75
2013-09-18 65.87 65.87 65.87 65.87 0 65.87
2013-09-19 66.18 66.18 66.18 66.18 0 66.18
2013-09-20 66.15 66.15 66.15 66.15 0 66.15
2013-09-23 65.25 65.25 65.25 65.25 0 65.25
2013-09-24 65.85 65.85 65.85 65.85 0 65.85
2013-09-25 66.21 66.21 66.21 66.21 0 66.21
2013-09-26 67.06 67.06 67.06 67.06 0 67.06
2013-09-27 67.96 67.96 67.96 67.96 0 67.96
2013-09-30 67.55 67.55 67.55 67.55 0 67.55
2013-10-01 65.55 65.55 65.55 65.55 0 65.55
2013-10-02 65.3 65.3 65.3 65.3 0 65.3
2013-10-03 65.71 65.71 65.71 65.71 0 65.71
2013-10-04 65.43 65.43 65.43 65.43 0 65.43
2013-10-07 65.45 65.45 65.45 65.45 0 65.45
2013-10-08 65.48 65.48 65.48 65.48 0 65.48
2013-10-09 63.93 63.93 63.93 63.93 0 63.93
2013-10-10 64.2 64.2 64.2 64.2 0 64.2
2013-10-11 64.32 64.32 64.32 64.32 0 64.32
2013-10-14 65.03 65.03 65.03 65.03 0 65.03
2013-10-15 65.16 65.16 65.16 65.16 0 65.16
2013-10-16 65.55 65.55 65.55 65.55 0 65.55
2013-10-17 66.47 66.47 66.47 66.47 0 66.47
2013-10-18 65.96 65.96 65.96 65.96 0 65.96
2013-10-21 65.96 65.96 65.96 65.96 0 65.96
2013-10-22 67.66 67.66 67.66 67.66 0 67.66
2013-10-23 67.75 67.75 67.75 67.75 0 67.75
2013-10-24 68.2 68.2 68.2 68.2 0 68.2
2013-10-25 68.05 68.05 68.05 68.05 0 68.05
2013-10-28 68.03 68.03 68.03 68.03 0 68.03
2013-10-29 68.08 68.08 68.08 68.08 0 68.08
2013-10-30 67.95 67.95 67.95 67.95 0 67.95
2013-10-31 68.2 68.2 68.2 68.2 0 68.2
2013-11-01 68.26 68.26 68.26 68.26 0 68.26
2013-11-04 68.51 68.51 68.51 68.51 0 68.51
2013-11-05 68.09 68.09 68.09 68.09 0 68.09
2013-11-06 67.66 67.66 67.66 67.66 0 67.66
2013-11-07 68.48 68.48 68.48 68.48 0 68.48
2013-11-08 68.34 68.34 68.34 68.34 0 68.34
2013-11-11 68.75 68.75 68.75 68.75 0 68.75
2013-11-12 69.48 69.48 69.48 69.48 0 69.48
2013-11-13 69.6 69.6 69.6 69.6 0 69.6
2013-11-14 70.98 70.98 70.98 70.98 0 70.98
2013-11-15 70.3 70.3 70.3 70.3 0 70.3
2013-11-18 69.87 69.87 69.87 69.87 0 69.87
2013-11-19 69.75 69.75 69.75 69.75 0 69.75
2013-11-20 69.75 69.75 69.75 69.75 0 69.75
2013-11-21 69.5 69.5 69.5 69.5 0 69.5
2013-11-22 69.96 69.96 69.96 69.96 0 69.96
2013-11-25 69.84 69.84 69.84 69.84 0 69.84
2013-11-26 69.5 69.5 69.5 69.5 0 69.5
2013-11-27 70.25 70.25 70.25 70.25 0 70.25
2013-11-28 71.01 71.01 71.01 71.01 0 71.01
2013-11-29 70.75 70.75 70.75 70.75 0 70.75
2013-12-02 68.33 68.33 68.33 68.33 0 68.33
2013-12-03 68.14 68.14 68.14 68.14 0 68.14
2013-12-04 67.88 67.88 67.88 67.88 0 67.88
2013-12-05 67.35 67.35 67.35 67.35 0 67.35
2013-12-06 67.78 67.78 67.78 67.78 0 67.78
2013-12-09 67.16 67.16 67.16 67.16 0 67.16
2013-12-10 67.77 67.77 67.77 67.77 0 67.77
2013-12-11 68.69 68.69 68.69 68.69 0 68.69
2013-12-12 68.75 68.75 68.75 68.75 0 68.75
2013-12-13 67.05 67.05 67.05 67.05 0 67.05
2013-12-16 67.05 67.05 67.05 67.05 0 67.05
2013-12-17 67.12 67.12 67.12 67.12 0 67.12
2013-12-18 66.45 66.45 66.45 66.45 0 66.45
2013-12-19 65.25 65.25 65.25 65.25 0 65.25
2013-12-20 63.26 63.26 63.26 63.26 0 63.26
2013-12-23 64.09 64.09 64.09 64.09 0 64.09
2013-12-24 64.09 64.09 64.09 64.09 0 64.09
2013-12-25 64.09 64.09 64.09 64.09 0 64.09
2013-12-26 64.09 64.09 64.09 64.09 0 64.09
2013-12-27 63.85 63.85 63.85 63.85 0 63.85
2013-12-30 64.25 64.25 64.25 64.25 0 64.25
2013-12-31 64.25 64.25 64.25 64.25 0 64.25
2014-01-01 64.25 64.25 64.25 64.25 0 64.25
2014-01-02 63.26 63.26 63.26 63.26 0 63.26
2014-01-03 63.65 63.65 63.65 63.65 0 63.65
2014-01-06 63.29 63.29 63.29 63.29 0 63.29
2014-01-07 63.74 63.74 63.74 63.74 0 63.74
2014-01-08 63.95 63.95 63.95 63.95 0 63.95
2014-01-09 64.45 64.45 64.45 64.45 0 64.45
2014-01-10 64.05 64.05 64.05 64.05 0 64.05
2014-01-13 64.75 64.75 64.75 64.75 0 64.75
2014-01-14 66.75 66.75 66.75 66.75 0 66.75
2014-01-15 67.12 67.12 67.12 67.12 0 67.12
2014-01-16 67.36 69.74 67.36 69.74 200 69.74
2014-01-17 69.45 69.45 69.45 69.45 0 69.45
2014-01-20 69.87 69.87 69.87 69.87 0 69.87
2014-01-21 71.27 72.53 71.27 72.53 200 72.53
2014-01-22 71.94 71.94 71.94 71.94 0 71.94
2014-01-23 71.57 71.57 71.57 71.57 0 71.57
2014-01-24 70.77 70.77 70.77 70.77 0 70.77
2014-01-27 70.75 70.75 70.75 70.75 0 70.75
2014-01-28 71.15 71.15 71.15 71.15 0 71.15
2014-01-29 71.63 71.63 71.63 71.63 0 71.63
2014-01-30 71.42 71.42 71.42 71.42 0 71.42
2014-01-31 71.16 71.16 71.16 71.16 0 71.16
2014-02-03 70.25 70.25 70.25 70.25 0 70.25
2014-02-04 69.75 69.75 69.75 69.75 0 69.75
2014-02-05 68.2 68.2 68.2 68.2 0 68.2
2014-02-06 67.72 67.72 67.72 67.72 0 67.72
2014-02-07 66.78 66.78 66.78 66.78 0 66.78
2014-02-10 67.5 67.5 67.5 67.5 0 67.5
2014-02-11 69.28 69.28 69.28 69.28 0 69.28
2014-02-12 70.97 70.97 70.97 70.97 0 70.97
