"Index" "USD.HUF"
2014-03-08 224.996
2014-03-09 225
2014-03-10 224.972
2014-03-11 225.629
2014-03-12 226.1685
2014-03-13 225.0225
2014-03-14 225.826
2014-03-15 224.3015
2014-03-16 224.305
2014-03-17 224.627
2014-03-18 223.885
2014-03-19 223.4145
2014-03-20 226.033
2014-03-21 226.46
2014-03-22 227.091
2014-03-23 227.062
2014-03-24 226.961
2014-03-25 226.1055
2014-03-26 225.901
2014-03-27 226.4645
2014-03-28 225.451
2014-03-29 224.474
2014-03-30 224.455
2014-03-31 223.6255
2014-04-01 222.9705
2014-04-02 222.8585
2014-04-03 223.4405
2014-04-04 223.563
2014-04-05 223.1705
2014-04-06 223.1855
2014-04-07 223.337
2014-04-08 222.0655
2014-04-09 221.132
2014-04-10 220.26
2014-04-11 220.4025
2014-04-12 220.7085
2014-04-13 221.099
2014-04-14 221.807
2014-04-15 222.821
2014-04-16 223.0975
2014-04-17 222.376
2014-04-18 221.9425
2014-04-19 221.857
2014-04-20 221.862
2014-04-21 222.2655
2014-04-22 222.521
2014-04-23 222.255
2014-04-24 222.8765
2014-04-25 223.7425
2014-04-26 224.242
2014-04-27 224.129
2014-04-28 223.7355
2014-04-29 223.301
2014-04-30 222.5185
2014-05-01 221.1875
2014-05-02 221.4705
2014-05-03 221.76
2014-05-04 221.607
2014-05-05 221.8975
2014-05-06 221.1605
2014-05-07 219.8385
2014-05-08 218.7905
2014-05-09 219.949
2014-05-10 220.894
2014-05-11 220.978
2014-05-12 220.6465
2014-05-13 221.0385
2014-05-14 221.5165
2014-05-15 221.9745
2014-05-16 223.053
2014-05-17 222.8155
2014-05-18 223.138
2014-05-19 222.52
2014-05-20 222.544
2014-05-21 221.8225
2014-05-22 222.0255
2014-05-23 222.121
2014-05-24 221.757
2014-05-25 221.7085
2014-05-26 221.9615
2014-05-27 222.268
2014-05-28 223.1635
2014-05-29 222.8965
2014-05-30 222.362
2014-05-31 221.9605
2014-06-01 221.955
2014-06-02 222.5695
2014-06-03 223.741
2014-06-04 224.3115
2014-06-05 223.82
2014-06-06 222.268
2014-06-07 221.961
2014-06-08 221.9585
2014-06-09 222.5645
2014-06-10 224.008
2014-06-11 225.483
2014-06-12 225.9725
2014-06-13 226.517
2014-06-14 226.591
2014-06-15 226.6025
2014-06-16 226.7745
2014-06-17 226.879
2014-06-18 226.721
2014-06-19 224.8345
2014-06-20 225.072
2014-06-21 224.942
2014-06-22 225.144
2014-06-23 224.828
2014-06-24 224.5705
2014-06-25 225.037
2014-06-26 225.9005
2014-06-27 226.7415
2014-06-28 226.8645
2014-06-29 226.84
