"Index" "STZ.Open" "STZ.High" "STZ.Low" "STZ.Close" "STZ.Volume" "STZ.Adjusted"
2013-12-18 70.419998 70.57 68.169998 69.879997 2239800 69.357539
2013-12-19 69.800003 69.93 69.150002 69.480003 1386200 68.960536
2013-12-20 69.57 70.160004 69.169998 69.699997 1712800 69.178884
2013-12-23 69.970001 70.160004 69.400002 69.690002 963500 69.168965
2013-12-24 69.709999 70.029999 69.620003 69.709999 252100 69.188812
2013-12-26 69.980003 70.32 69.550003 70.099998 502600 69.575895
2013-12-27 70.5 70.529999 69.739998 70.07 568800 69.546121
2013-12-30 69.989998 70.370003 69.489998 69.739998 1278500 69.218586
2013-12-31 70 70.580002 69.830002 70.379997 907900 69.853801
2014-01-02 70.019997 70.220001 68.839996 69.239998 1070500 68.722324
2014-01-03 69.550003 70.089996 69.199997 69.389999 741700 68.871204
2014-01-06 69.589996 69.720001 68.540001 68.610001 1401600 68.097037
2014-01-07 69 70.43 68.779999 69.93 1858400 69.407168
2014-01-08 74.809998 78.400002 74.610001 76.610001 8367500 76.037225
2014-01-09 76.949997 78.059998 76.620003 77.449997 2750100 76.870941
2014-01-10 77.599998 80.129997 76.93 80.050003 3211700 79.451509
2014-01-13 80.190002 81.510002 79.800003 80.059998 2025400 79.461428
2014-01-14 80.449997 81.559998 80 80.93 1534100 80.324926
2014-01-15 80.989998 81.25 80.099998 80.769997 1016000 80.166119
2014-01-16 80.610001 81.050003 80.18 80.470001 934100 79.868367
2014-01-17 80.480003 80.639999 79.32 79.540001 1580900 78.945319
2014-01-21 80.959999 81.010002 79.32 79.360001 1613900 78.766665
2014-01-22 79.809998 80 78.059998 78.139999 2113700 77.555785
2014-01-23 78.010002 78.489998 77.18 77.239998 2023100 76.662512
2014-01-24 76.699997 77.019997 75.790001 75.800003 2093400 75.233284
2014-01-27 76.010002 76.839996 75.440002 75.769997 1700400 75.203502
2014-01-28 75.809998 78.349998 75.809998 78.230003 2251400 77.645116
2014-01-29 77.449997 78.32 76.699997 77.82 1919100 77.238178
2014-01-30 78.190002 78.389999 77 77.589996 1449700 77.009894
2014-01-31 76.040001 77.080002 75.330002 76.669998 1841500 76.096774
2014-02-03 76.300003 76.970001 75.410004 75.559998 1597800 74.995073
2014-02-04 75.690002 76.830002 75.559998 76.480003 1214600 75.9082
2014-02-05 75.940002 75.959999 74.690002 75.470001 1454900 74.905749
2014-02-06 75.730003 77.690002 75.610001 77.589996 1163300 77.009894
2014-02-07 77.980003 78.040001 76.739998 77.5 1239700 76.920571
2014-02-10 77.839996 77.889999 76.290001 77.07 1051300 76.493785
2014-02-11 77.419998 78.830002 77.239998 78.779999 1322400 78.190999
2014-02-12 78.760002 79.43 78.400002 79 1194200 78.409356
2014-02-13 78.599998 79.639999 78.410004 79.440002 1562700 78.846069
2014-02-14 79.639999 80.220001 78.919998 79.370003 1383900 78.776592
2014-02-18 79.699997 80.68 79.510002 80.169998 1242100 79.570606
2014-02-19 80.150002 80.940002 79.709999 80.019997 1083500 79.421726
2014-02-20 80.169998 81 80.059998 80.599998 1016400 79.997392
2014-02-21 80.629997 81 79.970001 80.349998 1026300 79.749261
2014-02-24 80.540001 81.830002 80.519997 81.080002 1070300 80.473806
2014-02-25 81.089996 82.540001 81.019997 82.07 1272300 81.456403
2014-02-26 82.199997 82.839996 81.339996 81.879997 1283700 81.267821
2014-02-27 81.940002 82.010002 81.18 81.389999 911800 80.781486
2014-02-28 81.589996 82.209999 80.669998 81.029999 1252000 80.424177
2014-03-03 80.769997 81.239998 80.220001 81.150002 1751500 80.543283
2014-03-04 81.690002 82.739998 81.68 82.510002 1221200 81.893115
2014-03-05 82.309998 83.209999 82.120003 82.730003 2195600 82.111472
2014-03-06 82.959999 83.919998 82.660004 83.849998 1102300 83.223093
2014-03-07 83.849998 83.919998 83.25 83.910004 975300 83.28265
2014-03-10 83.839996 84.330002 83.260002 83.949997 1112000 83.322344
2014-03-11 84.139999 84.190002 82.330002 82.540001 986900 81.92289
2014-03-12 82.080002 83.419998 81.739998 83.110001 899300 82.488628
2014-03-13 83.360001 83.480003 81.919998 82.269997 985000 81.654904
2014-03-14 82.07 83.510002 82.07 82.5 1301800 81.883188
2014-03-17 81.690002 82.160004 81.510002 81.860001 1000900 81.247974
2014-03-18 82.110001 83.010002 81.790001 82.769997 1217100 82.151166
2014-03-19 82.800003 83.089996 81.370003 81.68 1228800 81.069319
2014-03-20 81.589996 82.699997 80.849998 82.470001 884400 81.853414
2014-03-21 83.029999 84.220001 82.669998 83.059998 2451100 82.438999
2014-03-24 83.480003 83.709999 80.949997 81.209999 1311700 80.602832
2014-03-25 82.099998 82.989998 81.809998 82.43 1160700 81.813712
2014-03-26 82.620003 83.519997 82.25 82.279999 959500 81.664832
2014-03-27 82.360001 82.75 81.790001 82.059998 1175600 81.446475
2014-03-28 82.349998 83.599998 82.190002 83.209999 970900 82.587879
2014-03-31 83.800003 85.199997 83.459999 84.970001 1833700 84.334722
2014-04-01 85.400002 85.910004 84.82 85.349998 1603700 84.711878
2014-04-02 85.519997 85.580002 84.620003 84.900002 1023000 84.265246
2014-04-03 85.040001 85.239998 83.980003 84.889999 1197100 84.255319
2014-04-04 85.160004 85.550003 83.610001 84.330002 1404600 83.699508
2014-04-07 84 84.089996 80.709999 80.800003 2121000 80.195901
2014-04-08 81.129997 81.849998 80.610001 81.480003 2749700 80.870817
2014-04-09 85 85.400002 77.660004 80.639999 6799500 80.037094
2014-04-10 80.779999 81.989998 79.309998 80.110001 2137800 79.511058
2014-04-11 79.699997 79.93 77.559998 78.029999 3041000 77.446607
2014-04-14 78.900002 78.900002 77.099998 78 1496900 77.416832
2014-04-15 78.050003 78.150002 76.260002 77.970001 1651300 77.387058
2014-04-16 78.470001 79.760002 78.220001 79.75 1535000 79.153748
2014-04-17 79.43 81 78.709999 80.779999 1788200 80.176046
2014-04-21 79.860001 81.07 79.699997 81.010002 1255300 80.40433
2014-04-22 80.959999 81.57 80.150002 80.889999 1260200 80.285225
2014-04-23 80.860001 81.080002 80.230003 80.25 817200 79.65001
2014-04-24 80.529999 80.610001 79.260002 79.459999 974200 78.865916
2014-04-25 79.410004 80.260002 78.449997 79.040001 1256700 78.449058
2014-04-28 79.330002 80.099998 78.790001 79.610001 1084900 79.014796
2014-04-29 79.879997 81.110001 79.629997 79.75 1053800 79.153748
2014-04-30 79.440002 79.919998 78.629997 79.839996 1317700 79.243072
2014-05-01 79.900002 81.449997 79.480003 81.260002 1041900 80.652461
2014-05-02 81.099998 81.349998 80.169998 81.129997 1153700 80.523428
2014-05-05 80.639999 82.169998 80.550003 81.82 923100 81.208272
2014-05-06 81.5 81.839996 80.550003 80.660004 1115800 80.056948
2014-05-07 81.07 81.07 78.43 79.120003 1437300 78.528461
2014-05-08 79.040001 80.360001 78.889999 79.269997 1008700 78.677334
2014-05-09 79.260002 79.589996 78.540001 79.32 1165300 78.726963
2014-05-12 79.82 80.610001 79.730003 80.129997 962300 79.530905
2014-05-13 80.220001 81.18 80.18 80.849998 633000 80.245523
2014-05-14 80.860001 81.209999 79.769997 79.860001 761500 79.262927
2014-05-15 79.809998 80.099998 78.489998 79.860001 1288400 79.262927
2014-05-16 80.07 83.190002 80.07 82.949997 2264900 82.329821
2014-05-19 82.75 83.510002 82.440002 82.669998 1124600 82.051915
2014-05-20 82.5 82.809998 81.669998 81.870003 661900 81.257901
2014-05-21 82.040001 82.709999 81.809998 82.57 695600 81.952664
2014-05-22 82.650002 83.209999 82.510002 82.830002 574500 82.210723
2014-05-23 82.760002 82.989998 82.129997 82.510002 760300 81.893115
2014-05-27 83.139999 83.919998 83.080002 83.449997 1189400 82.826082
2014-05-28 83.510002 83.989998 82.660004 83.150002 1201100 82.52833
2014-05-29 83.209999 84.099998 83.18 83.779999 797400 83.153617
2014-05-30 83.660004 84.32 83.660004 84.129997 1045400 83.500999
2014-06-02 83.809998 84.07 83.160004 83.940002 831600 83.312424
2014-06-03 83.739998 84.480003 83.699997 83.989998 797900 83.362046
2014-06-04 83.980003 84.480003 83.730003 83.989998 602800 83.362046
2014-06-05 84.050003 84.309998 83.400002 83.519997 632800 82.895559
2014-06-06 83.599998 83.669998 82.910004 82.989998 1291800 82.369522
2014-06-09 82.93 83.410004 82.279999 82.610001 1494000 81.992366
2014-06-10 82.190002 83.07 82.190002 82.949997 1398000 82.329821
2014-06-11 82.519997 83.629997 82.339996 83.379997 933000 82.756606
2014-06-12 83.349998 84.260002 82.470001 82.790001 866800 82.171021
2014-06-13 82.639999 83.169998 82.290001 82.580002 603900 81.962592
2014-06-16 82.580002 83.629997 82.419998 83.389999 1145600 82.766533
2014-06-17 83.379997 84.110001 82.860001 83.870003 906400 83.242948
2014-06-18 83.970001 85.989998 83.790001 85.959999 1538100 85.317318
2014-06-19 86.610001 87.589996 86.360001 86.529999 1775200 85.883056
2014-06-20 86.839996 87.639999 86.699997 87.480003 1893200 86.825958
2014-06-23 87.860001 88.5 87.25 88.099998 1599600 87.441318
2014-06-24 87.790001 88.309998 87.209999 88.050003 1322600 87.391696
2014-06-25 87.75 88.599998 87.300003 88.550003 1578600 87.887958
2014-06-26 88.419998 88.5 87 88.099998 1388400 87.441318
2014-06-27 87.839996 88.489998 87.220001 87.980003 971700 87.32222
2014-06-30 88.370003 88.57 87.889999 88.129997 1651000 87.471093
2014-07-01 88.269997 88.940002 87.760002 88.379997 1970600 87.719223
2014-07-02 94.529999 94.769997 89.470001 90.449997 5699700 89.773747
