"Index" "R6.Open" "R6.High" "R6.Low" "R6.Close" "R6.Volume" "R6.Adjusted"
2013-08-15 396.15 396.15 396.15 396.15 0 396.15
2013-08-16 395.11 395.11 395.11 395.11 0 395.11
2013-08-19 390.04 390.04 390.04 390.04 0 390.04
2013-08-20 393.28 393.28 393.28 393.28 0 393.28
2013-08-21 390.19 390.19 390.19 390.19 0 390.19
2013-08-22 386.06 386.06 386.06 386.06 0 386.06
2013-08-23 385.49 385.49 385.49 385.49 0 385.49
2013-08-26 380.77 380.77 380.77 380.77 0 380.77
2013-08-27 373.88 373.88 373.88 373.88 0 373.88
2013-08-28 370.18 370.18 370.18 370.18 0 370.18
2013-08-29 369.44 369.44 369.44 369.44 0 369.44
2013-08-30 372.19 372.19 372.19 372.19 0 372.19
2013-09-02 378.2 378.2 378.2 378.2 0 378.2
2013-09-03 372.9 372.9 372.9 372.9 0 372.9
2013-09-04 375.09 375.09 375.09 375.09 0 375.09
2013-09-05 374.18 374.18 374.18 374.18 0 374.18
2013-09-06 376.36 376.36 376.36 376.36 0 376.36
2013-09-09 386.03 386.03 386.03 386.03 0 386.03
2013-09-10 393.16 393.16 393.16 393.16 0 393.16
2013-09-11 392.56 392.56 392.56 392.56 0 392.56
2013-09-12 384.77 384.77 384.77 384.77 0 384.77
2013-09-13 387.85 387.85 387.85 387.85 0 387.85
2013-09-16 387.85 387.85 387.85 387.85 0 387.85
2013-09-17 388.14 388.14 388.14 388.14 0 388.14
2013-09-18 394.87 394.87 394.87 394.87 0 394.87
2013-09-19 393.53 393.53 393.53 393.53 0 393.53
2013-09-20 388.72 388.72 388.72 388.72 0 388.72
2013-09-23 389.9 389.9 389.9 389.9 0 389.9
2013-09-24 388.85 388.85 388.85 388.85 0 388.85
2013-09-25 393.45 393.45 393.45 393.45 0 393.45
2013-09-26 390.14 390.14 390.14 390.14 0 390.14
2013-09-27 386.32 386.32 386.32 386.32 0 386.32
2013-09-30 379.93 379.93 379.93 379.93 0 379.93
2013-10-01 389.92 389.92 389.92 389.92 0 389.92
2013-10-02 389.76 389.76 389.76 389.76 0 389.76
2013-10-03 385.62 385.62 385.62 385.62 0 385.62
2013-10-04 385.79 385.79 385.79 385.79 0 385.79
2013-10-07 381.79 381.79 381.79 381.79 0 381.79
2013-10-08 376.78 376.78 376.78 376.78 0 376.78
2013-10-09 376.26 376.26 376.26 376.26 0 376.26
2013-10-10 382.29 382.29 382.29 382.29 0 382.29
2013-10-11 387.42 387.42 387.42 387.42 0 387.42
2013-10-14 386.68 386.68 386.68 386.68 0 386.68
2013-10-15 380.45 380.45 380.45 380.45 0 380.45
2013-10-16 381.84 381.84 381.84 381.84 0 381.84
2013-10-17 380.37 380.37 380.37 380.37 0 380.37
2013-10-18 382.45 382.45 382.45 382.45 0 382.45
2013-10-21 381.47 381.47 381.47 381.47 0 381.47
2013-10-22 385.58 385.58 385.58 385.58 0 385.58
2013-10-23 383.14 383.14 383.14 383.14 0 383.14
2013-10-24 380.32 380.32 380.32 380.32 0 380.32
2013-10-25 383.78 383.78 383.78 383.78 0 383.78
2013-10-28 388.11 388.11 388.11 388.11 0 388.11
2013-10-29 389.62 389.62 389.62 389.62 0 389.62
2013-10-30 387.85 387.85 387.85 387.85 0 387.85
2013-10-31 387.92 387.92 387.92 387.92 0 387.92
2013-11-01 388.61 388.61 388.61 388.61 0 388.61
2013-11-04 388.36 388.36 388.36 388.36 0 388.36
2013-11-05 381.78 381.78 381.78 381.78 0 381.78
2013-11-06 381.53 381.53 381.53 381.53 0 381.53
2013-11-07 378.99 378.99 378.99 378.99 0 378.99
2013-11-08 377.52 377.52 377.52 377.52 0 377.52
2013-11-11 375.82 375.82 375.82 375.82 0 375.82
2013-11-12 375.39 375.39 375.39 375.39 0 375.39
2013-11-13 377.08 377.08 377.08 377.08 0 377.08
2013-11-14 382.17 382.17 382.17 382.17 0 382.17
2013-11-15 388.98 388.98 388.98 388.98 0 388.98
2013-11-18 388.98 388.98 388.98 388.98 0 388.98
2013-11-19 385.62 385.62 385.62 385.62 0 385.62
2013-11-20 386.86 386.86 386.86 386.86 0 386.86
2013-11-21 388.6 388.6 388.6 388.6 0 388.6
2013-11-22 390.34 390.34 390.34 390.34 0 390.34
2013-11-25 387.94 387.94 387.94 387.94 0 387.94
2013-11-26 388.31 388.31 388.31 388.31 0 388.31
2013-11-27 396.37 396.37 396.37 396.37 0 396.37
2013-11-28 399.18 399.18 399.18 399.18 0 399.18
2013-11-29 402.63 402.63 402.63 402.63 0 402.63
2013-12-02 399.39 399.39 399.39 399.39 0 399.39
2013-12-03 397.01 397.01 397.01 397.01 0 397.01
2013-12-04 398.29 398.29 398.29 398.29 0 398.29
2013-12-05 397.7 397.7 397.7 397.7 0 397.7
2013-12-06 397.98 397.98 397.98 397.98 0 397.98
2013-12-09 401.39 401.39 401.39 401.39 0 401.39
2013-12-10 403.19 403.19 403.19 403.19 0 403.19
2013-12-11 401.58 401.58 401.58 401.58 0 401.58
2013-12-12 401.58 401.58 401.58 401.58 0 401.58
2013-12-13 398.28 398.28 398.28 398.28 0 398.28
2013-12-16 399.65 399.65 399.65 399.65 0 399.65
2013-12-17 396.93 396.93 396.93 396.93 0 396.93
2013-12-18 400.05 400.05 400.05 400.05 0 400.05
2013-12-19 401.15 401.15 401.15 401.15 0 401.15
2013-12-20 401.02 401.02 401.02 401.02 0 401.02
2013-12-23 404.85 404.85 404.85 404.85 0 404.85
2013-12-24 405.71 405.71 405.71 405.71 0 405.71
2013-12-25 405.71 405.71 405.71 405.71 0 405.71
2013-12-26 405.36 405.36 405.36 405.36 0 405.36
2013-12-27 407.59 407.59 407.59 407.59 0 407.59
2013-12-30 409.57 409.57 409.57 409.57 0 409.57
2013-12-31 407.42 407.42 407.42 407.42 0 407.42
2014-01-01 407.42 407.42 407.42 407.42 0 407.42
2014-01-02 402.47 402.47 402.47 402.47 0 402.47
2014-01-03 401.34 401.34 401.34 401.34 0 401.34
2014-01-06 396.4 396.4 396.4 396.4 0 396.4
2014-01-07 398.79 398.79 398.79 398.79 0 398.79
2014-01-08 396.44 396.44 396.44 396.44 0 396.44
2014-01-09 396.95 396.95 396.95 396.95 0 396.95
2014-01-10 405.3 405.3 405.3 405.3 0 405.3
2014-01-13 402.48 402.48 402.48 402.48 0 402.48
2014-01-14 405.14 405.14 405.14 405.14 0 405.14
2014-01-15 405.79 405.79 405.79 405.79 0 405.79
2014-01-16 402.66 402.66 402.66 402.66 0 402.66
2014-01-17 400.31 400.31 400.31 400.31 0 400.31
2014-01-20 400.82 400.82 400.82 400.82 0 400.82
2014-01-21 399.51 399.51 399.51 399.51 0 399.51
2014-01-22 401.7 401.7 401.7 401.7 0 401.7
2014-01-23 396.82 396.82 396.82 396.82 0 396.82
2014-01-24 391.59 391.59 391.59 391.59 0 391.59
2014-01-27 390.41 390.41 390.41 390.41 0 390.41
2014-01-28 388.53 388.53 388.53 388.53 0 388.53
2014-01-29 388.83 388.83 388.83 388.83 0 388.83
2014-01-30 391.87 391.87 391.87 391.87 0 391.87
2014-01-31 390.73 390.73 390.73 390.73 0 390.73
2014-02-03 390.73 390.73 390.73 390.73 0 390.73
2014-02-04 383.27 383.27 383.27 383.27 0 383.27
