"Index" "USD.INR"
2014-11-19 61.8523
2014-11-20 61.9537
2014-11-21 61.7012
2014-11-22 61.6015
2014-11-23 61.6015
2014-11-24 61.7468
2014-11-25 61.8284
2014-11-26 61.7885
2014-11-27 61.7461
2014-11-28 61.9387
2014-11-29 62.1625
2014-11-30 62.1625
2014-12-01 62.0485
2014-12-02 61.8371
2014-12-03 61.8125
2014-12-04 61.8022
2014-12-05 61.7889
2014-12-06 61.9455
2014-12-07 61.9455
2014-12-08 61.8973
2014-12-09 61.9025
2014-12-10 62.0463
2014-12-11 62.3137
2014-12-12 62.4489
2014-12-13 62.6245
2014-12-14 62.6245
2014-12-15 63.0133
2014-12-16 63.8042
2014-12-17 63.8549
2014-12-18 63.301
2014-12-19 63.2825
2014-12-20 63.4845
2014-12-21 63.4845
2014-12-22 63.3944
2014-12-23 63.5118
2014-12-24 63.5884
2014-12-25 63.5885
2014-12-26 63.7188
2014-12-27 63.8015
2014-12-28 63.8015
2014-12-29 63.8234
2014-12-30 63.6595
2014-12-31 63.3574
2015-01-01 63.3285
2015-01-02 63.3995
2015-01-03 63.3365
2015-01-04 63.3365
2015-01-05 63.4885
2015-01-06 63.555
2015-01-07 63.4985
2015-01-08 62.8882
2015-01-09 62.351
2015-01-10 62.1695
2015-01-11 62.1695
2015-01-12 62.1816
2015-01-13 62.1356
2015-01-14 62.1916
2015-01-15 61.8624
2015-01-16 61.8561
2015-01-17 61.6585
2015-01-18 61.6585
2015-01-19 61.7283
2015-01-20 61.81
2015-01-21 61.625
2015-01-22 61.5113
2015-01-23 61.3843
2015-01-24 61.3785
2015-01-25 61.3785
2015-01-26 61.4467
2015-01-27 61.384
2015-01-28 61.3522
2015-01-29 61.5917
2015-01-30 61.8976
2015-01-31 62.0775
2015-02-01 62.0775
2015-02-02 61.8965
2015-02-03 61.7144
2015-02-04 61.7429
2015-02-05 61.8036
2015-02-06 61.8186
2015-02-07 62.0195
2015-02-08 62.0195
2015-02-09 62.1293
2015-02-10 62.2074
2015-02-11 62.3785
2015-02-12 62.3243
2015-02-13 62.1346
2015-02-14 62.1075
2015-02-15 62.1075
2015-02-16 62.1878
2015-02-17 62.2185
2015-02-18 62.2489
2015-02-19 62.1535
2015-02-20 62.2397
2015-02-21 62.1535
2015-02-22 62.1535
2015-02-23 62.2023
2015-02-24 62.2031
2015-02-25 61.9823
2015-02-26 61.8315
2015-02-27 61.7533
2015-02-28 61.5815
2015-03-01 61.5815
2015-03-02 61.8472
2015-03-03 61.8478
2015-03-04 62.0626
2015-03-05 62.2994
2015-03-06 62.4201
2015-03-07 62.7095
2015-03-08 62.7095
2015-03-09 62.6495
2015-03-10 62.7153
2015-03-11 62.7545
2015-03-12 62.5038
2015-03-13 62.7155
2015-03-14 62.9805
2015-03-15 62.9805
2015-03-16 62.837
2015-03-17 62.7144
2015-03-18 62.6396
2015-03-19 62.478
2015-03-20 62.4551
2015-03-21 62.3325
2015-03-22 62.3325
2015-03-23 62.2956
2015-03-24 62.293
2015-03-25 62.4354
2015-03-26 62.7605
2015-03-27 62.7231
2015-03-28 62.7095
2015-03-29 62.7095
2015-03-30 62.6044
2015-03-31 62.5017
2015-04-01 62.2622
2015-04-02 62.1736
2015-04-03 62.0786
2015-04-04 62.016
2015-04-05 62.016
2015-04-06 62.1515
2015-04-07 62.3135
2015-04-08 62.2697
2015-04-09 62.1881
2015-04-10 62.2839
2015-04-11 62.242
2015-04-12 62.242
2015-04-13 62.3859
2015-04-14 62.3722
2015-04-15 62.3807
2015-04-16 62.2997
2015-04-17 62.2808
2015-04-18 62.411
2015-04-19 62.411
2015-04-20 62.7287
2015-04-21 62.9518
2015-04-22 62.9167
2015-04-23 63.1534
2015-04-24 63.4837
2015-04-25 63.715
2015-04-26 63.715
2015-04-27 63.5806
2015-04-28 63.3122
2015-04-29 63.3241
2015-04-30 63.5697
2015-05-01 63.6703
2015-05-02 63.732
