"Index" "USD.THB"
2015-05-09 33.5425
2015-05-10 33.5425
2015-05-11 33.6415
2015-05-12 33.7626
2015-05-13 33.6195
2015-05-14 33.4778
2015-05-15 33.5323
2015-05-16 33.4715
2015-05-17 33.4715
2015-05-18 33.4288
2015-05-19 33.4374
2015-05-20 33.5647
2015-05-21 33.4663
2015-05-22 33.4219
2015-05-23 33.485
2015-05-24 33.485
2015-05-25 33.5481
2015-05-26 33.6881
2015-05-27 33.7909
2015-05-28 33.7829
2015-05-29 33.7097
2015-05-30 33.699
2015-05-31 33.699
2015-06-01 33.6937
2015-06-02 33.7451
2015-06-03 33.6835
2015-06-04 33.7179
2015-06-05 33.7958
2015-06-06 33.89
2015-06-07 33.89
2015-06-08 33.8359
2015-06-09 33.7317
2015-06-10 33.6646
2015-06-11 33.6838
2015-06-12 33.6989
2015-06-13 33.658
2015-06-14 33.658
2015-06-15 33.7034
2015-06-16 33.6928
2015-06-17 33.7009
2015-06-18 33.6305
2015-06-19 33.6594
2015-06-20 33.6415
2015-06-21 33.6415
2015-06-22 33.6602
2015-06-23 33.7419
2015-06-24 33.7835
2015-06-25 33.7761
2015-06-26 33.7845
2015-06-27 33.793
2015-06-28 33.793
2015-06-29 33.8238
2015-06-30 33.7798
2015-07-01 33.7995
2015-07-02 33.7968
2015-07-03 33.7805
2015-07-04 33.764
2015-07-05 33.764
2015-07-06 33.8338
2015-07-07 33.932
2015-07-08 33.9932
2015-07-09 33.947
2015-07-10 33.9363
2015-07-11 33.951
2015-07-12 33.951
2015-07-13 33.9962
2015-07-14 34.0398
2015-07-15 34.0954
2015-07-16 34.2001
2015-07-17 34.1904
2015-07-18 34.232
2015-07-19 34.232
2015-07-20 34.3665
2015-07-21 34.46
2015-07-22 34.6108
2015-07-23 34.7854
2015-07-24 34.8886
2015-07-25 34.895
2015-07-26 34.895
2015-07-27 34.8663
2015-07-28 34.8713
2015-07-29 34.9186
2015-07-30 35.0919
2015-07-31 35.103
2015-08-01 35.011
2015-08-02 35.011
2015-08-03 35.0579
2015-08-04 35.0743
2015-08-05 35.1323
2015-08-06 35.1608
2015-08-07 35.1501
2015-08-08 35.1465
2015-08-09 35.1465
2015-08-10 35.1295
2015-08-11 35.2948
2015-08-12 35.3594
2015-08-13 35.2215
2015-08-14 35.2374
2015-08-15 35.2635
2015-08-16 35.2635
2015-08-17 35.3995
2015-08-18 35.5685
2015-08-19 35.5812
2015-08-20 35.5833
2015-08-21 35.6469
2015-08-22 35.6925
2015-08-23 35.6925
2015-08-24 35.723
2015-08-25 35.5679
2015-08-26 35.6245
2015-08-27 35.6526
2015-08-28 35.8099
2015-08-29 35.834
2015-08-30 35.834
2015-08-31 35.8499
2015-09-01 35.7547
2015-09-02 35.7483
2015-09-03 35.8343
2015-09-04 35.8808
2015-09-05 35.981
2015-09-06 35.981
2015-09-07 36.0638
2015-09-08 36.1358
2015-09-09 36.0659
2015-09-10 36.1399
2015-09-11 36.0662
2015-09-12 36.032
2015-09-13 36.032
2015-09-14 36.0512
2015-09-15 35.9706
2015-09-16 35.9445
2015-09-17 35.7819
