"Index" "XAU.USD"
2015-02-22 1201.62
2015-02-23 1200.75
2015-02-24 1199.965
2015-02-25 1206.625
2015-02-26 1210.47
2015-02-27 1210.565
2015-02-28 1213.135
2015-03-01 1213.14
2015-03-02 1215.335
2015-03-03 1207.135
2015-03-04 1204.47
2015-03-05 1202.015
2015-03-06 1189.845
2015-03-07 1167.31
2015-03-08 1167.335
2015-03-09 1170.585
2015-03-10 1163.67
2015-03-11 1159.235
2015-03-12 1155.66
2015-03-13 1156.7
2015-03-14 1158.6
2015-03-15 1158.6
2015-03-16 1157.21
2015-03-17 1153.165
2015-03-18 1152.22
2015-03-19 1169.335
2015-03-20 1175.09
2015-03-21 1182.61
2015-03-22 1182.61
2015-03-23 1184.755
2015-03-24 1190.085
2015-03-25 1193.47
2015-03-26 1202.975
2015-03-27 1201.14
2015-03-28 1198.81
2015-03-29 1198.81
2015-03-30 1190.315
2015-03-31 1184.375
2015-04-01 1191.375
2015-04-02 1202.73
2015-04-03 1203.195
2015-04-04 1203.21
2015-04-05 1203.21
2015-04-06 1217.805
2015-04-07 1212.105
2015-04-08 1207.78
2015-04-09 1197.445
2015-04-10 1200.845
2015-04-11 1207.75
2015-04-12 1207.75
2015-04-13 1202.915
2015-04-14 1195.295
2015-04-15 1194.725
2015-04-16 1203.215
2015-04-17 1202.12
2015-04-18 1204.42
2015-04-19 1204.42
2015-04-20 1201.06
2015-04-21 1197.9
2015-04-22 1197.415
2015-04-23 1189.895
2015-04-24 1188.09
2015-04-25 1179.48
2015-04-26 1179.48
2015-04-27 1188.415
2015-04-28 1204.905
2015-04-29 1209.215
2015-04-30 1196.97
2015-05-01 1179.74
2015-05-02 1178.465
2015-05-03 1178.465
2015-05-04 1184.625
2015-05-05 1190.795
2015-05-06 1193.165
2015-05-07 1186.145
2015-05-08 1186.08
2015-05-09 1188.41
2015-05-10 1188.41
2015-05-11 1187.09
2015-05-12 1188.24
2015-05-13 1200.835
2015-05-14 1217.815
2015-05-15 1220.415
2015-05-16 1224.065
2015-05-17 1224.065
2015-05-18 1226.145
2015-05-19 1217.815
2015-05-20 1209.02
2015-05-21 1208.705
2015-05-22 1207.68
2015-05-23 1205.975
2015-05-24 1205.975
2015-05-25 1205.26
2015-05-26 1196.94
2015-05-27 1187.7
2015-05-28 1188.19
2015-05-29 1189.565
2015-05-30 1190.425
2015-05-31 1190.425
2015-06-01 1190.69
2015-06-02 1190.225
2015-06-03 1190.445
2015-06-04 1181.385
2015-06-05 1174.16
2015-06-06 1172.015
2015-06-07 1172.015
2015-06-08 1173.26
2015-06-09 1177.325
2015-06-10 1183.235
2015-06-11 1183.295
2015-06-12 1181.52
2015-06-13 1181.695
2015-06-14 1181.695
2015-06-15 1182.52
2015-06-16 1183.645
2015-06-17 1180.465
2015-06-18 1194.075
2015-06-19 1200.995
2015-06-20 1200.3
2015-06-21 1200.3
2015-06-22 1193.29
2015-06-23 1182.85
2015-06-24 1176.45
2015-06-25 1174.965
2015-06-26 1174.065
2015-06-27 1175.385
2015-06-28 1175.385
2015-06-29 1180.42
2015-06-30 1175.38
2015-07-01 1171.95
2015-07-02 1165.86
2015-07-03 1167.87
2015-07-04 1168.905
2015-07-05 1168.905
2015-07-06 1168.405
2015-07-07 1163.85
2015-07-08 1156.27
2015-07-09 1161.095
2015-07-10 1161.385
2015-07-11 1163.645
2015-07-12 1163.645
2015-07-13 1158.695
2015-07-14 1155.68
2015-07-15 1152.99
2015-07-16 1146.405
2015-07-17 1140.9
2015-07-18 1134.47
2015-07-19 1134.47
2015-07-20 1113.835
2015-07-21 1103.87
2015-07-22 1095.145
2015-07-23 1096.775
2015-07-24 1086.52
2015-07-25 1099.535
2015-07-26 1099.535
2015-07-27 1097.405
2015-07-28 1095.105
2015-07-29 1096.37
2015-07-30 1090.895
2015-07-31 1088.54
2015-08-01 1095.57
2015-08-02 1095.57
2015-08-03 1092.745
2015-08-04 1088.38
2015-08-05 1086.54
2015-08-06 1086.97
2015-08-07 1091.58
2015-08-08 1094.175
2015-08-09 1094.175
2015-08-10 1097.445
2015-08-11 1106.415
2015-08-12 1116.19
2015-08-13 1119.325
2015-08-14 1115.585
2015-08-15 1114.92
2015-08-16 1114.92
2015-08-17 1117.285
2015-08-18 1117.85
2015-08-19 1122.775
2015-08-20 1141.605
2015-08-21 1157.34
2015-08-22 1161.11
2015-08-23 1161.11
2015-08-24 1158.27
2015-08-25 1147.955
2015-08-26 1133.06
2015-08-27 1125.445
2015-08-28 1130.39
2015-08-29 1133.745
2015-08-30 1133.745
2015-08-31 1133
2015-09-01 1140.495
2015-09-02 1138.015
2015-09-03 1129.76
2015-09-04 1123.645
2015-09-05 1121.58
2015-09-06 1121.58
2015-09-07 1121.25
2015-09-08 1121.525
2015-09-09 1117.735
2015-09-10 1108.56
2015-09-11 1108.245
2015-09-12 1107.765
2015-09-13 1107.765
2015-09-14 1107.6
2015-09-15 1106.65
2015-09-16 1110.93
2015-09-17 1120.715
2015-09-18 1133.905
2015-09-19 1139.06
2015-09-20 1139.06
2015-09-21 1136.095
2015-09-22 1130.185
2015-09-23 1127.66
2015-09-24 1140.305
2015-09-25 1146.915
2015-09-26 1146.23
2015-09-27 1146.23
2015-09-28 1138.955
2015-09-29 1129.98
2015-09-30 1121.735
2015-10-01 1114.805
