"Index" "EW.Open" "EW.High" "EW.Low" "EW.Close" "EW.Volume" "EW.Adjusted"
2014-09-04 98.059998 98.860001 97.589996 98.440002 774300 98.440002
2014-09-05 98.290001 99.040001 98.120003 98.93 836400 98.93
2014-09-08 98.610001 99.279999 98.480003 98.910004 1352800 98.910004
2014-09-09 98.809998 99.75 98.379997 99.059998 744000 99.059998
2014-09-10 99.470001 100.739998 98.860001 100.510002 781300 100.510002
2014-09-11 100.739998 101.5 100.440002 101.18 687700 101.18
2014-09-12 100.900002 100.989998 99.379997 99.68 968800 99.68
2014-09-15 100.029999 101.879997 99.330002 101.389999 1127400 101.389999
2014-09-16 101.379997 101.529999 100.220001 101 950500 101
2014-09-17 101.099998 102.900002 101.010002 102.459999 630800 102.459999
2014-09-18 102.480003 103.459999 102.139999 103.32 577500 103.32
2014-09-19 103.739998 104.660004 103.239998 104.019997 1437500 104.019997
2014-09-22 103.870003 104.690002 103.639999 103.989998 653400 103.989998
2014-09-23 102.599998 104.139999 102.599998 103.190002 658500 103.190002
2014-09-24 103.190002 103.669998 102.620003 103.589996 575100 103.589996
2014-09-25 104.029999 104.139999 102.650002 102.650002 555300 102.650002
2014-09-26 102.650002 103 102.25 102.75 522700 102.75
2014-09-29 102.190002 103.370003 102.07 103.169998 540000 103.169998
2014-09-30 103.459999 103.57 102.129997 102.150002 456800 102.150002
2014-10-01 102.309998 103.669998 101.760002 103.389999 989800 103.389999
2014-10-02 103.260002 104.459999 102.849998 104.279999 707000 104.279999
2014-10-03 104.730003 106.489998 104.620003 106.18 709000 106.18
2014-10-06 107 108.730003 106.629997 106.910004 861500 106.910004
2014-10-07 106.400002 106.82 105.720001 106.010002 725100 106.010002
2014-10-08 106.349998 106.790001 105.660004 106.690002 852600 106.690002
2014-10-09 106.830002 108.050003 105.599998 105.669998 813700 105.669998
2014-10-10 105.910004 107.449997 104.550003 104.589996 714500 104.589996
2014-10-13 104.760002 105.480003 103.220001 103.330002 711100 103.330002
2014-10-14 104 104.959999 101.830002 102.470001 1124600 102.470001
2014-10-15 101.400002 101.75 98.879997 100.010002 1317400 100.010002
2014-10-16 98.18 99.080002 97.07 98.029999 1262400 98.029999
2014-10-17 98.800003 100.43 98.300003 99 1165600 99
2014-10-20 99.059998 101.919998 98.690002 101.870003 902800 101.870003
2014-10-21 102.269997 106.169998 102.269997 105.809998 872000 105.809998
2014-10-22 106.220001 106.660004 104.389999 105.260002 834500 105.260002
2014-10-23 105.650002 107.870003 104.440002 105.190002 1471200 105.190002
2014-10-24 113.5 117.940002 113.220001 116.760002 2819400 116.760002
2014-10-27 116.559998 117.5 115.559998 117.019997 1388300 117.019997
2014-10-28 117.050003 118.839996 116.029999 118.279999 998500 118.279999
2014-10-29 118.25 120.120003 118.010002 120 1391200 120
2014-10-30 119.629997 120.510002 119.059998 120.279999 659800 120.279999
2014-10-31 121.580002 122 120.290001 120.919998 639800 120.919998
2014-11-03 120.870003 121.029999 119.769997 119.93 816500 119.93
2014-11-04 120.099998 120.830002 119.309998 119.779999 1078300 119.779999
2014-11-05 120.260002 121.199997 118.889999 121.099998 890800 121.099998
2014-11-06 120.720001 123.68 120.580002 123.57 793800 123.57
2014-11-07 123.339996 123.339996 121.93 122.760002 1045700 122.760002
2014-11-10 122.760002 124.599998 122.730003 124.599998 682500 124.599998
2014-11-11 124.980003 125.349998 124.160004 124.790001 423200 124.790001
2014-11-12 124.589996 124.589996 122.440002 122.949997 995900 122.949997
2014-11-13 122.910004 124.860001 122.910004 124.550003 741000 124.550003
2014-11-14 124.18 124.940002 123.260002 124.5 786300 124.5
2014-11-17 124.470001 126.620003 124.349998 126.230003 714800 126.230003
2014-11-18 126.519997 127.959999 126.050003 127.879997 485400 127.879997
2014-11-19 127.459999 127.480003 124.93 125.589996 761400 125.589996
2014-11-20 124.260002 125.480003 122.900002 125.389999 549100 125.389999
2014-11-21 126.199997 126.900002 123.239998 123.5 993200 123.5
2014-11-24 124.720001 127.970001 123.839996 127.519997 1536800 127.519997
2014-11-25 127.699997 128.899994 127.32 127.57 912000 127.57
2014-11-26 127.75 129.270004 127.220001 129.160004 666700 129.160004
2014-11-28 129.580002 131.270004 129.089996 129.679993 307500 129.679993
2014-12-01 129.589996 131.070007 128.300003 129.389999 612500 129.389999
2014-12-02 130.350006 132.600006 129.399994 132.399994 826900 132.399994
2014-12-03 132.649994 132.800003 131.160004 131.460007 664600 131.460007
2014-12-04 131.059998 132 129.789993 130 825300 130
2014-12-05 130 130.119995 129.440002 129.710007 1270800 129.710007
2014-12-08 130 134.289993 130 132.130005 1943000 132.130005
2014-12-09 131.119995 134 131.009995 133.479996 1389500 133.479996
2014-12-10 133.949997 133.949997 130.110001 130.369995 952700 130.369995
2014-12-11 131.050003 133.440002 130.759995 132.070007 1260100 132.070007
2014-12-12 130.960007 132.279999 128.809998 128.869995 944200 128.869995
2014-12-15 129.919998 130.089996 126.730003 127.010002 1578200 127.010002
2014-12-16 126.669998 128.570007 125.339996 125.440002 1063600 125.440002
2014-12-17 125.959999 130.009995 125.620003 129.740005 1311000 129.740005
2014-12-18 130.960007 131.429993 129.889999 131.399994 1294400 131.399994
2014-12-19 132.139999 133.75 131.729996 133.210007 1515400 133.210007
2014-12-22 133.240005 134.240005 131.5 132.470001 706400 132.470001
2014-12-23 133.25 133.320007 128.449997 129.580002 645000 129.580002
2014-12-24 129.759995 131.559998 129.619995 130.75 247900 130.75
2014-12-26 130.929993 131.240005 129.559998 129.899994 256700 129.899994
2014-12-29 129.190002 129.889999 128.100006 129.419998 383900 129.419998
2014-12-30 129.529999 130.690002 129.110001 129.270004 403600 129.270004
2014-12-31 129.690002 130.600006 127.199997 127.379997 415000 127.379997
2015-01-02 128.190002 129.809998 126.610001 127.720001 607600 127.720001
2015-01-05 126.599998 129.220001 126.5 127.779999 639300 127.779999
2015-01-06 126.970001 128.820007 125.410004 127.019997 831400 127.019997
2015-01-07 128.199997 130.490005 127.269997 130 775400 130
2015-01-08 131.020004 133.470001 130.559998 133.149994 1157600 133.149994
2015-01-09 133.149994 134 132.089996 133.160004 840800 133.160004
2015-01-12 133.729996 136.279999 132.850006 135.289993 1136100 135.289993
2015-01-13 136.339996 137.190002 132.639999 133.619995 747200 133.619995
2015-01-14 131.669998 133.059998 131.020004 131.669998 780100 131.669998
2015-01-15 131.669998 133.119995 128.470001 128.589996 1273600 128.589996
2015-01-16 128.369995 129.270004 127.169998 129.160004 988200 129.160004
2015-01-20 130.270004 131.880005 128.020004 128.460007 980200 128.460007
2015-01-21 128.399994 129.449997 127.540001 128.880005 887900 128.880005
2015-01-22 129.770004 130.880005 127.559998 130.339996 1159700 130.339996
2015-01-23 130.619995 130.880005 129.5 129.630005 769700 129.630005
2015-01-26 129.5 130.380005 128.820007 130.139999 998700 130.139999
2015-01-27 129.169998 130.449997 128.289993 129.380005 545600 129.380005
2015-01-28 129.979996 131.100006 128.75 128.869995 629200 128.869995
2015-01-29 128.910004 129.619995 127.809998 129.279999 784500 129.279999
2015-01-30 128.509995 128.960007 124.690002 125.349998 2081400 125.349998
2015-02-02 125.690002 127.389999 124.559998 125.480003 1539700 125.480003
2015-02-03 126.370003 127.519997 123.970001 127 1406300 127
2015-02-04 129.059998 137.580002 128.520004 134.850006 2069900 134.850006
2015-02-05 135 136.869995 134.630005 134.830002 1056100 134.830002
2015-02-06 134.789993 136.75 131.949997 132.619995 1301200 132.619995
