"Index" "USD.RUB"
2013-09-10 33.0756
2013-09-11 32.8748
2013-09-12 32.7209
2013-09-13 32.6081
2013-09-14 32.4591
2013-09-15 32.4651
2013-09-16 32.322
2013-09-17 32.2934
2013-09-18 32.2026
2013-09-19 31.6801
2013-09-20 31.7541
2013-09-21 31.8501
2013-09-22 31.863
2013-09-23 31.8582
2013-09-24 31.8554
2013-09-25 31.9973
2013-09-26 32.1894
2013-09-27 32.3441
2013-09-28 32.3441
2013-09-29 32.3323
2013-09-30 32.4215
2013-10-01 32.3098
2013-10-02 32.2391
2013-10-03 32.159
2013-10-04 32.1629
2013-10-05 32.189
2013-10-06 32.189
2013-10-07 32.2362
2013-10-08 32.2915
2013-10-09 32.3718
2013-10-10 32.2909
2013-10-11 32.2357
2013-10-12 32.2494
2013-10-13 32.2494
2013-10-14 32.2754
2013-10-15 32.2778
2013-10-16 32.2134
2013-10-17 32.0185
2013-10-18 31.8676
2013-10-19 31.8569
2013-10-20 31.8569
2013-10-21 31.9057
2013-10-22 31.8686
2013-10-23 31.7403
2013-10-24 31.7154
2013-10-25 31.742
2013-10-26 31.7828
2013-10-27 31.8095
2013-10-28 31.8429
2013-10-29 31.988
2013-10-30 32.0349
2013-10-31 32.0556
2013-11-01 32.2206
2013-11-02 32.4531
2013-11-03 32.4531
2013-11-04 32.3921
2013-11-05 32.4263
2013-11-06 32.4427
2013-11-07 32.3891
2013-11-08 32.5519
2013-11-09 32.6712
2013-11-10 32.6712
2013-11-11 32.7124
2013-11-12 32.8607
2013-11-13 32.8438
2013-11-14 32.7107
2013-11-15 32.6631
2013-11-16 32.6631
2013-11-17 32.5677
2013-11-18 32.5447
2013-11-19 32.6543
2013-11-20 32.8055
2013-11-21 32.9617
2013-11-22 32.8752
2013-11-23 32.754
2013-11-24 32.742
2013-11-25 32.9038
2013-11-26 32.9552
2013-11-27 33.0411
2013-11-28 33.1621
2013-11-29 33.1568
2013-11-30 33.1568
2013-12-01 33.16
2013-12-02 33.1987
2013-12-03 33.2452
2013-12-04 33.2346
2013-12-05 33.0803
2013-12-06 32.888
2013-12-07 32.766
2013-12-08 32.7563
2013-12-09 32.7586
2013-12-10 32.7236
2013-12-11 32.7361
2013-12-12 32.771
2013-12-13 32.8439
2013-12-14 32.875
2013-12-15 32.875
2013-12-16 32.8835
2013-12-17 32.9186
2013-12-18 32.9341
2013-12-19 32.9295
2013-12-20 32.9944
2013-12-21 32.9925
2013-12-22 32.9921
2013-12-23 32.777
2013-12-24 32.653
2013-12-25 32.6538
2013-12-26 32.667
2013-12-27 32.6123
2013-12-28 32.6123
2013-12-29 32.601
2013-12-30 32.7855
