"Index" "PA.Open" "PA.High" "PA.Low" "PA.Close" "PA.Volume" "PA.Adjusted"
2013-09-02 0.037 0.037 0.037 0.037 3e+05 0.037
2013-09-03 0.035 0.035 0.035 0.035 6e+05 0.035
2013-09-04 0.034 0.037 0.033 0.037 1900000 0.037
2013-09-05 0.033 0.034 0.033 0.034 1600000 0.034
2013-09-06 0.034 0.034 0.034 0.034 1e+05 0.034
2013-09-09 0.033 0.033 0.031 0.033 1800000 0.033
2013-09-10 0.033 0.033 0.033 0.033 1e+05 0.033
2013-09-11 0.032 0.035 0.032 0.035 3e+05 0.035
2013-09-12 0.035 0.035 0.035 0.035 0 0.035
2013-09-13 0.032 0.034 0.032 0.034 2e+05 0.034
2013-09-16 0.034 0.034 0.034 0.034 0 0.034
2013-09-17 0.034 0.034 0.034 0.034 0 0.034
2013-09-18 0.031 0.033 0.03 0.033 1200000 0.033
2013-09-19 0.033 0.033 0.033 0.033 0 0.033
2013-09-20 0.033 0.033 0.033 0.033 0 0.033
2013-09-23 0.033 0.033 0.033 0.033 0 0.033
2013-09-24 0.033 0.033 0.033 0.033 0 0.033
2013-09-25 0.033 0.033 0.033 0.033 0 0.033
2013-09-26 0.03 0.03 0.03 0.03 8e+05 0.03
2013-09-27 0.03 0.032 0.03 0.032 7800000 0.032
2013-09-30 0.032 0.032 0.03 0.03 3200000 0.03
2013-10-01 0.03 0.03 0.03 0.03 0 0.03
2013-10-02 0.03 0.03 0.029 0.029 2500000 0.029
2013-10-03 0.033 0.033 0.029 0.029 2700000 0.029
2013-10-04 0.029 0.029 0.029 0.029 3e+05 0.029
2013-10-07 0.03 0.03 0.03 0.03 1e+05 0.03
2013-10-08 0.03 0.03 0.03 0.03 9e+05 0.03
2013-10-09 0.03 0.03 0.03 0.03 0 0.03
2013-10-10 0.03 0.03 0.03 0.03 0 0.03
2013-10-11 0.027 0.03 0.027 0.03 2e+05 0.03
2013-10-14 0.03 0.03 0.03 0.03 0 0.03
2013-10-15 0.03 0.03 0.03 0.03 0 0.03
2013-10-16 0.03 0.03 0.03 0.03 0 0.03
2013-10-17 0.03 0.03 0.03 0.03 0 0.03
2013-10-18 0.028 0.028 0.028 0.028 1600000 0.028
2013-10-21 0.028 0.028 0.028 0.028 1e+05 0.028
2013-10-22 0.028 0.028 0.028 0.028 0 0.028
2013-10-23 0.028 0.028 0.028 0.028 1e+05 0.028
2013-10-24 0.028 0.028 0.028 0.028 4e+05 0.028
2013-10-25 0.028 0.028 0.028 0.028 0 0.028
2013-10-28 0.028 0.028 0.028 0.028 0 0.028
2013-10-29 0.028 0.028 0.028 0.028 5e+05 0.028
2013-10-30 0.028 0.028 0.028 0.028 0 0.028
2013-10-31 0.028 0.028 0.028 0.028 3e+05 0.028
2013-11-01 0.028 0.028 0.028 0.028 0 0.028
2013-11-04 0.028 0.028 0.028 0.028 0 0.028
2013-11-05 0.027 0.027 0.027 0.027 1500000 0.027
2013-11-06 0.028 0.028 0.028 0.028 2e+05 0.028
2013-11-07 0.028 0.028 0.028 0.028 0 0.028
2013-11-08 0.029 0.031 0.027 0.027 2400000 0.027
2013-11-11 0.027 0.027 0.027 0.027 0 0.027
2013-11-12 0.027 0.027 0.027 0.027 0 0.027
2013-11-13 0.027 0.027 0.027 0.027 0 0.027
2013-11-14 0.027 0.027 0.027 0.027 0 0.027
2013-11-15 0.028 0.028 0.028 0.028 3e+05 0.028
2013-11-18 0.028 0.028 0.028 0.028 0 0.028
2013-11-19 0.028 0.028 0.028 0.028 0 0.028
2013-11-20 0.028 0.028 0.028 0.028 0 0.028
2013-11-21 0.028 0.028 0.028 0.028 0 0.028
2013-11-22 0.029 0.03 0.029 0.03 4e+05 0.03
2013-11-25 0.03 0.03 0.03 0.03 0 0.03
2013-11-26 0.03 0.03 0.03 0.03 0 0.03
2013-11-27 0.03 0.03 0.03 0.03 0 0.03
2013-11-28 0.029 0.029 0.029 0.029 1e+05 0.029
2013-11-29 0.029 0.029 0.029 0.029 0 0.029
2013-12-02 0.029 0.029 0.029 0.029 0 0.029
2013-12-03 0.029 0.029 0.029 0.029 0 0.029
2013-12-04 0.029 0.029 0.029 0.029 1e+05 0.029
2013-12-05 0.029 0.029 0.029 0.029 0 0.029
2013-12-06 0.029 0.029 0.029 0.029 0 0.029
2013-12-09 0.029 0.029 0.029 0.029 0 0.029
2013-12-10 0.029 0.029 0.029 0.029 0 0.029
2013-12-11 0.029 0.029 0.029 0.029 5e+05 0.029
2013-12-12 0.029 0.029 0.029 0.029 0 0.029
2013-12-13 0.029 0.03 0.029 0.03 8e+05 0.03
2013-12-16 0.03 0.03 0.03 0.03 0 0.03
2013-12-17 0.03 0.03 0.03 0.03 0 0.03
2013-12-18 0.03 0.03 0.03 0.03 0 0.03
2013-12-19 0.03 0.03 0.03 0.03 0 0.03
2013-12-20 0.029 0.029 0.029 0.029 1e+05 0.029
2013-12-23 0.029 0.029 0.029 0.029 0 0.029
2013-12-24 0.029 0.029 0.029 0.029 0 0.029
2013-12-25 0.029 0.029 0.029 0.029 0 0.029
2013-12-26 0.029 0.029 0.029 0.029 1e+05 0.029
2013-12-27 0.027 0.033 0.027 0.033 3e+05 0.033
2013-12-30 0.033 0.033 0.033 0.033 0 0.033
2013-12-31 0.033 0.033 0.033 0.033 0 0.033
2014-01-01 0.033 0.033 0.033 0.033 0 0.033
2014-01-02 0.033 0.033 0.033 0.033 0 0.033
2014-01-03 0.033 0.033 0.033 0.033 0 0.033
2014-01-06 0.03 0.034 0.029 0.034 1100000 0.034
2014-01-07 0.034 0.034 0.034 0.034 0 0.034
2014-01-08 0.03 0.03 0.03 0.03 5e+05 0.03
2014-01-09 0.033 0.045 0.033 0.038 39900000 0.038
2014-01-10 0.04 0.051 0.04 0.047 187100000 0.047
2014-01-13 0.048 0.048 0.042 0.042 17900000 0.042
2014-01-14 0.042 0.043 0.04 0.04 1.8e+07 0.04
2014-01-15 0.04 0.04 0.039 0.039 3300000 0.039
2014-01-16 0.038 0.041 0.038 0.04 5600000 0.04
2014-01-17 0.04 0.04 0.04 0.04 0 0.04
2014-01-20 0.042 0.042 0.042 0.042 3e+05 0.042
2014-01-21 0.042 0.043 0.042 0.043 1400000 0.043
2014-01-22 0.043 0.046 0.043 0.046 5600000 0.046
2014-01-23 0.046 0.046 0.046 0.046 0 0.046
2014-01-24 0.043 0.046 0.04 0.046 2100000 0.046
2014-01-27 0.041 0.044 0.04 0.043 4e+06 0.043
2014-01-28 0.043 0.043 0.041 0.043 9e+05 0.043
2014-01-29 0.041 0.042 0.041 0.042 3e+05 0.042
2014-01-30 0.041 0.041 0.039 0.039 4800000 0.039
2014-01-31 0.039 0.039 0.039 0.039 0 0.039
2014-02-03 0.038 0.038 0.037 0.037 1900000 0.037
2014-02-04 0.037 0.037 0.037 0.037 0 0.037
2014-02-05 0.037 0.04 0.037 0.04 1200000 0.04
2014-02-06 0.04 0.04 0.04 0.04 0 0.04
2014-02-07 0.038 0.04 0.038 0.04 3e+05 0.04
2014-02-10 0.04 0.04 0.04 0.04 0 0.04
2014-02-11 0.04 0.04 0.04 0.04 0 0.04
2014-02-12 0.04 0.04 0.04 0.04 0 0.04
2014-02-13 0.037 0.04 0.037 0.04 1e+06 0.04
2014-02-14 0.037 0.04 0.037 0.04 3e+05 0.04
2014-02-17 0.037 0.04 0.037 0.04 3600000 0.04
2014-02-18 0.039 0.039 0.038 0.039 2e+06 0.039
2014-02-19 0.038 0.039 0.038 0.038 2100000 0.038
2014-02-20 0.038 0.038 0.038 0.038 0 0.038
2014-02-21 0.038 0.038 0.038 0.038 3e+06 0.038
2014-02-24 0.04 0.04 0.04 0.04 1e+05 0.04
2014-02-25 0.04 0.04 0.04 0.04 0 0.04
2014-02-26 0.038 0.038 0.038 0.038 1400000 0.038
2014-02-27 0.04 0.044 0.04 0.041 13600000 0.041
2014-02-28 0.041 0.041 0.04 0.04 2600000 0.04
2014-03-03 0.04 0.04 0.036 0.04 3900000 0.04
2014-03-04 0.038 0.04 0.038 0.04 5e+05 0.04
2014-03-05 0.04 0.04 0.04 0.04 0 0.04
2014-03-06 0.038 0.041 0.038 0.041 3e+05 0.041
2014-03-07 0.041 0.041 0.041 0.041 0 0.041
2014-03-10 0.041 0.041 0.041 0.041 0 0.041
2014-03-11 0.037 0.037 0.037 0.037 3e+05 0.037
2014-03-12 0.038 0.04 0.037 0.04 4300000 0.04
2014-03-13 0.04 0.04 0.04 0.04 0 0.04
2014-03-14 0.038 0.038 0.038 0.038 1e+06 0.038
