"Index" "FEW.Open" "FEW.High" "FEW.Low" "FEW.Close" "FEW.Volume" "FEW.Adjusted"
2014-08-14 2.468 2.468 2.468 2.468 0 2.468
2014-08-15 2.467 2.467 2.467 2.467 0 2.467
2014-08-18 2.467 2.467 2.467 2.467 0 2.467
2014-08-19 2.467 2.467 2.467 2.467 0 2.467
2014-08-20 2.467 2.467 2.467 2.467 0 2.467
2014-08-21 2.468 2.468 2.468 2.468 0 2.468
2014-08-22 2.464 2.464 2.464 2.464 0 2.464
2014-08-25 2.467 2.467 2.467 2.467 0 2.467
2014-08-26 2.458 2.458 2.458 2.458 0 2.458
2014-08-27 2.458 2.458 2.458 2.458 0 2.458
2014-08-28 2.467 2.467 2.467 2.467 0 2.467
2014-08-29 2.467 2.467 2.467 2.467 0 2.467
2014-09-01 2.49 2.49 2.49 2.49 0 2.49
2014-09-02 2.45 2.45 2.45 2.45 0 2.45
2014-09-03 2.452 2.452 2.452 2.452 0 2.452
2014-09-04 2.45 2.45 2.45 2.45 0 2.45
2014-09-05 2.45 2.45 2.45 2.45 0 2.45
2014-09-08 2.45 2.45 2.45 2.45 0 2.45
2014-09-09 2.47 2.47 2.47 2.47 0 2.47
2014-09-10 2.485 2.485 2.485 2.485 0 2.485
2014-09-11 2.478 2.478 2.478 2.478 0 2.478
2014-09-12 2.47 2.47 2.47 2.47 0 2.47
2014-09-15 2.47 2.47 2.47 2.47 0 2.47
2014-09-16 2.47 2.47 2.47 2.47 0 2.47
2014-09-17 2.47 2.47 2.47 2.47 0 2.47
2014-09-18 2.47 2.47 2.47 2.47 0 2.47
2014-09-19 2.47 2.47 2.47 2.47 0 2.47
2014-09-22 2.47 2.47 2.47 2.47 0 2.47
2014-09-23 2.51 2.51 2.51 2.51 0 2.51
2014-09-24 2.51 2.51 2.51 2.51 0 2.51
2014-09-25 2.51 2.51 2.51 2.51 0 2.51
2014-09-26 2.51 2.51 2.51 2.51 0 2.51
2014-09-29 2.51 2.51 2.51 2.51 0 2.51
2014-09-30 2.51 2.51 2.51 2.51 0 2.51
2014-10-01 2.521 2.521 2.521 2.521 0 2.521
2014-10-02 2.524 2.524 2.524 2.524 0 2.524
2014-10-03 2.5 2.5 2.5 2.5 0 2.5
2014-10-06 2.47 2.47 2.47 2.47 0 2.47
2014-10-07 2.47 2.47 2.47 2.47 0 2.47
2014-10-08 2.47 2.47 2.47 2.47 0 2.47
2014-10-09 2.314 2.314 2.314 2.314 0 2.314
2014-10-10 2.383 2.383 2.351 2.351 200 2.351
2014-10-13 2.36 2.36 2.36 2.36 0 2.36
2014-10-14 2.359 2.359 2.359 2.359 0 2.359
2014-10-15 2.357 2.357 2.357 2.357 0 2.357
2014-10-16 2.361 2.361 2.361 2.361 0 2.361
2014-10-17 2.419 2.419 2.419 2.419 0 2.419
2014-10-20 2.409 2.409 2.409 2.409 0 2.409
