"Index" "KRZ.Open" "KRZ.High" "KRZ.Low" "KRZ.Close" "KRZ.Volume" "KRZ.Adjusted"
2014-02-17 51.84 51.88 51.4 51.55 169800 50.7839
2014-02-18 51.6 51.63 50.93 51.26 274600 50.4982
2014-02-19 51.29 51.5 51.05 51.33 131700 50.5672
2014-02-20 51.33 51.65 50.93 51.6 217000 50.8332
2014-02-21 51.27 51.99 51.27 51.6 92300 50.8332
2014-02-24 51.9 52.03 51.41 52.03 261200 51.2568
2014-02-25 52 53.13 51.6 53.05 157800 52.2616
2014-02-26 53.25 53.8 52.88 53.8 316600 53.0005
2014-02-27 53.8 54.22 53.51 54.01 192500 53.2073
2014-02-28 54.2 54.77 53.95 54.73 315500 53.9166
2014-03-03 54.3 54.52 53.5 54.4 191800 53.5916
2014-03-04 54.85 55.06 54.4 54.6 178200 53.7886
2014-03-05 54.5 56.61 54.5 56.61 308200 55.7687
2014-03-06 56.6 57.21 56.46 57 183100 56.1529
2014-03-07 57 57.43 56.43 56.72 260900 55.8771
2014-03-10 56.65 57.67 56.56 56.56 193100 55.7195
2014-03-11 57 57.76 56.5 57.48 127300 56.6258
2014-03-12 57.5 57.5 55.86 56.15 227800 55.3155
2014-03-13 55.9 56.54 55.55 55.85 316700 55.02
2014-03-14 55.31 55.74 54.5 55.1 402100 54.2811
2014-03-17 55.41 55.86 54.67 55.75 127900 54.9215
2014-03-18 55.75 55.75 54.81 55.41 245500 54.5865
2014-03-19 55.77 55.77 54.35 54.35 453900 53.5423
2014-03-20 54.3 54.4 54.13 54.26 336000 53.4536
2014-03-21 54.2 54.2 53.4635 53.8 598000 53.0005
2014-03-24 53.2 53.75 52.9 53.3 245800 52.5079
2014-03-25 53.3 54.3 53.15 54.05 200300 53.2467
2014-03-26 54.5 55.47 54.26 55.05 130400 54.2319
2014-03-27 55.28 55.68 54.8 55.34 301700 54.5176
2014-03-28 55.5 56.41 55.18 56.41 273300 55.5717
2014-03-31 56.41 56.44 55.08 55.41 463400 54.5865
2014-04-01 55.31 55.8 55.08 55.74 206200 54.9116
2014-04-02 55.74 55.98 54.84 55.36 149700 54.5373
2014-04-03 55.1 55.6 54.58 55.05 2e+05 54.2319
2014-04-04 55.3 55.3 54.47 55.1 263000 54.2811
2014-04-07 54.59 55 54.21 54.54 115800 53.7295
2014-04-08 54.28 54.97 53.75 54.22 175900 53.4142
2014-04-09 53.7 55.43 53.67 54.6 382700 54.0678
