"Index" "HB.Open" "HB.High" "HB.Low" "HB.Close" "HB.Volume" "HB.Adjusted"
2014-05-02 0.08 0.08 0.08 0.08 11100 4.2
2014-05-05 0.08 0.08 0.08 0.08 14400 4.1
2014-05-06 0.08 0.08 0.08 0.08 25700 4.05
2014-05-07 0.08 0.08 0.08 0.08 21200 4
2014-05-08 0.08 0.08 0.08 0.08 25200 4
2014-05-09 0.08 0.08 0.08 0.08 28000 3.9
2014-05-12 0.08 0.08 0.08 0.08 24800 3.95
2014-05-13 0.08 0.08 0.08 0.08 8200 3.95
2014-05-14 0.08 0.08 0.08 0.08 12800 4.05
2014-05-15 0.08 0.08 0.08 0.08 23200 3.95
2014-05-16 0.08 0.08 0.08 0.08 89700 4
2014-05-19 0.08 0.08 0.08 0.08 29600 4
2014-05-20 0.08 0.08 0.08 0.08 10000 3.95
2014-05-21 0.08 0.08 0.08 0.08 13400 3.95
2014-05-22 0.08 0.08 0.07 0.07 25600 3.75
2014-05-23 0.07 0.08 0.07 0.07 13100 3.75
2014-05-26 0.07 0.08 0.07 0.07 6400 3.75
2014-05-27 0.07 0.08 0.07 0.08 14300 3.8
2014-05-28 0.08 0.08 0.07 0.08 30100 3.8
2014-05-29 0.07 0.08 0.07 0.08 79300 3.9
2014-05-30 0.08 0.08 0.08 0.08 13000 3.9
2014-06-02 0.08 0.08 0.08 0.08 3300 3.9
2014-06-03 0.08 0.08 0.08 0.08 11700 3.95
2014-06-04 0.08 0.09 0.08 0.08 48200 4.25
2014-06-05 0.09 0.09 0.08 0.09 36700 4.4
2014-06-06 0.09 0.09 0.09 0.09 50400 4.45
2014-06-09 0.09 0.09 0.09 0.09 0 4.45
2014-06-10 0.09 0.09 0.09 0.09 71100 4.55
2014-06-11 0.09 0.09 0.09 0.09 9000 4.4
2014-06-12 0.09 0.09 0.08 0.08 30200 4.05
2014-06-13 0.08 0.09 0.08 0.08 10300 4.25
2014-06-16 0.09 0.09 0.09 0.09 48800 4.45
2014-06-17 0.09 0.09 0.09 0.09 247400 4.45
2014-06-18 0.09 0.09 0.08 0.09 39500 4.3
2014-06-19 0.08 0.09 0.08 0.09 60600 4.5
2014-06-20 0.09 0.09 0.09 0.09 72500 4.5
2014-06-23 0.09 0.09 0.09 0.09 46100 4.6
2014-06-24 0.09 0.09 0.09 0.09 47700 4.5
2014-06-25 0.09 0.09 0.09 0.09 2400 4.45
2014-06-26 0.09 0.09 0.09 0.09 4300 4.45
2014-06-27 0.09 0.09 0.08 0.09 12200 4.3
2014-06-30 0.09 0.09 0.08 0.09 7000 4.35
2014-07-01 0.09 0.09 0.09 0.09 28300 4.55
2014-07-02 0.09 0.09 0.09 0.09 34500 4.5
2014-07-03 0.09 0.09 0.09 0.09 13100 4.5
2014-07-04 0.09 0.09 0.09 0.09 21900 4.5
2014-07-07 0.09 0.09 0.09 0.09 8000 4.45
2014-07-08 0.09 0.09 0.09 0.09 14300 4.3
2014-07-09 0.08 0.09 0.08 0.08 13200 4.25
2014-07-10 0.09 0.09 0.09 0.09 24800 4.35
2014-07-11 0.09 0.09 0.08 0.08 11100 4.25
2014-07-14 0.09 0.09 0.08 0.08 4100 4.25
2014-07-15 0.09 0.09 0.08 0.08 1800 4.25
2014-07-16 0.08 0.09 0.08 0.08 8600 4.25
2014-07-17 0.08 0.09 0.08 0.08 8300 4.25
2014-07-18 0.08 0.09 0.08 0.09 20600 4.35
2014-07-21 0.09 0.09 0.09 0.09 20000 4.35
2014-07-22 0.09 0.09 0.09 0.09 49300 4.35
2014-07-23 0.09 0.09 0.08 0.08 23100 4.2
2014-07-24 0.08 0.08 0.08 0.08 12500 4.15
2014-07-25 0.08 0.08 0.08 0.08 13800 4.15
2014-07-28 0.08 0.08 0.08 0.08 1600 4.15
2014-07-29 0.08 0.08 0.08 0.08 2600 4.15
2014-07-30 0.08 0.08 0.08 0.08 2100 4.15
2014-07-31 0.08 0.08 0.08 0.08 11000 4.15
2014-08-01 0.08 0.08 0.08 0.08 4700 4.15
2014-08-04 0.08 0.08 0.08 0.08 6400 4.1
2014-08-05 0.08 0.08 0.08 0.08 14900 4.1
2014-08-06 0.08 0.08 0.08 0.08 22300 4
2014-08-07 0.08 0.08 0.08 0.08 1600 4.05
2014-08-08 0.08 0.08 0.08 0.08 1500 4.05
2014-08-11 0.08 0.08 0.08 0.08 800 4.15
2014-08-12 0.08 0.08 0.08 0.08 200 4.2
2014-08-13 0.08 0.08 0.08 0.08 1500 4.1
2014-08-14 0.08 0.08 0.08 0.08 200 4.15
2014-08-15 0.08 0.08 0.08 0.08 0 4.15
2014-08-18 0.08 0.09 0.08 0.08 12400 4.25
2014-08-19 0.08 0.09 0.08 0.08 9500 4.2
2014-08-20 0.08 0.08 0.08 0.08 6100 4.2
2014-08-21 0.08 0.08 0.08 0.08 200 4.25
2014-08-22 0.08 0.08 0.08 0.08 9600 4.25
2014-08-25 0.08 0.09 0.08 0.08 9600 4.25
2014-08-26 0.08 0.09 0.08 0.08 27500 4.2
2014-08-27 0.08 0.08 0.08 0.08 14200 4.25
2014-08-28 0.08 0.09 0.08 0.09 8700 4.35
2014-08-29 0.09 0.09 0.08 0.09 11300 4.3
2014-09-01 0.08 0.08 0.08 0.08 28400 4.1
2014-09-02 0.08 0.08 0.08 0.08 31700 4.1
2014-09-03 0.08 0.08 0.08 0.08 30200 4.1
2014-09-04 0.08 0.08 0.08 0.08 35600 4.1
2014-09-05 0.08 0.08 0.08 0.08 33100 4.05
2014-09-08 0.08 0.08 0.08 0.08 11100 4.05
2014-09-09 0.08 0.08 0.08 0.08 6600 4
2014-09-10 0.08 0.08 0.08 0.08 2000 4
2014-09-11 0.08 0.08 0.08 0.08 7500 4
2014-09-12 0.08 0.08 0.08 0.08 6400 4
2014-09-15 0.08 0.08 0.07 0.08 36200 3.8
2014-09-16 0.07 0.08 0.07 0.08 21600 3.8
2014-09-17 0.07 0.08 0.07 0.07 61500 3.75
2014-09-18 0.08 0.08 0.07 0.08 4900 3.8
2014-09-19 0.08 0.08 0.08 0.08 1200 3.8
2014-09-22 0.07 0.08 0.07 0.08 3300 3.8
2014-09-23 0.08 0.08 0.07 0.07 11400 3.75
2014-09-24 0.07 0.08 0.07 0.07 5700 3.75
2014-09-25 0.08 0.08 0.08 0.08 10900 3.85
2014-09-26 0.08 0.08 0.08 0.08 700 3.85
2014-09-29 0.08 0.08 0.07 0.07 4700 3.75
2014-09-30 0.07 0.08 0.07 0.08 12200 3.8
2014-10-01 0.08 0.08 0.08 0.08 0 3.8
2014-10-02 0.08 0.08 0.07 0.08 8700 3.8
2014-10-03 0.08 0.08 0.08 0.08 12700 3.85
2014-10-06 0.08 0.08 0.08 0.08 69900 4.1
2014-10-07 0.08 0.08 0.08 0.08 27700 4.05
2014-10-08 0.08 0.08 0.08 0.08 5700 4
2014-10-09 0.08 0.08 0.08 0.08 30200 4
2014-10-10 0.08 0.08 0.08 0.08 2900 4
2014-10-13 0.08 0.08 0.08 0.08 4000 3.9
2014-10-14 0.08 0.08 0.08 0.08 10700 3.9
2014-10-15 0.08 0.08 0.08 0.08 16700 3.85
2014-10-16 0.08 0.08 0.07 0.08 10700 3.8
2014-10-17 0.08 0.08 0.08 0.08 1500 3.95
2014-10-20 0.08 0.08 0.07 0.08 9800 3.8
2014-10-21 0.08 0.08 0.08 0.08 7400 3.9
2014-10-22 0.08 0.08 0.08 0.08 4200 3.8
2014-10-23 0.08 0.08 0.08 0.08 8700 3.85
2014-10-24 0.08 0.08 0.08 0.08 8500 3.8
2014-10-27 0.08 0.08 0.07 0.07 16400 3.75
2014-10-28 0.07 0.07 0.07 0.07 0 3.75
2014-10-29 0.08 0.08 0.07 0.07 11400 3.7
2014-10-30 0.07 0.07 0.07 0.07 2500 3.7
2014-10-31 0.07 0.07 0.07 0.07 30800 3.65
2014-11-03 0.07 0.07 0.06 0.06 24800 2.95
2014-11-04 0.05 0.06 0.05 0.06 71800 2.85
2014-11-05 0.06 0.06 0.05 0.06 25000 2.85
2014-11-06 0.06 0.06 0.06 0.06 7700 2.8
2014-11-07 0.06 0.06 0.05 0.05 38400 2.7
2014-11-10 0.05 0.05 0.05 0.05 22900 2.65
2014-11-11 0.05 0.05 0.05 0.05 26500 2.65
2014-11-12 0.05 0.05 0.05 0.05 79700 2.5
2014-11-13 0.05 0.05 0.05 0.05 57700 2.55
2014-11-14 0.05 0.05 0.05 0.05 126900 2.65
2014-11-17 0.05 0.05 0.05 0.05 112500 2.6
2014-11-18 0.05 0.05 0.04 0.05 83200 2.3
2014-11-19 0.04 0.05 0.04 0.04 23700 2.25
2014-11-20 0.04 0.05 0.04 0.04 16700 2.25
2014-11-21 0.04 0.04 0.04 0.04 30400 2.25
2014-11-24 0.04 0.04 0.04 0.04 27900 2.2
2014-11-25 0.04 0.04 0.04 0.04 35300 2.1
2014-11-26 0.04 0.04 0.04 0.04 57000 2.05
2014-11-27 0.04 0.04 0.04 0.04 71200 2.05
2014-11-28 0.04 0.04 0.04 0.04 240300 2
2014-12-01 0.04 0.04 0.04 0.04 155000 2
2014-12-02 0.04 0.04 0.04 0.04 70900 1.95
2014-12-03 0.04 0.04 0.04 0.04 63300 1.95
2014-12-04 0.04 0.04 0.04 0.04 131300 1.95
2014-12-05 0.04 0.04 0.04 0.04 174000 1.95
2014-12-08 0.04 0.04 0.04 0.04 36000 1.95
2014-12-09 0.04 0.04 0.04 0.04 67000 1.95
2014-12-10 0.04 0.04 0.04 0.04 74200 1.95
2014-12-11 0.04 0.04 0.04 0.04 53300 2
2014-12-12 0.04 0.05 0.04 0.05 82200 2.35
2014-12-15 0.05 0.05 0.04 0.05 67600 2.3
2014-12-16 0.04 0.04 0.04 0.04 88800 2.1
2014-12-17 0.04 0.04 0.04 0.04 50100 2.2
2014-12-18 0.04 0.04 0.04 0.04 26400 2.2
2014-12-19 0.04 0.04 0.04 0.04 12200 2.15
2014-12-22 0.04 0.04 0.04 0.04 51900 2.1
2014-12-23 0.04 0.04 0.04 0.04 56100 2.1
2014-12-24 0.04 0.04 0.04 0.04 0 2.1
2014-12-25 0.04 0.04 0.04 0.04 0 2.1
2014-12-26 0.04 0.04 0.04 0.04 0 2.1
2014-12-29 0.04 0.04 0.04 0.04 33600 2.05
2014-12-30 0.04 0.04 0.04 0.04 11300 2.05
2014-12-31 0.04 0.04 0.04 0.04 10000 2.1
2015-01-01 0.04 0.04 0.04 0.04 0 2.1
2015-01-02 0.04 0.04 0.04 0.04 65200 2.1
2015-01-05 0.04 0.04 0.04 0.04 40500 2.05
2015-01-06 0.04 0.04 0.04 0.04 0 2.05
2015-01-07 0.04 0.04 0.04 0.04 28900 2
2015-01-08 0.04 0.04 0.04 0.04 16400 2
2015-01-09 0.04 0.04 0.04 0.04 61800 2.05
2015-01-12 0.04 0.04 0.04 0.04 6800 2.05
2015-01-13 0.04 0.04 0.04 0.04 25400 2.05
2015-01-14 0.04 0.04 0.04 0.04 9700 2.05
2015-01-15 0.04 0.04 0.04 0.04 9300 2.05
2015-01-16 0.04 0.04 0.04 0.04 16200 2.05
2015-01-19 0.04 0.04 0.04 0.04 17600 2
2015-01-20 0.04 0.04 0.04 0.04 16200 2
2015-01-21 0.04 0.04 0.04 0.04 13900 2
2015-01-22 0.04 0.04 0.04 0.04 52900 2
2015-01-23 0.04 0.04 0.04 0.04 37300 1.95
2015-01-26 0.04 0.04 0.04 0.04 39500 1.95
2015-01-27 0.04 0.04 0.04 0.04 66100 1.85
2015-01-28 0.04 0.04 0.04 0.04 33100 1.8
2015-01-29 0.04 0.04 0.04 0.04 24500 1.85
2015-01-30 0.04 0.04 0.04 0.04 53400 1.9
2015-02-02 0.04 0.04 0.04 0.04 5400 1.9
2015-02-03 0.04 0.04 0.03 0.04 145500 1.8
2015-02-04 0.03 0.04 0.03 0.04 63000 1.8
2015-02-05 0.03 0.04 0.03 0.03 79300 1.75
2015-02-06 0.03 0.03 0.03 0.03 16800 1.7
2015-02-09 0.03 0.03 0.03 0.03 16400 1.7
2015-02-10 0.03 0.03 0.03 0.03 64600 1.75
2015-02-11 0.03 0.03 0.03 0.03 26200 1.7
2015-02-12 0.03 0.03 0.03 0.03 35400 1.7
2015-02-13 0.03 0.03 0.03 0.03 96400 1.75
2015-02-16 0.03 0.03 0.03 0.03 14500 1.65
2015-02-17 1.65 1.7 1.65 1.7 6400 85
2015-02-18 1.7 1.7 1.65 1.7 8300 85
